Position,Position_microns,Ga,As,O,In,Se,C
287,0.085788043,41.13965317,34.87881622,5.868786129,5.221823049,0.647551942,12.24336949
288,0.086086957,43.55431715,37.68597528,5.868786129,0,0.647551942,12.24336949
289,0.08638587,46.51746742,40.01914441,4.537904806,0,0.647551942,8.277931424
290,0.086684783,50.37796486,39.82271341,3.364784074,0.585336329,1.066651144,4.782550184
291,0.086983696,48.54788202,39.64419762,4.450388514,0.585336329,1.066651144,5.705544367
292,0.087282609,47.91986224,38.04625422,7.7180518,0.777540969,1.066651144,4.471639627
293,0.087581522,46.06592321,39.95257083,8.313226158,0.777540969,0.419099202,4.471639627
294,0.087880435,47.44670052,40.21525825,7.959709938,0.777540969,0.823524305,2.777266013
295,0.088179348,46.3943006,39.33156217,9.020446679,0.777540969,1.698883567,2.777266013
296,0.088478261,44.13141246,39.70663568,10.47370242,0.777540969,2.133442452,2.777266013
297,0.088777174,43.82007254,41.02241114,10.47370242,0.192204641,1.71434325,2.777266013
298,0.089076087,45.11566936,44.83434713,8.143435625,0.192204641,1.71434325,0
299,0.089375,45.5091425,47.30937217,5.235686103,0,1.945799232,0
300,0.089673913,43.20837261,47.64736587,5.667892306,0,1.945799232,1.530569974
301,0.089972826,41.71621465,46.15081756,5.429932414,0.310307798,1.54137413,4.851353447
302,0.090271739,40.39738616,48.94371268,4.831225042,0.310307798,0.666014867,4.851353447
303,0.090570652,43.54124614,45.08530504,5.980331592,0.310307798,0.231455982,4.851353447
304,0.090869565,41.79470693,46.23666989,6.57550595,0.310307798,0.231455982,4.851353447
305,0.091168478,43.73347097,44.29790585,6.57550595,0.310307798,0.231455982,4.851353447
306,0.091467391,44.20255485,42.76217529,6.633727313,0.310307798,0,6.091234745
307,0.091766304,46.81591579,41.95838654,5.606346752,1.058686147,0,4.560664771
308,0.092065217,49.68773902,42.35160944,5.972391891,0.748378349,0,1.239881298
309,0.09236413,52.55616428,39.63719896,5.510362522,1.056392945,0,1.239881298
310,0.092663043,48.80751024,44.01476131,4.881454199,1.056392945,0,1.239881298
311,0.092961957,52.30978284,40.81259877,4.286279841,1.351457254,0,1.239881298
312,0.09326087,52.34177402,39.27963837,5.787249054,1.351457254,0,1.239881298
313,0.093559783,53.13564128,39.1617243,6.351177163,1.351457254,0,0
314,0.093858696,54.17197507,36.65164837,8.573297653,0.603078906,0,0
315,0.094157609,53.29769419,37.95573414,8.143492764,0.603078906,0,0
316,0.094456522,48.62669463,38.51661822,9.622923356,0.295064309,0,2.938699486
317,0.094755435,50.12639189,37.12637446,9.513469854,0.295064309,0,2.938699486
318,0.095054348,47.28946911,39.76702528,10.00480612,0,0,2.938699486
319,0.095353261,47.98675971,40.57070389,8.503836908,0,0,2.938699486
320,0.095652174,49.76275797,40.19089229,7.107650252,0,0,2.938699486
321,0.095951087,47.72589568,38.81183323,6.254395479,0.190561351,0,7.017314257
322,0.09625,47.39138987,40.19710148,5.203633043,0.190561351,0,7.017314257
323,0.096548913,50.63272242,38.58598902,3.724202452,0.190561351,0,6.86652476
324,0.096847826,51.73810166,38.70847147,2.49634075,0.190561351,0,6.86652476
325,0.097146739,50.9539207,37.55479519,4.434198003,0.190561351,0,6.86652476
326,0.097445652,48.87809978,39.05725958,5.007554532,0.190561351,0,6.86652476
327,0.097744565,46.39203686,39.96242738,5.404808479,0.190561351,0,8.050165929
