[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191031 04:34:31"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.055252403E+3	278.069500000E+0	100.000001490E-3	-379.745713333E-12	3.864466349E-9	-263.334115380E+6	2.679808598E+9	28.297416628E-3	2.987773233E-3	227.994417043E-3	202.903558145E-3	-74.516750642E+6	-7.867826096E+6	600.387072290E+6	534.314281954E+6	75.000000000E+0	108.526826414E-12
2.147334071E+3	277.057900000E+0	100.000001490E-3	327.389345933E-12	4.098493125E-9	305.446718814E+6	3.823799682E+9	27.903671466E-3	-2.439958500E-3	235.082736523E-3	207.418895054E-3	85.230847653E+6	-7.452773068E+6	718.052494509E+6	633.554199703E+6	75.000000000E+0	53.163688729E-12
2.237285160E+3	276.064500000E+0	100.000001490E-3	356.730696667E-12	4.259467295E-9	280.323511334E+6	3.347143489E+9	32.861121637E-3	-12.364879033E-3	248.311967108E-3	208.330281232E-3	92.117448663E+6	-34.661662562E+6	696.076814885E+6	583.998750817E+6	75.000000000E+0	136.082756175E-12
2.328563443E+3	275.056200000E+0	100.000001490E-3	303.071473120E-12	4.440182757E-9	329.955176779E+6	4.834045486E+9	25.531878643E-3	2.365216533E-3	253.606019302E-3	212.098809888E-3	84.243754057E+6	7.804154277E+6	836.786176841E+6	699.830992684E+6	75.000000000E+0	107.269942928E-12
2.418755406E+3	274.030300000E+0	100.000001490E-3	166.086837990E-12	4.172437928E-9	602.094679508E+6	15.125838432E+9	23.388513890E-3	54.665666667E-6	264.298633449E-3	211.256365817E-3	140.820995649E+6	329.139065614E+3	1.591327986E+9	1.271963320E+9	75.000000000E+0	35.363101336E-12
2.507470958E+3	273.048100000E+0	100.000001490E-3	685.193000533E-12	4.217670825E-9	145.944283453E+6	898.352648020E+6	29.007018010E-3	-3.586868167E-3	275.714052484E-3	213.125603752E-3	42.334083955E+6	-5.234828966E+6	402.388892281E+6	311.044630617E+6	75.000000000E+0	195.720786800E-12
2.598250107E+3	272.072000000E+0	100.000001490E-3	-130.974306733E-12	4.365514338E-9	-763.508538310E+6	25.448559757E+9	26.174230110E-3	1.557285867E-3	284.292750175E-3	215.769094438E-3	-199.842478749E+6	-11.890010381E+6	2.170599389E+9	1.647415435E+9	75.000000000E+0	148.604045735E-12
2.690817129E+3	271.048600000E+0	100.000001490E-3	-146.057404000E-12	4.293648042E-9	-684.662322837E+6	20.127011445E+9	23.007021183E-3	1.280003733E-3	293.066200976E-3	215.645932705E-3	-157.520403302E+6	-8.763703162E+6	2.006513829E+9	1.476446430E+9	75.000000000E+0	82.831720649E-12
2.779877990E+3	270.059500000E+0	100.000001490E-3	969.268414833E-12	3.803138700E-9	103.170597494E+6	404.812625697E+6	18.176659400E-3	NaN	295.117672636E-3	NaN	18.752967828E+6	NaN	304.474661631E+6	NaN	75.000000000E+0	89.419180394E-12
2.871064005E+3	269.083400000E+0	100.000001490E-3	315.970332333E-12	3.669228901E-9	316.485414158E+6	3.675210327E+9	18.847431247E-3	NaN	312.170109814E-3	NaN	59.649369950E+6	NaN	987.972850201E+6	NaN	75.000000000E+0	132.010180565E-12
2.963487941E+3	268.063700000E+0	100.000001490E-3	-64.711789667E-12	4.425700110E-9	-1.545313489E+9	105.685441782E+9	25.391303117E-3	0.000000000E+0	315.876818785E-3	42.720180162E+36	-392.375226330E+6	-0.000000000E+0	4.881287018E+9	NaN	75.000000000E+0	211.661133065E-12
3.058092393E+3	267.072700000E+0	100.000001490E-3	-630.774451000E-12	3.111000036E-9	-158.535275694E+6	781.901117904E+6	26.750238273E-3	NaN	323.028517538E-3	NaN	-42.408563364E+6	NaN	512.114143219E+6	NaN	75.000000000E+0	120.042462082E-12
3.151757499E+3	266.039400000E+0	100.000001490E-3	-793.514919967E-12	3.240297210E-9	-126.021576878E+6	514.605779476E+6	17.361909103E-3	NaN	328.237044025E-3	NaN	-21.879751302E+6	NaN	413.649492613E+6	NaN	75.000000000E+0	78.155440453E-12
3.244338645E+3	265.042600000E+0	100.000001490E-3	79.714505333E-12	3.103485465E-9	1.254476849E+9	48.839927585E+9	28.252576817E-3	NaN	334.012835475E-3	NaN	354.422030200E+6	NaN	4.190113632E+9	NaN	75.000000000E+0	51.001675105E-12
3.339500925E+3	264.062100000E+0	100.000001490E-3	-117.734107133E-12	2.836341505E-9	-849.371553622E+6	20.462275964E+9	16.620571587E-3	NaN	339.678637247E-3	NaN	-141.170405003E+6	NaN	2.885133676E+9	NaN	75.000000000E+0	155.292015358E-12
3.435265930E+3	263.041400000E+0	100.000001490E-3	-67.463659300E-12	2.499359970E-9	-1.482279534E+9	54.914752187E+9	35.255972653E-3	0.000000000E+0	346.441074187E-3	70.564570577E+36	-522.592059475E+6	-0.000000000E+0	5.135225065E+9	NaN	75.000000000E+0	144.531026036E-12
3.527736207E+3	262.051900000E+0	100.000001490E-3	-561.699744833E-12	2.251765240E-9	-178.031060918E+6	713.698302746E+6	23.807794043E-3	NaN	350.922630320E-3	NaN	-42.385267685E+6	NaN	624.751272452E+6	NaN	75.000000000E+0	136.435016063E-12
3.624337367E+3	261.036300000E+0	100.000001490E-3	338.996247100E-12	1.944851082E-9	294.988520804E+6	1.692374912E+9	57.984374660E-3	NaN	353.202727146E-3	NaN	171.047246558E+6	NaN	1.041907485E+9	NaN	75.000000000E+0	145.486150904E-12
3.719403194E+3	260.070200000E+0	100.000001490E-3	-247.670556667E-12	1.536294884E-9	-403.762170344E+6	2.504527648E+9	59.235951663E-3	NaN	357.287954289E-3	NaN	-239.172360496E+6	NaN	1.442593577E+9	NaN	75.000000000E+0	178.371942217E-12
3.815112440E+3	259.087000000E+0	100.000001490E-3	252.507098500E-12	1.508074729E-9	396.028476364E+6	2.365242565E+9	73.070995133E-3	0.000000000E+0	357.790631590E-3	65.256153099E+36	289.381944379E+6	0.000000000E+0	1.416952766E+9	NaN	75.000000000E+0	214.476603144E-12
3.915135726E+3	258.061400000E+0	100.000001490E-3	-69.152955717E-12	1.164347688E-9	-1.446069809E+9	24.347882484E+9	93.042586600E-3	NaN	363.366314734E-3	NaN	-1.345460735E+9	NaN	5.254530496E+9	NaN	75.000000000E+0	218.800810803E-12
4.010007100E+3	257.068800000E+0	100.000001490E-3	-154.003361133E-12	1.083322603E-9	-649.336486907E+6	4.567698317E+9	94.803444500E-3	0.000000000E+0	361.966193507E-3	60.228702059E+36	-615.593346810E+6	-0.000000000E+0	2.350378530E+9	NaN	75.000000000E+0	163.085531191E-12
4.105501137E+3	256.042400000E+0	100.000001490E-3	-396.540234333E-12	953.112002793E-12	-252.181223573E+6	606.135091110E+6	96.066867433E-3	NaN	362.613610633E-3	NaN	-242.262598132E+6	NaN	914.443426511E+6	NaN	75.000000000E+0	185.964826871E-12
