[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 17:01:38"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = -100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
34.529945374E+0	87.999999523E-3	2.589459533E-9	16.113022353E-12	33.983925368E+6	211.466424578E+3	21.282490203E-9
37.415756702E+0	86.999997497E-3	2.557244167E-9	12.043274649E-12	34.020997537E+6	160.220999829E+3	32.215301380E-9
40.286650181E+0	86.000002921E-3	2.537709667E-9	11.374627361E-12	33.888826626E+6	151.897902130E+3	19.534605956E-9
43.151783943E+0	85.000000894E-3	2.501563933E-9	17.436708067E-12	33.978744161E+6	236.842814417E+3	36.145660082E-9
46.017208576E+0	83.999998868E-3	2.480774200E-9	13.161084617E-12	33.860396834E+6	179.637287387E+3	20.789691202E-9
48.883241653E+0	82.999996841E-3	2.448012100E-9	11.834247351E-12	33.905059881E+6	163.904771996E+3	32.762033606E-9
51.753624439E+0	82.000002265E-3	2.427679200E-9	8.263105555E-12	33.777116130E+6	114.967363033E+3	20.333010287E-9
54.625684738E+0	81.000000238E-3	2.400576767E-9	10.960723968E-12	33.741891267E+6	154.061124593E+3	27.102378409E-9
57.495038986E+0	79.999998212E-3	2.363658400E-9	10.779692404E-12	33.845837542E+6	154.357210775E+3	36.918291850E-9
60.373114109E+0	79.000003636E-3	2.346925667E-9	13.059873753E-12	33.661059129E+6	187.312784910E+3	16.732824093E-9
63.242692471E+0	78.000001609E-3	2.306986400E-9	12.090423305E-12	33.810343056E+6	177.192791269E+3	39.939185728E-9
66.113263607E+0	76.999999583E-3	2.278391867E-9	11.450402570E-12	33.795766527E+6	169.845730912E+3	28.594475385E-9
68.983293533E+0	75.999997556E-3	2.246398067E-9	10.037880422E-12	33.831936861E+6	151.175760747E+3	31.993735163E-9
71.853810787E+0	75.000002980E-3	2.215375833E-9	13.852398498E-12	33.854302214E+6	211.685655357E+3	31.022401600E-9
74.721086025E+0	74.000000954E-3	2.191934167E-9	10.844258354E-12	33.760138456E+6	167.023110937E+3	23.441619161E-9
77.594390869E+0	72.999998927E-3	2.155641467E-9	12.328539010E-12	33.864629186E+6	193.678498227E+3	36.292626451E-9
80.468310356E+0	71.999996901E-3	2.125884100E-9	12.571567610E-12	33.868260692E+6	200.282380922E+3	29.757306362E-9
83.336359978E+0	71.000002325E-3	2.092781200E-9	8.657926977E-12	33.926146854E+6	140.353947218E+3	33.103079552E-9
86.210984707E+0	70.000000298E-3	2.071790733E-9	10.774587442E-12	33.787196347E+6	175.714224227E+3	20.990424128E-9
89.078828812E+0	68.999998271E-3	2.046383433E-9	9.625497754E-12	33.718020361E+6	158.598200106E+3	25.407248511E-9
91.945843697E+0	68.000003695E-3	2.012195733E-9	9.615511244E-12	33.793930963E+6	161.488227888E+3	34.187885436E-9
94.812559605E+0	67.000001669E-3	1.980213267E-9	10.671801389E-12	33.834740327E+6	182.342798577E+3	31.982401852E-9
97.682718277E+0	65.999999642E-3	1.947129233E-9	9.415353502E-12	33.896055029E+6	163.904549814E+3	33.083966287E-9
100.556343079E+0	64.999997616E-3	1.927422733E-9	9.809586507E-12	33.723789022E+6	171.636673184E+3	19.706460064E-9
103.429199696E+0	64.000003040E-3	1.889086567E-9	8.351955578E-12	33.878809033E+6	149.783664274E+3	38.336374604E-9
106.296007156E+0	63.000001013E-3	1.864756000E-9	10.515779332E-12	33.784581475E+6	190.518868756E+3	24.330517359E-9
109.165353298E+0	61.999998987E-3	1.844456600E-9	8.724903077E-12	33.614235752E+6	159.006695485E+3	20.299358862E-9
112.034566879E+0	61.000000685E-3	1.802153633E-9	9.065734793E-12	33.848390924E+6	170.274348213E+3	42.303038528E-9
114.905435085E+0	59.999998659E-3	1.786284667E-9	10.584350541E-12	33.589270388E+6	199.027970641E+3	15.868934507E-9
117.777852058E+0	59.000000358E-3	1.745010267E-9	7.884347020E-12	33.810689533E+6	152.764264109E+3	41.274470114E-9
120.648164749E+0	57.999998331E-3	1.726278067E-9	5.841671418E-12	33.598294186E+6	113.695585112E+3	18.732162038E-9
123.517458439E+0	57.000000030E-3	1.698171000E-9	6.526184390E-12	33.565524338E+6	128.994548233E+3	28.107114413E-9
126.384327888E+0	56.000001729E-3	1.660973700E-9	6.966397546E-12	33.715164622E+6	141.406959115E+3	37.197363188E-9
129.251819611E+0	54.999999702E-3	1.634141433E-9	8.598940138E-12	33.656817323E+6	177.103983469E+3	26.832212290E-9
132.117783070E+0	54.000001401E-3	1.601481000E-9	9.913649424E-12	33.718789921E+6	208.729458710E+3	32.660488815E-9
134.989671707E+0	52.999999374E-3	1.581062433E-9	8.332643811E-12	33.521762491E+6	176.669118724E+3	20.418525287E-9
137.857939243E+0	52.000001073E-3	1.555193400E-9	8.688625028E-12	33.436356580E+6	186.803753545E+3	25.869077278E-9
140.731960773E+0	50.999999046E-3	1.516650600E-9	7.353155469E-12	33.626729219E+6	163.031991590E+3	38.542721891E-9
143.601182938E+0	50.000000745E-3	1.489394367E-9	9.368916831E-12	33.570692802E+6	211.173773624E+3	27.256279634E-9
146.472167969E+0	48.999998719E-3	1.458604200E-9	6.600246173E-12	33.593759512E+6	152.013193613E+3	30.790104269E-9
149.341590881E+0	48.000000417E-3	1.427928200E-9	8.850991830E-12	33.615135843E+6	208.362922385E+3	30.676052110E-9
152.211387634E+0	46.999998391E-3	1.389153433E-9	8.280161604E-12	33.833554496E+6	201.667643141E+3	38.774688088E-9
155.081778049E+0	46.000000089E-3	1.367218200E-9	5.860427544E-12	33.644958858E+6	144.215344409E+3	21.935270595E-9
157.950834274E+0	45.000001788E-3	1.339477300E-9	5.915184022E-12	33.595195520E+6	148.357694263E+3	27.740947124E-9
160.822280407E+0	43.999999762E-3	1.309415200E-9	5.949583621E-12	33.602786772E+6	152.680822565E+3	30.062039078E-9
163.690193653E+0	43.000001460E-3	1.284722900E-9	5.748957773E-12	33.470253749E+6	149.774768898E+3	24.692341946E-9
166.557451725E+0	41.999999434E-3	1.244651867E-9	9.781465040E-12	33.744375081E+6	265.190157975E+3	40.070952127E-9
169.425437450E+0	41.000001132E-3	1.213999100E-9	5.849752735E-12	33.772678359E+6	162.736378959E+3	30.652818738E-9
172.305286407E+0	39.999999106E-3	1.185052367E-9	5.162500680E-12	33.753781884E+6	147.043225130E+3	28.946674671E-9
175.173448563E+0	39.000000805E-3	1.159438733E-9	5.914298127E-12	33.636965614E+6	171.582194923E+3	25.613676844E-9
178.043335915E+0	37.999998778E-3	1.126531100E-9	5.721667670E-12	33.731868368E+6	171.324644900E+3	32.907566644E-9
180.913516521E+0	37.000000477E-3	1.099652300E-9	5.206740354E-12	33.646999581E+6	159.315076690E+3	26.878845660E-9
183.782719612E+0	35.999998450E-3	1.069253767E-9	5.867055425E-12	33.668339147E+6	184.740066384E+3	30.398471729E-9
186.657366276E+0	35.000000149E-3	1.040299533E-9	5.892119060E-12	33.644156349E+6	190.556054795E+3	28.954282519E-9
189.530093193E+0	34.000001848E-3	1.005304633E-9	2.207786448E-12	33.820595987E+6	74.274653671E+3	34.994959447E-9
197.123382092E+0	32.999999821E-3	977.539856667E-12	3.877776874E-12	33.758214150E+6	133.914562400E+3	27.764720400E-9
204.615361214E+0	32.000001520E-3	944.462093333E-12	2.787886024E-12	33.881721401E+6	100.012883766E+3	33.077819524E-9
212.106043816E+0	30.999999493E-3	916.082040000E-12	3.868563228E-12	33.839763405E+6	142.903428540E+3	28.379995820E-9
219.595018864E+0	29.999999329E-3	883.510430000E-12	1.602003284E-12	33.955455771E+6	61.568884527E+3	32.571604661E-9
227.094003201E+0	28.999999166E-3	858.157566667E-12	1.865984968E-12	33.793326881E+6	73.480491714E+3	25.352859178E-9
234.588253498E+0	28.000000864E-3	828.117826667E-12	3.621813463E-12	33.811614679E+6	147.876736008E+3	30.039791030E-9
242.076842785E+0	27.000000700E-3	796.175320000E-12	2.582771341E-12	33.912129681E+6	110.010037287E+3	31.942501431E-9
249.569734097E+0	26.000000536E-3	769.912386667E-12	1.722222573E-12	33.770076942E+6	75.540528786E+3	26.262929029E-9
257.061791897E+0	25.000000373E-3	734.631663333E-12	2.619087850E-12	34.030660017E+6	121.325138344E+3	35.280717550E-9
264.551639080E+0	24.000000209E-3	707.327790000E-12	1.496424171E-12	33.930520684E+6	71.783481418E+3	27.303868858E-9
272.050450325E+0	23.000000045E-3	680.295396667E-12	3.216524495E-12	33.808842684E+6	159.852574591E+3	27.032388902E-9
279.544019222E+0	21.999999881E-3	647.253556667E-12	1.949641696E-12	33.989770553E+6	102.383174614E+3	33.041834584E-9
287.030923843E+0	20.999999717E-3	616.657090000E-12	1.393584522E-12	34.054582453E+6	76.960015177E+3	30.596461652E-9
294.518755913E+0	19.999999553E-3	586.356470000E-12	1.507650786E-12	34.108943239E+6	87.701556528E+3	30.300615033E-9
302.011775017E+0	18.999999389E-3	562.907273333E-12	1.346383311E-12	33.753337875E+6	80.732534390E+3	23.449192823E-9
309.500100613E+0	17.999999225E-3	532.097290000E-12	1.349855497E-12	33.828398609E+6	85.817858256E+3	30.809978283E-9
316.993610382E+0	17.000000924E-3	505.210093333E-12	1.015635830E-12	33.649369140E+6	67.646124668E+3	26.887242341E-9
324.479840755E+0	16.000000760E-3	474.278580000E-12	756.716382163E-15	33.735448816E+6	53.825257675E+3	30.931508263E-9
331.973290920E+0	14.999999665E-3	446.321610000E-12	888.550208680E-15	33.608051523E+6	66.907898979E+3	27.956939381E-9
339.463262081E+0	14.000000432E-3	417.312610000E-12	1.211626314E-12	33.547992792E+6	97.403313150E+3	29.009022262E-9
346.954586029E+0	13.000000268E-3	385.051183333E-12	700.800780922E-15	33.761746051E+6	61.447046579E+3	32.261421379E-9
354.447327614E+0	12.000000104E-3	354.283086667E-12	870.884009353E-15	33.871219248E+6	83.260828220E+3	30.768091623E-9
361.945270061E+0	10.999999940E-3	325.022320000E-12	1.211520030E-12	33.843829373E+6	126.152804477E+3	29.260761870E-9
369.433108807E+0	9.999999776E-3	294.747416667E-12	334.985960677E-15	33.927353425E+6	38.559072744E+3	30.274898371E-9
376.932775021E+0	8.999999613E-3	265.143406667E-12	552.047000081E-15	33.943893705E+6	70.673545787E+3	29.604005148E-9
384.425779819E+0	8.000000380E-3	235.017326667E-12	729.572392444E-15	34.040045019E+6	105.671685725E+3	30.126103119E-9
391.917665482E+0	7.000000216E-3	206.895716667E-12	572.906465305E-15	33.833470933E+6	93.686880297E+3	28.121605391E-9
