[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 16:46:30"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
51.782199383E+0	-82.000002265E-3	-3.050065033E-9	12.717417544E-12	26.884673398E+6	112.097156426E+3	45.870682137E-9
54.650702477E+0	-81.000000238E-3	-2.995180600E-9	12.245761546E-12	27.043444472E+6	110.566812690E+3	54.884322107E-9
57.518986702E+0	-79.999998212E-3	-2.958422467E-9	11.430930130E-12	27.041438170E+6	104.484330353E+3	36.758058841E-9
60.387306690E+0	-79.000003636E-3	-2.911842433E-9	17.654068980E-12	27.130590149E+6	164.488745846E+3	46.580285986E-9
63.260011196E+0	-78.000001609E-3	-2.862482533E-9	12.213603817E-12	27.249075130E+6	116.266004816E+3	49.359799970E-9
66.124355316E+0	-76.999999583E-3	-2.811526600E-9	12.508856770E-12	27.387256298E+6	121.849555455E+3	50.955830068E-9
68.992212296E+0	-75.999997556E-3	-2.760142433E-9	13.328679342E-12	27.534810030E+6	132.965114121E+3	51.384062534E-9
71.863445759E+0	-75.000002980E-3	-2.704970367E-9	9.550152913E-12	27.726737381E+6	97.891860488E+3	55.172365923E-9
74.730881691E+0	-74.000000954E-3	-2.685516933E-9	12.487910098E-12	27.555216664E+6	128.134387895E+3	19.453393910E-9
77.598583221E+0	-72.999998927E-3	-2.642694300E-9	12.114739034E-12	27.623323260E+6	126.631881925E+3	42.822546551E-9
80.468562603E+0	-71.999996901E-3	-2.587124567E-9	10.453620936E-12	27.830123771E+6	112.451316895E+3	55.569620718E-9
83.351916313E+0	-71.000002325E-3	-2.542452367E-9	12.992875633E-12	27.925794503E+6	142.711179047E+3	44.672442304E-9
86.218652248E+0	-70.000000298E-3	-2.516822967E-9	9.525650248E-12	27.812842312E+6	105.265810024E+3	25.629348061E-9
89.085267544E+0	-68.999998271E-3	-2.464320767E-9	12.109591438E-12	27.999601028E+6	137.589121300E+3	52.502093601E-9
91.951096058E+0	-68.000003695E-3	-2.441265367E-9	12.761570992E-12	27.854408875E+6	145.607282657E+3	23.055525054E-9
94.831554413E+0	-67.000001669E-3	-2.390447600E-9	10.798723062E-12	28.028224366E+6	126.616050001E+3	50.817663682E-9
97.814584732E+0	-65.999999642E-3	-2.335737900E-9	11.214348175E-12	28.256594904E+6	135.665604216E+3	54.709589128E-9
100.680766582E+0	-64.999997616E-3	-2.290534667E-9	11.667439409E-12	28.377652852E+6	144.549021695E+3	45.203141727E-9
103.547868729E+0	-64.000003040E-3	-2.260740200E-9	11.343475775E-12	28.309313489E+6	142.044632887E+3	29.794628273E-9
106.415699959E+0	-63.000001013E-3	-2.210955700E-9	9.894782506E-12	28.494465544E+6	127.522473281E+3	49.784399109E-9
109.287471294E+0	-61.999998987E-3	-2.183578700E-9	11.861251757E-12	28.393755163E+6	154.235557585E+3	27.376944519E-9
112.156825066E+0	-61.000000685E-3	-2.134730233E-9	11.912599912E-12	28.575039475E+6	159.459498639E+3	48.848549647E-9
115.025296688E+0	-59.999998659E-3	-2.086844167E-9	9.070091750E-12	28.751547249E+6	124.963413973E+3	47.885969623E-9
117.910166740E+0	-59.000000358E-3	-2.060536067E-9	8.897114914E-12	28.633325721E+6	123.634812041E+3	26.308144690E-9
120.776637077E+0	-57.999998331E-3	-2.007477467E-9	11.770826950E-12	28.891979758E+6	169.407876111E+3	53.058492474E-9
123.646267891E+0	-57.000000030E-3	-1.970023100E-9	9.632727037E-12	28.933670894E+6	141.475576552E+3	37.454430292E-9
