[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181208 10:39:13"
Comments = "SD: 3I+ to 1V+; Voltage1: 2I- to 2I+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.000000E+1
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = TRUE
Finish temperature (K) = 3.000000E+2
Delay after setting finish temperature (s) = 0.000000E+0
Finish temperature stabiliation (K) = 2.000000E-1
Finish temperature ramp rate (K/min) = 1.000000E+1
Wait for finish temperature to stabilize = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "09"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 2.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Temperature (K)
138.909659386E+0	-750.000000000E-9	-1.857287109E-3	-10.969944333E-3	371.253701951E-9	5.099535938E-6	2.476382812E+3	14.626592444E+3	495.004935934E-3	6.799381250E+0	404.447078983E-6	72.535778273E-6	9.996700000E+0
144.396784782E+0	-740.000000000E-9	-1.831464571E-3	-10.819044333E-3	431.290333156E-9	4.735222883E-6	2.474952123E+3	14.620330180E+3	582.824774535E-3	6.398949841E+0	387.258613316E-6	66.269052353E-6	10.005000000E+0
149.868863106E+0	-730.000000000E-9	-1.806242217E-3	-10.667429333E-3	185.739030625E-9	4.895320731E-6	2.474304407E+3	14.612916895E+3	254.437028254E-3	6.705918809E+0	396.473694241E-6	65.956534644E-6	10.002400000E+0
155.347977638E+0	-720.000000000E-9	-1.781713390E-3	-10.525393667E-3	255.472389898E-9	3.616988158E-6	2.474601931E+3	14.618602315E+3	354.822763747E-3	5.023594664E+0	407.683579814E-6	70.404851364E-6	10.000900000E+0
160.825582504E+0	-710.000000000E-9	-1.757322898E-3	-10.376318667E-3	222.090172699E-9	4.546340501E-6	2.475102673E+3	14.614533333E+3	312.803060140E-3	6.403296481E+0	409.995829522E-6	67.080328694E-6	10.000200000E+0
166.289308548E+0	-700.000000000E-9	-1.732285471E-3	-10.230413333E-3	342.398570694E-9	4.646464977E-6	2.474693530E+3	14.614876190E+3	489.140815277E-3	6.637807110E+0	399.402057842E-6	68.537590584E-6	10.001200000E+0
171.836226463E+0	-690.000000000E-9	-1.707670007E-3	-10.084728667E-3	253.370883586E-9	4.616468073E-6	2.474884068E+3	14.615548792E+3	367.204179111E-3	6.690533439E+0	406.248695349E-6	68.641403579E-6	10.001200000E+0
177.342442513E+0	-680.000000000E-9	-1.682657688E-3	-9.941060333E-3	243.358964454E-9	4.352639471E-6	2.474496600E+3	14.619206373E+3	357.880830079E-3	6.400940399E+0	399.802998405E-6	69.604760966E-6	10.000300000E+0
182.802958488E+0	-670.000000000E-9	-1.657869849E-3	-9.791324833E-3	292.617016975E-9	4.418828820E-6	2.474432610E+3	14.613917662E+3	436.741816380E-3	6.595266896E+0	403.423625009E-6	66.784429878E-6	9.999400000E+0
188.289731026E+0	-660.000000000E-9	-1.632665470E-3	-9.647281867E-3	194.880395176E-9	4.797961153E-6	2.473735560E+3	14.617093737E+3	295.273326025E-3	7.269638110E+0	396.756447272E-6	69.423729818E-6	9.999900000E+0
193.778388023E+0	-650.000000000E-9	-1.608184967E-3	-9.504410933E-3	223.142327967E-9	4.166690582E-6	2.474130719E+3	14.622170667E+3	343.295889180E-3	6.410293204E+0	408.488349783E-6	69.993243319E-6	9.999000000E+0
199.274188995E+0	-640.000000000E-9	-1.582945686E-3	-9.353381100E-3	273.049600276E-9	3.833692038E-6	2.473352634E+3	14.614657969E+3	426.640000432E-3	5.990143810E+0	396.207794823E-6	66.212083926E-6	10.000200000E+0
204.748086452E+0	-630.000000000E-9	-1.558249030E-3	-9.206268467E-3	262.594565587E-9	4.026164588E-6	2.473411159E+3	14.613124550E+3	416.816770773E-3	6.390737442E+0	404.913118602E-6	67.975127448E-6	10.000800000E+0
210.224575996E+0	-620.000000000E-9	-1.533454802E-3	-9.061189400E-3	258.682665980E-9	3.670382369E-6	2.473314197E+3	14.614821613E+3	417.230106420E-3	5.919971562E+0	403.319675854E-6	68.927931712E-6	10.001100000E+0
215.702754498E+0	-610.000000000E-9	-1.508610192E-3	-8.913391167E-3	271.098655280E-9	4.600067017E-6	2.473131463E+3	14.612116667E+3	444.424025048E-3	7.541093470E+0	402.501795527E-6	67.659807391E-6	9.999800000E+0
221.214597702E+0	-600.000000000E-9	-1.483886658E-3	-8.769799867E-3	257.970644098E-9	4.503492773E-6	2.473144430E+3	14.616333111E+3	429.951073497E-3	7.505821288E+0	404.472914963E-6	69.642102272E-6	10.000000000E+0
226.676878452E+0	-590.000000000E-9	-1.459187419E-3	-8.621158700E-3	292.325440814E-9	4.485591870E-6	2.473199015E+3	14.612133390E+3	495.466848838E-3	7.602698085E+0	404.870773549E-6	67.276113504E-6	10.000100000E+0
232.121090412E+0	-580.000000000E-9	-1.434870573E-3	-8.470889000E-3	189.740106486E-9	3.549263012E-6	2.473914782E+3	14.604981034E+3	327.138114631E-3	6.119418987E+0	411.237548532E-6	66.547015133E-6	10.000200000E+0
237.636846542E+0	-570.000000000E-9	-1.410085075E-3	-8.325706633E-3	227.644024736E-9	4.001236649E-6	2.473833464E+3	14.606502865E+3	399.375481994E-3	7.019713420E+0	403.461723102E-6	68.878888185E-6	10.000100000E+0
243.094230175E+0	-560.000000000E-9	-1.384583158E-3	-8.177980767E-3	358.260721524E-9	3.847997515E-6	2.472469926E+3	14.603537083E+3	639.751288435E-3	6.871424134E+0	392.127394243E-6	67.692951990E-6	9.999900000E+0
248.567913532E+0	-550.000000000E-9	-1.359516747E-3	-8.033971933E-3	205.355182112E-9	4.734247039E-6	2.471848632E+3	14.607221697E+3	373.373058385E-3	8.607721890E+0	398.940239191E-6	69.440184803E-6	9.999900000E+0
254.016317368E+0	-540.000000000E-9	-1.334809233E-3	-7.886671633E-3	172.979269700E-9	4.213363056E-6	2.471868950E+3	14.604947469E+3	320.331980925E-3	7.802524177E+0	404.735169434E-6	67.888524328E-6	10.000200000E+0
259.502076149E+0	-530.000000000E-9	-1.310405159E-3	-7.740176067E-3	236.815486005E-9	5.554341222E-6	2.472462564E+3	14.604105786E+3	446.821671708E-3	10.479889098E+0	409.767642215E-6	68.261451370E-6	10.000200000E+0
265.017619133E+0	-520.000000000E-9	-1.285609729E-3	-7.594970467E-3	235.429893891E-9	4.643983744E-6	2.472326403E+3	14.605712436E+3	452.749795944E-3	8.930737970E+0	403.300135100E-6	68.867867355E-6	9.999800000E+0
270.477834225E+0	-510.000000000E-9	-1.260626898E-3	-7.448912533E-3	148.628573637E-9	4.351901564E-6	2.471817446E+3	14.605710850E+3	291.428575758E-3	8.533140322E+0	400.274882104E-6	68.465983133E-6	10.000900000E+0
275.960450172E+0	-500.000000000E-9	-1.235838574E-3	-7.299892633E-3	189.067886288E-9	2.830032332E-6	2.471677149E+3	14.599785267E+3	378.135772576E-3	5.660064664E+0	403.415748033E-6	67.105131597E-6	10.000000000E+0
281.493836880E+0	-490.000000000E-9	-1.210949025E-3	-7.157353433E-3	198.344922151E-9	6.947036400E-6	2.471324541E+3	14.606843741E+3	404.785555410E-3	14.177625305E+0	401.775052898E-6	70.156139504E-6	10.000800000E+0
286.962090969E+0	-480.000000000E-9	-1.186265579E-3	-7.008140033E-3	212.527820295E-9	5.331688058E-6	2.471386624E+3	14.600291736E+3	442.766292282E-3	11.107683455E+0	405.129824055E-6	67.018109634E-6	10.000100000E+0
292.430602551E+0	-470.000000000E-9	-1.161469582E-3	-6.861181167E-3	182.847903757E-9	6.156841819E-6	2.471211877E+3	14.598257801E+3	389.038093099E-3	13.099663444E+0	403.290902157E-6	68.046251491E-6	10.000200000E+0
297.939672947E+0	-460.000000000E-9	-1.136734862E-3	-6.716855400E-3	136.259639459E-9	3.186293616E-6	2.471162743E+3	14.601859565E+3	296.216607519E-3	6.926725252E+0	404.289991173E-6	69.287697069E-6	10.000300000E+0
303.419420719E+0	-450.000000000E-9	-1.111833719E-3	-6.569578867E-3	196.250733403E-9	4.761598252E-6	2.470741598E+3	14.599064148E+3	436.112740895E-3	10.581329449E+0	401.587996738E-6	67.899479799E-6	10.000100000E+0
308.893968105E+0	-440.000000000E-9	-1.087025396E-3	-6.424678733E-3	112.095244558E-9	4.298256093E-6	2.470512264E+3	14.601542576E+3	254.761919449E-3	9.768763848E+0	403.090527320E-6	69.013048987E-6	9.999000000E+0
314.369720936E+0	-430.000000000E-9	-1.062351701E-3	-6.275761567E-3	201.202607129E-9	4.824387005E-6	2.470585352E+3	14.594794341E+3	467.913039834E-3	11.219504664E+0	405.289930637E-6	67.151425345E-6	10.000200000E+0
319.845188618E+0	-420.000000000E-9	-1.037206451E-3	-6.134429033E-3	164.052153098E-9	3.330131824E-6	2.469539170E+3	14.605783413E+3	390.600364519E-3	7.928885295E+0	397.689424444E-6	70.755117482E-6	10.000400000E+0
325.324577808E+0	-410.000000000E-9	-1.012573921E-3	-5.988599733E-3	117.735817646E-9	3.245247676E-6	2.469692491E+3	14.606340813E+3	287.160530844E-3	7.915238234E+0	405.967231137E-6	68.573325114E-6	10.000300000E+0
330.803943157E+0	-400.000000000E-9	-987.751148700E-6	-5.839074400E-3	131.772179294E-9	3.683785371E-6	2.469377872E+3	14.597686000E+3	329.430448236E-3	9.209463428E+0	402.855883495E-6	66.878299329E-6	9.999500000E+0
336.276569366E+0	-390.000000000E-9	-962.903547367E-6	-5.693570100E-3	130.194840339E-9	4.277764316E-6	2.468983455E+3	14.598897692E+3	333.832923947E-3	10.968626451E+0	402.453334060E-6	68.726491245E-6	9.999300000E+0
341.770202160E+0	-380.000000000E-9	-938.497575867E-6	-5.547293067E-3	186.869461447E-9	4.251388349E-6	2.469730463E+3	14.598139649E+3	491.761740650E-3	11.187864076E+0	409.735789456E-6	68.363431853E-6	9.999300000E+0
347.248081684E+0	-370.000000000E-9	-913.740997333E-6	-5.400923667E-3	167.812447737E-9	4.909161157E-6	2.469570263E+3	14.597090991E+3	453.547156047E-3	13.268003127E+0	403.933038911E-6	68.320290990E-6	9.999900000E+0
352.706764698E+0	-360.000000000E-9	-888.805314267E-6	-5.251081000E-3	114.271174590E-9	3.973030460E-6	2.468903651E+3	14.586336111E+3	317.419929416E-3	11.036195722E+0	401.031725229E-6	66.736666014E-6	9.999400000E+0
358.211716652E+0	-350.000000000E-9	-864.207965467E-6	-5.108367333E-3	169.430732275E-9	4.141317792E-6	2.469165616E+3	14.595335238E+3	484.087806501E-3	11.832336550E+0	406.547879664E-6	70.070374012E-6	10.000300000E+0
363.711199760E+0	-340.000000000E-9	-839.512447000E-6	-4.960925567E-3	145.217825568E-9	4.420240879E-6	2.469154256E+3	14.590957549E+3	427.111251669E-3	13.000708467E+0	404.931769847E-6	67.823386996E-6	9.999000000E+0
369.212526321E+0	-330.000000000E-9	-814.782248567E-6	-4.813915100E-3	106.569949117E-9	5.730689171E-6	2.469037117E+3	14.587621515E+3	322.939239749E-3	17.365724759E+0	404.363920773E-6	68.022367568E-6	9.999700000E+0
374.673924923E+0	-320.000000000E-9	-790.041971500E-6	-4.667454533E-3	170.880287017E-9	4.179878737E-6	2.468881161E+3	14.585795417E+3	534.000896929E-3	13.062121054E+0	404.199191992E-6	68.277763958E-6	10.000300000E+0
380.124368668E+0	-310.000000000E-9	-765.050299000E-6	-4.519658233E-3	107.816767477E-9	3.652263027E-6	2.467904190E+3	14.579542688E+3	347.796024119E-3	11.781493636E+0	400.133284397E-6	67.660692453E-6	10.000100000E+0
385.648163795E+0	-300.000000000E-9	-740.315265833E-6	-4.373647700E-3	101.465741913E-9	4.843830531E-6	2.467717553E+3	14.578825667E+3	338.219139710E-3	16.146101771E+0	404.284883413E-6	68.488209526E-6	9.999400000E+0
391.160312176E+0	-290.000000000E-9	-715.441635500E-6	-4.227400333E-3	148.301797722E-9	4.797073766E-6	2.467040122E+3	14.577242529E+3	511.385509384E-3	16.541633674E+0	402.032186938E-6	68.377299557E-6	10.000400000E+0
396.635161400E+0	-280.000000000E-9	-690.606175500E-6	-4.079400200E-3	156.575656747E-9	4.581871372E-6	2.466450627E+3	14.569286429E+3	559.198774097E-3	16.363826328E+0	402.650081778E-6	67.567506696E-6	10.000200000E+0
402.121538162E+0	-270.000000000E-9	-666.014405600E-6	-3.931004133E-3	84.134729682E-9	3.746433363E-6	2.466720021E+3	14.559274568E+3	311.610109933E-3	13.875679124E+0	406.640109299E-6	67.387230839E-6	10.001200000E+0
407.618795395E+0	-260.000000000E-9	-641.348296667E-6	-3.789681967E-3	100.209047998E-9	4.794869460E-6	2.466724218E+3	14.575699872E+3	385.419415378E-3	18.441805615E+0	405.414572158E-6	70.760307713E-6	10.001000000E+0
413.111170292E+0	-250.000000000E-9	-616.653944267E-6	-3.641154333E-3	117.407283442E-9	2.902870723E-6	2.466615777E+3	14.564617333E+3	469.629133768E-3	11.611482894E+0	404.950890715E-6	67.327538826E-6	9.999600000E+0
418.568341732E+0	-240.000000000E-9	-591.947646133E-6	-3.494668400E-3	84.986035571E-9	4.551059805E-6	2.466448526E+3	14.561118333E+3	354.108481547E-3	18.962749189E+0	404.755093055E-6	68.265940438E-6	10.000200000E+0
424.055465698E+0	-230.000000000E-9	-567.175282233E-6	-3.348803300E-3	144.104329359E-9	3.942170636E-6	2.465979488E+3	14.560014348E+3	626.540562431E-3	17.139872329E+0	403.675645989E-6	68.556495008E-6	10.001100000E+0
429.564491272E+0	-220.000000000E-9	-542.382962733E-6	-3.202239133E-3	118.045769881E-9	3.352287235E-6	2.465377103E+3	14.555632424E+3	536.571681278E-3	15.237669250E+0	403.350723195E-6	68.229501299E-6	10.001900000E+0
435.114476204E+0	-210.000000000E-9	-517.700760333E-6	-3.053571833E-3	106.251950251E-9	5.376398609E-6	2.465241716E+3	14.540818254E+3	505.961667861E-3	25.601898139E+0	405.150230840E-6	67.264287439E-6	10.001600000E+0
440.580739021E+0	-200.000000000E-9	-493.031074467E-6	-2.909065233E-3	97.035913188E-9	4.037523760E-6	2.465155372E+3	14.545326167E+3	485.179565939E-3	20.187618802E+0	405.355789857E-6	69.200991512E-6	10.001200000E+0
446.061202526E+0	-190.000000000E-9	-468.071836700E-6	-2.764544067E-3	113.314036305E-9	4.065252097E-6	2.463535983E+3	14.550231930E+3	596.389664762E-3	21.396063671E+0	400.653260868E-6	69.194016563E-6	10.009400000E+0
451.565903187E+0	-180.000000000E-9	-443.119939133E-6	-2.616515367E-3	79.752011239E-9	4.371592225E-6	2.461777440E+3	14.536196481E+3	443.066729103E-3	24.286623474E+0	400.771122648E-6	67.554467478E-6	10.011100000E+0
457.101351738E+0	-170.000000000E-9	-418.504682767E-6	-2.469874733E-3	111.239349182E-9	3.903623542E-6	2.461792252E+3	14.528674902E+3	654.349112834E-3	22.962491421E+0	406.252116616E-6	68.193922603E-6	10.004500000E+0
462.569115162E+0	-160.000000000E-9	-393.924196233E-6	-2.322084867E-3	62.131850176E-9	4.456500806E-6	2.462026226E+3	14.513030417E+3	388.324063598E-3	27.853130035E+0	406.826772385E-6	67.663637742E-6	10.000600000E+0
468.031615734E+0	-150.000000000E-9	-369.217231100E-6	-2.175000767E-3	93.339114645E-9	4.007622837E-6	2.461448207E+3	14.500005111E+3	622.260764298E-3	26.717485582E+0	404.744166110E-6	67.988314169E-6	10.001700000E+0
473.519155979E+0	-140.000000000E-9	-344.489347067E-6	-2.031255933E-3	89.957418205E-9	5.054659154E-6	2.460638193E+3	14.508970952E+3	642.552987180E-3	36.104708246E+0	404.401767111E-6	69.567717796E-6	10.001800000E+0
479.030861378E+0	-130.000000000E-9	-319.925844067E-6	-1.884256700E-3	110.171607884E-9	3.947427509E-6	2.460968031E+3	14.494282308E+3	847.473906799E-3	30.364826995E+0	407.108057837E-6	68.027565677E-6	10.001400000E+0
484.498370171E+0	-120.000000000E-9	-295.270324567E-6	-1.740380133E-3	65.880236414E-9	3.590913530E-6	2.460586038E+3	14.503167778E+3	549.001970117E-3	29.924279419E+0	405.588695870E-6	69.504021619E-6	10.000800000E+0
490.004087925E+0	-110.000000000E-9	-270.565099067E-6	-1.593210067E-3	60.956980568E-9	3.721540596E-6	2.459682719E+3	14.483727879E+3	554.154368802E-3	33.832187238E+0	404.772666414E-6	67.948600055E-6	10.000300000E+0
495.483456135E+0	-100.000000000E-9	-245.874892867E-6	-1.483537867E-3	83.072457501E-9	3.853048965E-6	2.458748929E+3	14.835378667E+3	830.724575012E-3	38.530489650E+0	405.018893686E-6	91.180809722E-6	10.001300000E+0
500.980682373E+0	-90.000000000E-9	-221.113004933E-6	-1.332966500E-3	68.248470885E-9	3.882062390E-6	2.456811166E+3	14.810738889E+3	758.316343172E-3	43.134026551E+0	403.846428306E-6	66.413689544E-6	10.001600000E+0
506.500584126E+0	-80.000000000E-9	-196.309166367E-6	-1.181530000E-3	83.192900120E-9	4.354770369E-6	2.453864580E+3	14.769125000E+3	1.039911252E+0	54.434629611E+0	403.163404451E-6	66.034278394E-6	10.001400000E+0
512.002025604E+0	-70.000000000E-9	-171.740562133E-6	-1.032881400E-3	57.880681505E-9	4.409094125E-6	2.453436602E+3	14.755448571E+3	826.866878645E-3	62.987058935E+0	407.023529095E-6	67.272749289E-6	10.001300000E+0
517.476992607E+0	-60.000000000E-9	-147.008658533E-6	-883.609426667E-6	85.941355179E-9	4.058954947E-6	2.450144309E+3	14.726823778E+3	1.432355920E+0	67.649249121E+0	404.336041484E-6	66.991812171E-6	10.001100000E+0
523.015843391E+0	-50.000000000E-9	-122.305817267E-6	-733.840666667E-6	77.453905924E-9	4.390490837E-6	2.446116345E+3	14.676813333E+3	1.549078118E+0	87.809816734E+0	404.811733681E-6	66.769598680E-6	10.000300000E+0
528.502897739E+0	-40.000000000E-9	-97.574019933E-6	-582.974723333E-6	65.637828682E-9	2.713757231E-6	2.439350498E+3	14.574368083E+3	1.640945717E+0	67.843930768E+0	404.337778821E-6	66.284012011E-6	9.999700000E+0
534.003539085E+0	-30.000000000E-9	-72.925863517E-6	-436.085523333E-6	53.270238306E-9	3.276260288E-6	2.430862117E+3	14.536184111E+3	1.775674610E+0	109.208676254E+0	405.709856387E-6	68.078524493E-6	10.001000000E+0
539.492649555E+0	-20.000000000E-9	-48.298117317E-6	-283.457080000E-6	65.531160268E-9	3.227642704E-6	2.414905866E+3	14.172854000E+3	3.276558013E+0	161.382135182E+0	406.046087969E-6	65.518587372E-6	10.000200000E+0
544.980915070E+0	-10.000000000E-9	-23.552026630E-6	-169.087316667E-6	70.957207944E-9	3.862404360E-6	2.355202663E+3	16.908731667E+3	7.095720794E+0	386.240435999E+0	404.104233134E-6	87.435697238E-6	10.000800000E+0
