[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181207 20:47:44"
Comments = "SD: 3I+ to 1V+; Voltage1: 2I- to 2I+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = TRUE
Finish temperature (K) = 2.500000E+2
Delay after setting finish temperature (s) = 0.000000E+0
Finish temperature stabiliation (K) = 2.000000E-1
Finish temperature ramp rate (K/min) = 1.000000E+1
Wait for finish temperature to stabilize = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "09"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 2.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Temperature (K)
273.292089939E+0	-590.000000000E-9	-82.974866253E-6	-360.304696667E-6	14.414750650E-9	3.034993533E-6	140.635366531E+0	610.685926554E+0	24.431780763E-3	5.144056836E+0	7.085057547E-3	7.672614648E-3	299.990500000E+0
279.951868057E+0	-580.000000000E-9	-81.530515467E-6	-353.771903333E-6	13.454184550E-9	4.023859660E-6	140.569854253E+0	609.951557471E+0	23.196869913E-3	6.937689069E+0	6.923525844E-3	1.530738765E-3	299.992300000E+0
286.500090599E+0	-570.000000000E-9	-80.107547583E-6	-344.609143333E-6	13.883793228E-9	3.740844109E-6	140.539557164E+0	604.577444444E+0	24.357531978E-3	6.562884402E+0	7.027565497E-3	1.091374215E-3	299.998800000E+0
293.094751358E+0	-560.000000000E-9	-78.698701883E-6	-337.634186667E-6	14.293670231E-9	4.048274615E-6	140.533396220E+0	602.918190476E+0	25.524411128E-3	7.229061813E+0	7.098009385E-3	1.433700663E-3	300.003300000E+0
299.730626583E+0	-550.000000000E-9	-77.269979757E-6	-329.075413333E-6	14.621865250E-9	4.187769195E-6	140.490872285E+0	598.318933333E+0	26.585209545E-3	7.614125809E+0	6.999261657E-3	1.168391732E-3	300.006900000E+0
306.359577179E+0	-540.000000000E-9	-75.872463400E-6	-323.275546667E-6	14.581978791E-9	4.050018580E-6	140.504561852E+0	598.658419753E+0	27.003664427E-3	7.500034408E+0	7.155551312E-3	1.724177567E-3	300.001500000E+0
313.002600193E+0	-530.000000000E-9	-74.420906693E-6	-314.014873333E-6	17.405767709E-9	3.960344155E-6	140.416805082E+0	592.480893082E+0	32.841071148E-3	7.472347462E+0	6.889155590E-3	1.079835088E-3	300.002700000E+0
319.674435616E+0	-520.000000000E-9	-72.972677247E-6	-310.652266667E-6	14.265474009E-9	4.176977217E-6	140.332071628E+0	597.408205128E+0	27.433603863E-3	8.032648493E+0	6.904983201E-3	2.973883356E-3	299.998500000E+0
326.280613899E+0	-510.000000000E-9	-71.616335050E-6	-307.239160000E-6	11.067584128E-9	3.736225470E-6	140.424186373E+0	602.429725490E+0	21.701145348E-3	7.325932293E+0	7.372770695E-3	2.929882062E-3	299.997600000E+0
332.893120289E+0	-500.000000000E-9	-70.224865650E-6	-299.494253333E-6	19.707731931E-9	4.328027717E-6	140.449731300E+0	598.988506667E+0	39.415463861E-3	8.656055435E+0	7.186647439E-3	1.291171144E-3	299.996200000E+0
339.510850430E+0	-490.000000000E-9	-68.828023543E-6	-294.456703333E-6	15.443180279E-9	4.311801957E-6	140.465354170E+0	600.932047619E+0	31.516694447E-3	8.799595831E+0	7.159005268E-3	1.985091959E-3	300.006400000E+0
346.133647442E+0	-480.000000000E-9	-67.420400503E-6	-286.090776667E-6	14.201238001E-9	4.229375791E-6	140.459167715E+0	596.022451389E+0	29.585912502E-3	8.811199565E+0	7.104174709E-3	1.195324845E-3	300.001700000E+0
352.768310547E+0	-470.000000000E-9	-65.961568783E-6	-280.932163333E-6	11.194398739E-9	4.720236838E-6	140.343763369E+0	597.728007092E+0	23.817869658E-3	10.043057103E+0	6.854800223E-3	1.938505438E-3	299.997200000E+0
359.382527351E+0	-460.000000000E-9	-64.543782833E-6	-270.813800000E-6	14.280741610E-9	5.386299433E-6	140.312571377E+0	588.725652174E+0	31.045090457E-3	11.709346592E+0	7.053250880E-3	988.302126596E-6	299.995700000E+0
366.003242493E+0	-450.000000000E-9	-63.199184113E-6	-264.483703333E-6	11.975054173E-9	4.692937338E-6	140.442631363E+0	587.741562963E+0	26.611231497E-3	10.428749640E+0	7.437163111E-3	1.579754706E-3	299.995700000E+0
372.642095566E+0	-440.000000000E-9	-61.744322887E-6	-258.598983333E-6	12.384011511E-9	4.628949586E-6	140.328006561E+0	587.724962121E+0	28.145480707E-3	10.520339968E+0	6.873507807E-3	1.699316195E-3	299.998400000E+0
379.292852402E+0	-430.000000000E-9	-60.352232143E-6	-254.959483333E-6	16.636777017E-9	4.513496983E-6	140.354028240E+0	592.929031008E+0	38.690179110E-3	10.496504611E+0	7.183439763E-3	2.747630169E-3	300.002300000E+0
385.902148247E+0	-420.000000000E-9	-58.959214830E-6	-247.994410000E-6	13.958892576E-9	3.415857747E-6	140.379082929E+0	590.462880952E+0	33.235458515E-3	8.132994636E+0	7.178661675E-3	1.435735063E-3	300.004900000E+0
392.505257607E+0	-410.000000000E-9	-57.583064977E-6	-241.333336667E-6	10.108754683E-9	4.239736021E-6	140.446499943E+0	588.617894309E+0	24.655499227E-3	10.340819564E+0	7.266650486E-3	1.501259557E-3	300.002000000E+0
399.131633759E+0	-400.000000000E-9	-56.135827237E-6	-235.364356667E-6	15.020398885E-9	3.935816038E-6	140.339568092E+0	588.410891667E+0	37.550997212E-3	9.839540094E+0	6.909714778E-3	1.675328113E-3	299.998100000E+0
405.779087543E+0	-390.000000000E-9	-54.757671307E-6	-227.305516667E-6	20.745743663E-9	4.693352720E-6	140.404285402E+0	582.834658120E+0	53.194214520E-3	12.034237744E+0	7.256072976E-3	1.240873376E-3	300.001100000E+0
412.415055275E+0	-380.000000000E-9	-53.313027930E-6	-219.965833333E-6	17.831646912E-9	4.568182610E-6	140.297441921E+0	578.857456140E+0	46.925386611E-3	12.021533184E+0	6.922123592E-3	1.362456600E-3	300.001600000E+0
419.031459332E+0	-370.000000000E-9	-51.927324097E-6	-216.380340000E-6	17.600429057E-9	3.878088499E-6	140.344119180E+0	584.811729730E+0	47.568727180E-3	10.481320267E+0	7.216549279E-3	2.789016481E-3	300.000500000E+0
425.641497135E+0	-360.000000000E-9	-50.522666310E-6	-208.922516667E-6	15.066279883E-9	4.254767107E-6	140.340739750E+0	580.340324074E+0	41.850777454E-3	11.818797520E+0	7.119171726E-3	1.340873812E-3	300.002800000E+0
432.254683495E+0	-350.000000000E-9	-49.105802210E-6	-202.146523333E-6	13.480830903E-9	3.135029294E-6	140.302292029E+0	577.561495238E+0	38.516659722E-3	8.957226553E+0	7.057839916E-3	1.475798382E-3	299.997800000E+0
438.905643463E+0	-340.000000000E-9	-47.683236337E-6	-197.136340000E-6	14.516138608E-9	3.000104546E-6	140.244812755E+0	579.812764706E+0	42.694525317E-3	8.823836900E+0	7.029551452E-3	1.995934946E-3	299.999900000E+0
445.504658699E+0	-330.000000000E-9	-46.313653067E-6	-191.359710000E-6	12.361696820E-9	4.108685831E-6	140.344403232E+0	579.877909091E+0	37.459687334E-3	12.450563125E+0	7.301491059E-3	1.731113123E-3	299.999900000E+0
452.140465736E+0	-320.000000000E-9	-44.897297603E-6	-187.460300000E-6	13.321484746E-9	3.747943576E-6	140.304055010E+0	585.813437500E+0	41.629639831E-3	11.712323674E+0	7.060374503E-3	2.564490525E-3	300.001600000E+0
458.744236946E+0	-310.000000000E-9	-43.470391907E-6	-182.757263333E-6	13.913198379E-9	4.231984525E-6	140.227070667E+0	589.539559140E+0	44.881285092E-3	13.651562984E+0	7.008171615E-3	2.126285783E-3	299.995200000E+0
465.387701988E+0	-300.000000000E-9	-42.051818357E-6	-174.698480000E-6	13.424656011E-9	3.492990809E-6	140.172727856E+0	582.328266667E+0	44.748853371E-3	11.643302696E+0	7.049334876E-3	1.240882102E-3	300.001200000E+0
472.029308319E+0	-290.000000000E-9	-40.663949090E-6	-168.722626667E-6	17.733014843E-9	3.836328525E-6	140.220514103E+0	581.802160920E+0	61.148327045E-3	13.228719051E+0	7.205289605E-3	1.673401177E-3	300.002100000E+0
