[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201201 17:53:20"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
145.972862244E+0	-7.699999809E+0	-2.334372233E-6	457.502717786E-12	3.298531271E+6	646.463747097E+0	-1.981035137E+0	-977.935929400E-3	360.244077966E-6	213.725588630E-6	848.637209201E+3	418.928873226E+3	154.321608535E+0	91.555916224E+0	399.995900000E+0
152.486760139E+0	-7.599999905E+0	-2.304809700E-6	326.360933049E-12	3.297452239E+6	466.919064619E+0	-1.955222541E+0	-965.005330233E-3	361.525359776E-6	250.277323228E-6	848.322766517E+3	418.691977144E+3	156.856923926E+0	108.589148696E+0	399.995900000E+0
158.824386120E+0	-7.500000000E+0	-2.275479800E-6	335.115358419E-12	3.296008165E+6	485.411014219E+0	-1.930145778E+0	-952.084888967E-3	345.919108859E-6	315.932045007E-6	848.236832367E+3	418.410609036E+3	152.020294295E+0	138.841946655E+0	399.995900000E+0
165.163259029E+0	-7.400000095E+0	-2.245913267E-6	233.878974499E-12	3.294873495E+6	343.112819917E+0	-1.904166508E+0	-939.152202033E-3	317.314284427E-6	244.719814170E-6	847.836172451E+3	418.160494429E+3	141.285190811E+0	108.962272855E+0	399.995900000E+0
171.499755859E+0	-7.300000191E+0	-2.216363100E-6	261.886043920E-12	3.293684230E+6	389.182590593E+0	-1.878840251E+0	-926.092175367E-3	358.485974769E-6	221.162129192E-6	847.713197806E+3	417.843166296E+3	161.745146708E+0	99.786054547E+0	399.995900000E+0
177.826044559E+0	-7.199999809E+0	-2.186213067E-6	190.912677878E-12	3.293366012E+6	287.595630186E+0	-1.853238393E+0	-913.380597733E-3	366.982708926E-6	192.478361695E-6	847.693402619E+3	417.791207847E+3	167.862279538E+0	88.041904346E+0	399.995900000E+0
184.156496048E+0	-7.099999905E+0	-2.155507667E-6	246.335814151E-12	3.293887567E+6	376.432191906E+0	-1.827272780E+0	-900.101874767E-3	408.326694973E-6	158.035664667E-6	847.722700437E+3	417.582311901E+3	189.434118601E+0	73.317143386E+0	400.002700000E+0
190.643926144E+0	-7.000000000E+0	-2.124500900E-6	162.097746161E-12	3.294891520E+6	251.397629092E+0	-1.801254382E+0	-886.918140833E-3	347.985831575E-6	267.961467878E-6	847.848255717E+3	417.471294474E+3	163.796509371E+0	126.129138321E+0	400.002700000E+0
196.989837646E+0	-6.900000095E+0	-2.093656800E-6	233.451966558E-12	3.295669135E+6	367.481642992E+0	-1.774715425E+0	-873.522151000E-3	484.464560084E-6	224.403953900E-6	847.663009843E+3	417.223181469E+3	231.396358794E+0	107.182778906E+0	400.002700000E+0
203.329280853E+0	-6.800000191E+0	-2.062233333E-6	220.849821549E-12	3.297396119E+6	353.126551097E+0	-1.748898871E+0	-860.693868833E-3	397.269233912E-6	211.572138137E-6	848.060615837E+3	417.360079930E+3	192.640293167E+0	102.593695251E+0	400.002700000E+0
209.655726433E+0	-6.699999809E+0	-2.031706500E-6	175.702874194E-12	3.297720320E+6	285.188307714E+0	-1.722832266E+0	-847.479431233E-3	390.394459336E-6	286.012123211E-6	847.973004795E+3	417.126898611E+3	192.151011643E+0	140.774330944E+0	400.002700000E+0
215.988507271E+0	-6.599999905E+0	-2.000861900E-6	165.084795348E-12	3.298578430E+6	272.155287203E+0	-1.696506744E+0	-834.092081333E-3	375.378755628E-6	254.786622395E-6	847.887974677E+3	416.866392095E+3	187.608527919E+0	127.338434699E+0	400.002700000E+0
222.329294205E+0	-6.500000000E+0	-1.969988567E-6	185.642905886E-12	3.299511535E+6	310.931200196E+0	-1.669897867E+0	-820.895977267E-3	359.920603085E-6	218.836520094E-6	847.668811513E+3	416.700884034E+3	182.701874100E+0	111.085172674E+0	400.002700000E+0
228.658853531E+0	-6.400000095E+0	-1.939460367E-6	171.758748878E-12	3.299887023E+6	292.238230918E+0	-1.643902270E+0	-807.656225333E-3	378.930593112E-6	278.870969697E-6	847.608075896E+3	416.433477690E+3	195.379395024E+0	143.787918789E+0	400.002700000E+0
