[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20201102 16:21:36"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-9
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
280.553471088E+0	-600.000023842E-3	-49.712432333E-12	16.591301020E-12	12.069415953E+9	4.028113367E+9
283.533751011E+0	-500.000000000E-3	-39.473141000E-12	16.884632196E-12	12.666840979E+9	5.418239988E+9
286.519358158E+0	-400.000005960E-3	-21.857040785E-12	13.259875346E-12	18.300739332E+9	11.102396005E+9
289.511595249E+0	-300.000011921E-3	-10.703006267E-12	16.440673610E-12	28.029509135E+9	43.055567722E+9
292.496012688E+0	-200.000002980E-3	692.700580000E-15	15.452907265E-12	-288.725040450E+9	6.440937692E+12
295.480148792E+0	-100.000001490E-3	-922.501146667E-15	16.135291529E-12	108.400950884E+9	1.896020347E+12
298.459904194E+0	-18.790524692E-15	27.057673333E-12	16.316256914E-12	-694.461953927E-6	418.772875169E-6
301.434631824E+0	100.000001490E-3	40.805271967E-12	18.016911359E-12	2.450663766E+9	1.082051160E+9
304.483620167E+0	200.000002980E-3	33.253695633E-12	15.736303963E-12	6.014369205E+9	2.846118007E+9
307.468630314E+0	300.000011921E-3	67.447361667E-12	19.899019455E-12	4.447913225E+9	1.312269444E+9
310.452713490E+0	400.000005960E-3	61.929301000E-12	14.855845952E-12	6.458978214E+9	1.549405270E+9
313.440190315E+0	500.000000000E-3	75.077541667E-12	16.664827993E-12	6.659781193E+9	1.478259751E+9
316.424938202E+0	600.000023842E-3	92.970957333E-12	22.223478265E-12	6.453628542E+9	1.542654585E+9
319.403259754E+0	699.999988079E-3	108.554770000E-12	24.534168644E-12	6.448357710E+9	1.457375807E+9
322.389980793E+0	800.000011921E-3	128.862540000E-12	23.973287018E-12	6.208165786E+9	1.154952713E+9
325.386792183E+0	899.999976158E-3	125.231771667E-12	18.443783959E-12	7.186674469E+9	1.058433252E+9
328.371170521E+0	1.000000000E+0	160.767230000E-12	15.206203184E-12	6.220173104E+9	588.336416909E+6
331.350742340E+0	1.100000024E+0	163.466536667E-12	19.786062057E-12	6.729206150E+9	814.506095189E+6
334.335797787E+0	1.200000048E+0	180.913080000E-12	18.172056045E-12	6.633019833E+9	666.262539743E+6
337.320020676E+0	1.299999952E+0	189.348346667E-12	17.738370960E-12	6.865652514E+9	643.182226398E+6
340.298244953E+0	1.399999976E+0	193.887046667E-12	16.865770919E-12	7.220698857E+9	628.111340504E+6
343.281986237E+0	1.500000000E+0	220.392720000E-12	14.440318538E-12	6.806032432E+9	445.937035911E+6
346.264614582E+0	1.600000024E+0	226.123893333E-12	20.528741710E-12	7.075767183E+9	642.376153934E+6
349.258998394E+0	1.700000048E+0	237.378766667E-12	19.529245178E-12	7.161550595E+9	589.183604701E+6
352.242628098E+0	1.799999952E+0	262.076870000E-12	16.540630761E-12	6.868213713E+9	433.478112781E+6
355.223151207E+0	1.899999976E+0	259.595330000E-12	20.075113733E-12	7.319083807E+9	566.001860834E+6
358.207582474E+0	2.000000000E+0	288.394623333E-12	16.075736444E-12	6.934942049E+9	386.568582119E+6
361.187979221E+0	2.099999905E+0	295.442290000E-12	21.974264188E-12	7.107986824E+9	528.674416654E+6
