[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181214 01:19:23"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 2.200000E+1
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	Magnetic Field (T)
753.441337585E+0	48.920500000E+0	1.000000000E-6	2.021087472E-3	221.902600000E-3	545.102403120E-9	173.200149319E-6	2.021087472E+3	221.902599986E+3	545.102403086E-3	173.200149308E+0	-4.353326932E-6
781.061848164E+0	49.887900000E+0	1.000000000E-6	1.989245100E-3	218.140950000E-3	721.331614915E-9	136.110418538E-6	1.989245100E+3	218.140949986E+3	721.331614870E-3	136.110418529E+0	-4.353326932E-6
809.672380447E+0	50.933600000E+0	1.000000000E-6	1.955500596E-3	214.584193333E-3	727.324898987E-9	89.146438741E-6	1.955500596E+3	214.584193320E+3	727.324898942E-3	89.146438736E+0	-4.353326932E-6
838.199348927E+0	51.926300000E+0	1.000000000E-6	1.924708876E-3	210.941193333E-3	563.947600480E-9	143.163891935E-6	1.924708876E+3	210.941193320E+3	563.947600445E-3	143.163891926E+0	-4.353326932E-6
865.546797752E+0	52.890000000E+0	1.000000000E-6	1.894986055E-3	207.960656667E-3	730.277281986E-9	114.302359717E-6	1.894986055E+3	207.960656654E+3	730.277281940E-3	114.302359709E+0	-4.353326932E-6
894.067265987E+0	53.923700000E+0	1.000000000E-6	1.864507727E-3	204.836936667E-3	822.625407617E-9	129.129620746E-6	1.864507727E+3	204.836936654E+3	822.625407566E-3	129.129620738E+0	-4.353326932E-6
922.492209911E+0	54.930000000E+0	1.000000000E-6	1.835470936E-3	201.379936667E-3	505.769274060E-9	113.066942281E-6	1.835470936E+3	201.379936654E+3	505.769274029E-3	113.066942274E+0	-4.353326932E-6
951.028695583E+0	55.917300000E+0	1.000000000E-6	1.800717412E-3	197.223733333E-3	490.994739905E-9	3.020123669E-3	1.800717412E+3	197.223733321E+3	490.994739874E-3	3.020123668E+3	-4.353326932E-6
986.872070789E+0	56.913400000E+0	1.000000000E-6	1.773668327E-3	193.338423333E-3	686.553293408E-9	3.491324121E-3	1.773668327E+3	193.338423321E+3	686.553293365E-3	3.491324120E+3	-4.353326932E-6
1.022528397E+3	57.920100000E+0	1.000000000E-6	1.746253693E-3	190.283823333E-3	353.399090288E-9	2.953507024E-3	1.746253693E+3	190.283823322E+3	353.399090266E-3	2.953507023E+3	-4.353326932E-6
1.057808110E+3	58.906700000E+0	1.000000000E-6	1.720474852E-3	188.293883333E-3	473.267290748E-9	2.253337584E-3	1.720474852E+3	188.293883322E+3	473.267290719E-3	2.253337584E+3	-4.353326932E-6
1.093422609E+3	59.924600000E+0	1.000000000E-6	1.695091177E-3	184.624666667E-3	423.534601910E-9	2.755485586E-3	1.695091177E+3	184.624666655E+3	423.534601883E-3	2.755485586E+3	-4.353326932E-6
1.127902251E+3	60.895700000E+0	1.000000000E-6	1.670243378E-3	182.126553333E-3	489.174639894E-9	2.371001263E-3	1.670243378E+3	182.126553322E+3	489.174639863E-3	2.371001263E+3	-4.353326932E-6
1.162291265E+3	61.922300000E+0	1.000000000E-6	1.646195778E-3	179.222906667E-3	387.698707682E-9	2.054015764E-3	1.646195778E+3	179.222906656E+3	387.698707658E-3	2.054015764E+3	-4.353326932E-6
1.196188639E+3	62.924800000E+0	1.000000000E-6	1.588877867E-3	176.534580000E-3	491.873904926E-9	1.609311587E-3	1.588877867E+3	176.534579989E+3	491.873904895E-3	1.609311587E+3	-4.353326932E-6
1.230479779E+3	63.895500000E+0	1.000000000E-6	1.599460866E-3	174.049936667E-3	329.216478172E-9	1.221574547E-3	1.599460866E+3	174.049936656E+3	329.216478151E-3	1.221574547E+3	-4.353326932E-6
1.264523407E+3	64.933100000E+0	1.000000000E-6	1.575946995E-3	171.394780000E-3	434.386806570E-9	960.185277164E-6	1.575946995E+3	171.394779989E+3	434.386806543E-3	960.185277104E+0	-4.353326932E-6
1.298866279E+3	65.922000000E+0	1.000000000E-6	1.542206270E-3	168.604106667E-3	460.733437893E-9	723.285832722E-6	1.542206270E+3	168.604106656E+3	460.733437865E-3	723.285832677E+0	-4.353326932E-6
1.329447084E+3	66.917800000E+0	1.000000000E-6	1.534740874E-3	166.617183333E-3	399.225954918E-9	620.884113838E-6	1.534740874E+3	166.617183323E+3	399.225954894E-3	620.884113799E+0	-4.353326932E-6
1.360370815E+3	67.893000000E+0	1.000000000E-6	1.505906187E-3	164.321740000E-3	435.243325358E-9	403.358484862E-6	1.505906187E+3	164.321739990E+3	435.243325331E-3	403.358484837E+0	-4.353326932E-6
1.390832776E+3	68.906600000E+0	1.000000000E-6	1.486859813E-3	162.273646667E-3	548.667684087E-9	345.402604400E-6	1.486859813E+3	162.273646657E+3	548.667684052E-3	345.402604379E+0	-4.353326932E-6
1.421705408E+3	69.915800000E+0	1.000000000E-6	1.469151381E-3	159.713750000E-3	401.256023334E-9	142.558282697E-6	1.469151381E+3	159.713749990E+3	401.256023309E-3	142.558282688E+0	-4.353326932E-6
1.451359603E+3	70.916900000E+0	1.000000000E-6	1.451369629E-3	157.484553333E-3	384.889489669E-9	132.833493734E-6	1.451369629E+3	157.484553324E+3	384.889489645E-3	132.833493725E+0	-4.353326932E-6
1.479707057E+3	71.890100000E+0	1.000000000E-6	1.434841524E-3	155.435306667E-3	514.103543177E-9	162.855300557E-6	1.434841524E+3	155.435306657E+3	514.103543145E-3	162.855300547E+0	-4.353326932E-6
1.509601162E+3	72.899600000E+0	1.000000000E-6	1.415299754E-3	153.428930000E-3	422.367735931E-9	120.327149314E-6	1.415299754E+3	153.428929990E+3	422.367735905E-3	120.327149307E+0	-4.353326932E-6
1.538905236E+3	73.912800000E+0	1.000000000E-6	1.397416884E-3	150.990700000E-3	302.901222439E-9	134.844288233E-6	1.397416884E+3	150.990699991E+3	302.901222420E-3	134.844288224E+0	-4.353326932E-6
1.567826766E+3	74.922500000E+0	1.000000000E-6	1.379127338E-3	148.926666667E-3	499.284477796E-9	88.394103148E-6	1.379127338E+3	148.926666657E+3	499.284477765E-3	88.394103142E+0	-4.353326932E-6
1.595896987E+3	75.898700000E+0	1.000000000E-6	1.362838497E-3	146.642156667E-3	319.539121246E-9	378.307829122E-6	1.362838497E+3	146.642156658E+3	319.539121226E-3	378.307829098E+0	-4.353326932E-6
1.623270460E+3	76.905900000E+0	1.000000000E-6	1.345772012E-3	144.474740000E-3	351.632634260E-9	125.430031602E-6	1.345772012E+3	144.474739991E+3	351.632634238E-3	125.430031594E+0	-4.353326932E-6
1.650603837E+3	77.886500000E+0	1.000000000E-6	1.329395012E-3	142.685413333E-3	452.990521758E-9	61.455308872E-6	1.329395012E+3	142.685413324E+3	452.990521730E-3	61.455308868E+0	-4.353326932E-6
1.678075260E+3	78.909400000E+0	1.000000000E-6	1.313034907E-3	140.961623333E-3	319.304083296E-9	79.184536471E-6	1.313034907E+3	140.961623325E+3	319.304083276E-3	79.184536466E+0	-4.353326932E-6
1.705418696E+3	79.901800000E+0	1.000000000E-6	1.296713988E-3	138.947553333E-3	268.340564565E-9	138.257452835E-6	1.296713988E+3	138.947553325E+3	268.340564548E-3	138.257452826E+0	-4.353326932E-6
1.733783258E+3	80.922600000E+0	1.000000000E-6	1.280899838E-3	137.122243333E-3	384.075059696E-9	195.130408531E-6	1.280899838E+3	137.122243325E+3	384.075059672E-3	195.130408519E+0	-4.353326932E-6
1.761877479E+3	81.909500000E+0	1.000000000E-6	1.265439521E-3	135.370340000E-3	488.154183020E-9	87.802645471E-6	1.265439521E+3	135.370339992E+3	488.154182989E-3	87.802645466E+0	-4.353326932E-6
1.790121573E+3	82.915000000E+0	1.000000000E-6	1.250240396E-3	133.676576667E-3	362.262414952E-9	82.016334300E-6	1.250240396E+3	133.676576658E+3	362.262414930E-3	82.016334295E+0	-4.353326932E-6
1.818575798E+3	83.913100000E+0	1.000000000E-6	1.235755772E-3	132.041283333E-3	218.239671785E-9	93.630757116E-6	1.235755772E+3	132.041283325E+3	218.239671771E-3	93.630757110E+0	-4.353326932E-6
1.846902760E+3	84.912700000E+0	1.000000000E-6	1.221277245E-3	130.406193333E-3	260.474993250E-9	101.649638069E-6	1.221277245E+3	130.406193325E+3	260.474993234E-3	101.649638063E+0	-4.353326932E-6
1.875051988E+3	85.911000000E+0	1.000000000E-6	1.207290421E-3	128.855526667E-3	305.964075454E-9	97.997779473E-6	1.207290421E+3	128.855526659E+3	305.964075435E-3	97.997779467E+0	-4.353326932E-6
1.903679235E+3	86.913800000E+0	1.000000000E-6	1.193260700E-3	127.066973333E-3	400.372596857E-9	114.219298850E-6	1.193260700E+3	127.066973325E+3	400.372596832E-3	114.219298843E+0	-4.353326932E-6
1.931891379E+3	87.905800000E+0	1.000000000E-6	1.179927577E-3	125.591520000E-3	247.865631705E-9	80.310214921E-6	1.179927577E+3	125.591519992E+3	247.865631689E-3	80.310214916E+0	-4.353326932E-6
1.960024892E+3	88.907800000E+0	1.000000000E-6	1.166296835E-3	124.030016667E-3	363.332590551E-9	105.022828662E-6	1.166296835E+3	124.030016659E+3	363.332590529E-3	105.022828656E+0	-4.353326932E-6
