[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181214 01:19:23"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 2.200000E+1
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	Magnetic Field (T)
5.818620244E+3	224.884900000E+0	1.000000000E-6	323.915838433E-6	24.948271333E-3	81.437966423E-9	34.268931715E-6	323.915838413E+0	24.948271332E+3	81.437966418E-3	34.268931713E+0	-4.353326932E-6
5.848025365E+3	225.929900000E+0	1.000000000E-6	320.520235300E-6	24.583068000E-3	79.324647268E-9	29.047666818E-6	320.520235280E+0	24.583067998E+3	79.324647263E-3	29.047666816E+0	-4.353326932E-6
5.876460112E+3	226.915800000E+0	1.000000000E-6	317.123140800E-6	24.252827000E-3	86.714510625E-9	44.454527340E-6	317.123140780E+0	24.252826998E+3	86.714510619E-3	44.454527337E+0	-4.353326932E-6
5.905034652E+3	227.919700000E+0	1.000000000E-6	313.763124433E-6	23.896336000E-3	99.647706068E-9	32.208111379E-6	313.763124414E+0	23.896335999E+3	99.647706062E-3	32.208111377E+0	-4.353326932E-6
5.933541451E+3	228.888300000E+0	1.000000000E-6	310.719394633E-6	23.469512000E-3	91.083857104E-9	33.837833182E-6	310.719394614E+0	23.469511999E+3	91.083857099E-3	33.837833180E+0	-4.353326932E-6
5.962065270E+3	229.889600000E+0	1.000000000E-6	307.465732033E-6	23.186427333E-3	81.526501665E-9	28.436785299E-6	307.465732014E+0	23.186427332E+3	81.526501660E-3	28.436785298E+0	-4.353326932E-6
5.990498602E+3	230.910500000E+0	1.000000000E-6	303.898311300E-6	22.743765000E-3	117.352291085E-9	30.262665829E-6	303.898311281E+0	22.743764999E+3	117.352291077E-3	30.262665828E+0	-4.353326932E-6
6.019025630E+3	231.910800000E+0	1.000000000E-6	300.532963900E-6	22.466728333E-3	74.197693775E-9	29.252139690E-6	300.532963881E+0	22.466728332E+3	74.197693770E-3	29.252139688E+0	-4.353326932E-6
6.047448899E+3	232.889400000E+0	1.000000000E-6	297.305291300E-6	22.135891667E-3	70.726885637E-9	37.966407119E-6	297.305291282E+0	22.135891665E+3	70.726885632E-3	37.966407117E+0	-4.353326932E-6
6.075884336E+3	233.905200000E+0	1.000000000E-6	293.859039567E-6	21.764336000E-3	112.881574179E-9	37.490937259E-6	293.859039548E+0	21.764335999E+3	112.881574172E-3	37.490937257E+0	-4.353326932E-6
6.104358653E+3	234.901900000E+0	1.000000000E-6	290.518540433E-6	21.527766000E-3	107.246111391E-9	28.247308276E-6	290.518540415E+0	21.527765999E+3	107.246111384E-3	28.247308274E+0	-4.353326932E-6
6.132884902E+3	235.901600000E+0	1.000000000E-6	287.155760233E-6	21.267418667E-3	98.814484897E-9	29.737968849E-6	287.155760215E+0	21.267418665E+3	98.814484891E-3	29.737968847E+0	-4.353326932E-6
6.161327107E+3	236.886700000E+0	1.000000000E-6	283.918929400E-6	20.990831333E-3	90.395230469E-9	30.941092277E-6	283.918929382E+0	20.990831332E+3	90.395230463E-3	30.941092275E+0	-4.353326932E-6
6.189864923E+3	237.893600000E+0	1.000000000E-6	280.299383167E-6	20.756446667E-3	88.704956847E-9	28.885395228E-6	280.299383149E+0	20.756446665E+3	88.704956842E-3	28.885395226E+0	-4.353326932E-6
6.218410093E+3	238.890300000E+0	1.000000000E-6	276.638582833E-6	20.453862000E-3	162.946200353E-9	33.886983606E-6	276.638582816E+0	20.453861999E+3	162.946200343E-3	33.886983604E+0	-4.353326932E-6
6.247027543E+3	239.890700000E+0	1.000000000E-6	273.354025567E-6	20.152796000E-3	119.632968857E-9	23.013146258E-6	273.354025550E+0	20.152795999E+3	119.632968850E-3	23.013146257E+0	-4.353326932E-6
6.275540394E+3	240.925500000E+0	1.000000000E-6	270.008886167E-6	19.818039000E-3	96.405269596E-9	25.301439696E-6	270.008886150E+0	19.818038999E+3	96.405269590E-3	25.301439694E+0	-4.353326932E-6
6.303869557E+3	241.908500000E+0	1.000000000E-6	266.750837433E-6	19.609891000E-3	123.478395116E-9	36.824136608E-6	266.750837417E+0	19.609890999E+3	123.478395108E-3	36.824136605E+0	-4.353326932E-6
6.333403294E+3	242.915600000E+0	1.000000000E-6	263.412802333E-6	19.391175000E-3	100.590748744E-9	38.633882820E-6	263.412802317E+0	19.391174999E+3	100.590748737E-3	38.633882817E+0	-4.353326932E-6
6.362769032E+3	243.923600000E+0	1.000000000E-6	260.088374200E-6	19.151549333E-3	100.179901276E-9	43.984340625E-6	260.088374184E+0	19.151549332E+3	100.179901269E-3	43.984340622E+0	-4.353326932E-6
6.391434107E+3	244.885200000E+0	1.000000000E-6	256.919618100E-6	18.872706000E-3	88.541544020E-9	30.903169305E-6	256.919618084E+0	18.872705999E+3	88.541544014E-3	30.903169303E+0	-4.353326932E-6
6.420980315E+3	245.920300000E+0	1.000000000E-6	253.632114667E-6	18.594023333E-3	84.014524722E-9	30.493142398E-6	253.632114651E+0	18.594023332E+3	84.014524717E-3	30.493142397E+0	-4.353326932E-6
6.449483639E+3	246.885000000E+0	1.000000000E-6	250.569495167E-6	18.373573667E-3	82.845694092E-9	36.303288868E-6	250.569495151E+0	18.373573666E+3	82.845694087E-3	36.303288866E+0	-4.353326932E-6
6.478013609E+3	247.883000000E+0	1.000000000E-6	247.407659133E-6	18.095270333E-3	74.408293416E-9	20.577301603E-6	247.407659118E+0	18.095270332E+3	74.408293411E-3	20.577301602E+0	-4.353326932E-6
6.507490847E+3	248.916100000E+0	1.000000000E-6	244.100585267E-6	17.840125000E-3	88.072876960E-9	32.064052678E-6	244.100585251E+0	17.840124999E+3	88.072876955E-3	32.064052676E+0	-4.353326932E-6
6.536035784E+3	249.884500000E+0	1.000000000E-6	240.993461267E-6	17.647775333E-3	100.262535491E-9	27.318043265E-6	240.993461252E+0	17.647775332E+3	100.262535485E-3	27.318043263E+0	-4.353326932E-6
6.565748009E+3	250.927500000E+0	1.000000000E-6	237.764744400E-6	17.367270333E-3	106.765337223E-9	28.465188962E-6	237.764744385E+0	17.367270332E+3	106.765337216E-3	28.465188960E+0	-4.353326932E-6
6.595310958E+3	251.916900000E+0	1.000000000E-6	234.529860800E-6	17.159481000E-3	97.532997454E-9	35.841888261E-6	234.529860785E+0	17.159480999E+3	97.532997448E-3	35.841888259E+0	-4.353326932E-6
6.625058575E+3	252.922000000E+0	1.000000000E-6	231.440011033E-6	16.876602667E-3	81.102056178E-9	23.967876624E-6	231.440011019E+0	16.876602666E+3	81.102056173E-3	23.967876623E+0	-4.353326932E-6
6.653479272E+3	253.894400000E+0	1.000000000E-6	228.479148833E-6	16.688674667E-3	78.952832210E-9	19.952600856E-6	228.479148819E+0	16.688674666E+3	78.952832205E-3	19.952600855E+0	-4.353326932E-6
6.681979353E+3	254.902900000E+0	1.000000000E-6	225.296301367E-6	16.542469667E-3	80.226943350E-9	23.541091804E-6	225.296301353E+0	16.542469666E+3	80.226943345E-3	23.541091803E+0	-4.353326932E-6
6.711593492E+3	255.915800000E+0	1.000000000E-6	222.053823067E-6	16.280338333E-3	89.439740402E-9	21.917234139E-6	222.053823053E+0	16.280338332E+3	89.439740396E-3	21.917234138E+0	-4.353326932E-6
6.741259162E+3	256.912700000E+0	1.000000000E-6	218.827132067E-6	16.010406667E-3	95.282233526E-9	20.707385045E-6	218.827132053E+0	16.010406666E+3	95.282233520E-3	20.707385044E+0	-4.353326932E-6
6.770937051E+3	257.925800000E+0	1.000000000E-6	215.767615033E-6	15.722964000E-3	78.838495789E-9	24.833785468E-6	215.767615020E+0	15.722963999E+3	78.838495784E-3	24.833785467E+0	-4.353326932E-6
6.800314332E+3	258.916900000E+0	1.000000000E-6	212.641296300E-6	15.579257333E-3	82.191432506E-9	17.506029490E-6	212.641296287E+0	15.579257332E+3	82.191432501E-3	17.506029489E+0	-4.353326932E-6
6.829935526E+3	259.920000000E+0	1.000000000E-6	209.584967533E-6	15.335020667E-3	72.600622105E-9	26.428708128E-6	209.584967520E+0	15.335020666E+3	72.600622101E-3	26.428708127E+0	-4.353326932E-6
6.859285758E+3	260.900600000E+0	1.000000000E-6	206.526608467E-6	15.090501333E-3	55.206587990E-9	28.600116317E-6	206.526608454E+0	15.090501332E+3	55.206587987E-3	28.600116315E+0	-4.353326932E-6
6.889002047E+3	261.920900000E+0	1.000000000E-6	203.472576767E-6	14.895228667E-3	77.063622793E-9	17.568669554E-6	203.472576754E+0	14.895228666E+3	77.063622789E-3	17.568669553E+0	-4.353326932E-6
6.917488430E+3	262.899900000E+0	1.000000000E-6	200.470174100E-6	14.564913000E-3	91.424879005E-9	17.509742933E-6	200.470174088E+0	14.564912999E+3	91.424879000E-3	17.509742932E+0	-4.353326932E-6
6.947091839E+3	263.919000000E+0	1.000000000E-6	197.286530667E-6	14.330375667E-3	88.061747640E-9	33.142961148E-6	197.286530654E+0	14.330375666E+3	88.061747635E-3	33.142961146E+0	-4.353326932E-6
6.976704107E+3	264.919100000E+0	1.000000000E-6	194.156505967E-6	14.254388333E-3	82.680345720E-9	19.278624411E-6	194.156505955E+0	14.254388332E+3	82.680345714E-3	19.278624410E+0	-4.353326932E-6
7.005204839E+3	265.904300000E+0	1.000000000E-6	191.189502633E-6	14.003300333E-3	63.190825988E-9	32.291215682E-6	191.189502621E+0	14.003300332E+3	63.190825984E-3	32.291215680E+0	-4.353326932E-6
7.034799796E+3	266.918300000E+0	1.000000000E-6	188.299763000E-6	13.733329000E-3	94.943043512E-9	31.157019948E-6	188.299762988E+0	13.733328999E+3	94.943043506E-3	31.157019947E+0	-4.353326932E-6
7.063249614E+3	267.899600000E+0	1.000000000E-6	186.011668067E-6	12.521298000E-3	94.959630008E-9	22.619866215E-6	186.011668055E+0	12.521297999E+3	94.959630002E-3	22.619866214E+0	-4.353326932E-6
7.091752214E+3	268.906200000E+0	1.000000000E-6	183.147341700E-6	12.224510667E-3	81.817428313E-9	23.141458383E-6	183.147341689E+0	12.224510666E+3	81.817428308E-3	23.141458382E+0	-4.353326932E-6
7.120297697E+3	269.890100000E+0	1.000000000E-6	180.299428200E-6	12.023639000E-3	75.296997492E-9	17.225370093E-6	180.299428189E+0	12.023638999E+3	75.296997487E-3	17.225370092E+0	-4.353326932E-6
7.148844403E+3	270.896800000E+0	1.000000000E-6	177.629071333E-6	11.642843333E-3	63.857175605E-9	23.737492145E-6	177.629071322E+0	11.642843333E+3	63.857175601E-3	23.737492144E+0	-4.353326932E-6
7.177408774E+3	271.886300000E+0	1.000000000E-6	175.767496700E-6	11.070385000E-3	75.488236315E-9	87.240611144E-6	175.767496689E+0	11.070384999E+3	75.488236311E-3	87.240611138E+0	-4.353326932E-6
7.205912870E+3	272.895600000E+0	1.000000000E-6	175.156487933E-6	9.438763267E-3	469.036388586E-9	120.572612114E-6	175.156487922E+0	9.438763266E+3	469.036388557E-3	120.572612106E+0	-4.353326932E-6
7.235414572E+3	273.919700000E+0	1.000000000E-6	180.647554333E-6	4.254340000E-3	94.438445880E-9	6.887637396E-6	180.647554322E+0	4.254340000E+3	94.438445874E-3	6.887637395E+0	-4.353326932E-6
7.265132555E+3	274.923900000E+0	1.000000000E-6	177.494614833E-6	4.147028867E-3	81.903711854E-9	5.009094603E-6	177.494614822E+0	4.147028866E+3	81.903711848E-3	5.009094603E+0	-4.353326932E-6
7.294660894E+3	275.901400000E+0	1.000000000E-6	167.062082667E-6	2.266793833E-3	114.348098353E-9	22.393577204E-6	167.062082656E+0	2.266793833E+3	114.348098346E-3	22.393577203E+0	-4.353326932E-6
7.324135912E+3	276.918300000E+0	1.000000000E-6	163.598006633E-6	2.062929433E-3	60.511194678E-9	3.793389220E-6	163.598006623E+0	2.062929433E+3	60.511194675E-3	3.793389219E+0	-4.353326932E-6
7.352460906E+3	277.892900000E+0	1.000000000E-6	160.621144500E-6	2.007019567E-3	78.019486139E-9	5.092981666E-6	160.621144490E+0	2.007019567E+3	78.019486134E-3	5.092981666E+0	-4.353326932E-6
7.381970938E+3	278.907400000E+0	1.000000000E-6	157.687635233E-6	1.967624467E-3	70.774374011E-9	4.173035840E-6	157.687635224E+0	1.967624467E+3	70.774374007E-3	4.173035839E+0	-4.353326932E-6
7.411404294E+3	279.918400000E+0	1.000000000E-6	154.863220167E-6	1.932809233E-3	71.241676636E-9	5.041587159E-6	154.863220157E+0	1.932809233E+3	71.241676632E-3	5.041587159E+0	-4.353326932E-6
7.439855845E+3	280.882400000E+0	1.000000000E-6	152.077572533E-6	1.900373367E-3	101.030806983E-9	3.706848354E-6	152.077572524E+0	1.900373367E+3	101.030806977E-3	3.706848354E+0	-4.353326932E-6
7.468357121E+3	281.879100000E+0	1.000000000E-6	149.365779233E-6	1.872165900E-3	89.203927759E-9	5.242821064E-6	149.365779224E+0	1.872165900E+3	89.203927753E-3	5.242821064E+0	-4.353326932E-6
7.497761343E+3	282.914400000E+0	1.000000000E-6	146.499060400E-6	1.844017167E-3	88.791541500E-9	4.551329143E-6	146.499060391E+0	1.844017167E+3	88.791541494E-3	4.551329143E+0	-4.353326932E-6
7.527379770E+3	283.910200000E+0	1.000000000E-6	143.655694000E-6	1.817087333E-3	84.136615327E-9	3.438330853E-6	143.655693991E+0	1.817087333E+3	84.136615321E-3	3.438330853E+0	-4.353326932E-6
7.556892374E+3	284.895300000E+0	1.000000000E-6	140.877406567E-6	1.792924600E-3	79.780608408E-9	5.087005946E-6	140.877406558E+0	1.792924600E+3	79.780608403E-3	5.087005945E+0	-4.353326932E-6
7.586611160E+3	285.925100000E+0	1.000000000E-6	138.135668700E-6	1.766886500E-3	83.404357076E-9	5.292402725E-6	138.135668691E+0	1.766886500E+3	83.404357071E-3	5.292402725E+0	-4.353326932E-6
7.616249819E+3	286.935900000E+0	1.000000000E-6	135.411582300E-6	1.740791933E-3	73.768999593E-9	4.512833072E-6	135.411582292E+0	1.740791933E+3	73.768999588E-3	4.512833072E+0	-4.353326932E-6
7.644747363E+3	287.881300000E+0	1.000000000E-6	132.952817300E-6	1.716566767E-3	63.426712391E-9	3.855363230E-6	132.952817292E+0	1.716566767E+3	63.426712387E-3	3.855363230E+0	-4.353326932E-6
7.674212811E+3	288.902600000E+0	1.000000000E-6	130.275161567E-6	1.690882167E-3	76.667535323E-9	5.147256545E-6	130.275161559E+0	1.690882167E+3	76.667535318E-3	5.147256544E+0	-4.353326932E-6
7.702690499E+3	289.888500000E+0	1.000000000E-6	127.692129367E-6	1.668306367E-3	64.365311845E-9	5.084333181E-6	127.692129359E+0	1.668306367E+3	64.365311841E-3	5.084333181E+0	-4.353326932E-6
7.732135444E+3	290.901700000E+0	1.000000000E-6	125.026768033E-6	1.649475800E-3	73.929244490E-9	4.727869276E-6	125.026768026E+0	1.649475800E+3	73.929244485E-3	4.727869276E+0	-4.353326932E-6
7.760749896E+3	291.903400000E+0	1.000000000E-6	122.549085033E-6	1.630662200E-3	72.177909241E-9	4.304456307E-6	122.549085026E+0	1.630662200E+3	72.177909236E-3	4.304456306E+0	-4.353326932E-6
7.790377612E+3	292.907300000E+0	1.000000000E-6	119.967982700E-6	1.608482033E-3	68.044057075E-9	4.929880718E-6	119.967982693E+0	1.608482033E+3	68.044057070E-3	4.929880718E+0	-4.353326932E-6
7.819989522E+3	293.924700000E+0	1.000000000E-6	117.513017867E-6	1.589032800E-3	65.723359536E-9	3.899460921E-6	117.513017859E+0	1.589032800E+3	65.723359532E-3	3.899460921E+0	-4.353326932E-6
7.848434212E+3	294.880600000E+0	1.000000000E-6	115.055958200E-6	1.571435067E-3	54.127347745E-9	3.854960011E-6	115.055958193E+0	1.571435067E+3	54.127347741E-3	3.854960011E+0	-4.353326932E-6
7.876951958E+3	295.897300000E+0	1.000000000E-6	112.453123733E-6	1.546475000E-3	82.398099638E-9	4.419394365E-6	112.453123726E+0	1.546475000E+3	82.398099633E-3	4.419394365E+0	-4.353326932E-6
7.906611654E+3	296.910300000E+0	1.000000000E-6	110.017936333E-6	1.529159533E-3	82.222439757E-9	3.808423900E-6	110.017936326E+0	1.529159533E+3	82.222439752E-3	3.808423900E+0	-4.353326932E-6
7.935110937E+3	297.915700000E+0	1.000000000E-6	107.720641400E-6	1.512638100E-3	57.066074132E-9	4.052327031E-6	107.720641393E+0	1.512638100E+3	57.066074129E-3	4.052327031E+0	-4.353326932E-6
7.963645947E+3	298.888300000E+0	1.000000000E-6	105.296275100E-6	1.493212000E-3	62.872557850E-9	4.954842779E-6	105.296275093E+0	1.493212000E+3	62.872557846E-3	4.954842779E+0	-4.353326932E-6
7.993277258E+3	299.921600000E+0	1.000000000E-6	102.900877100E-6	1.474451867E-3	54.290757141E-9	3.210863755E-6	102.900877094E+0	1.474451867E+3	54.290757138E-3	3.210863754E+0	-4.353326932E-6
