[Main]
Experiment = "VvsI"
Header length = 70    
Date = "20181214 18:11:18"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = TRUE
Initial magnetic field (T) = 0.000000E+0
Delay after setting initial field (s) = 0.000000E+0
Initial field ramp rate (G/min) = 1.000000E+2
Wait for initial field to stabilize = TRUE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 2.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "08"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Magnetic Field (T)
2.165075779E+0	299.995500000E+0	1.000000000E-6	166.133086200E-6	-42.744742830E-6	1.226131633E-3	120.312139025E-9	192.177795785E-9	5.257754466E-6	166.133086190E+0	-42.744742827E+0	1.226131633E+3	120.312139018E-3	192.177795773E-3	5.257754466E+0	-41.356602311E-6
110.304115772E+0	299.134900000E+0	1.000000000E-6	167.720724300E-6	-43.131665677E-6	1.236287917E-3	139.895008490E-9	136.897395003E-9	5.045065239E-6	167.720724290E+0	-43.131665674E+0	1.236287917E+3	139.895008481E-3	136.897394994E-3	5.045065238E+0	-41.356602311E-6
152.994554520E+0	298.079700000E+0	1.000000000E-6	169.822135700E-6	-43.601758422E-6	1.253266467E-3	145.619227080E-9	153.944839668E-9	5.674130876E-6	169.822135689E+0	-43.601758419E+0	1.253266467E+3	145.619227071E-3	153.944839659E-3	5.674130875E+0	-41.356602311E-6
190.157650471E+0	297.142600000E+0	1.000000000E-6	171.830006333E-6	-44.115475137E-6	1.268773333E-3	145.795931611E-9	143.076029420E-9	5.386039016E-6	171.830006323E+0	-44.115475134E+0	1.268773333E+3	145.795931602E-3	143.076029411E-3	5.386039015E+0	-41.356602311E-6
231.490282536E+0	296.084500000E+0	1.000000000E-6	174.050067533E-6	-44.606733103E-6	1.288583150E-3	134.064511201E-9	154.993357047E-9	5.421244174E-6	174.050067523E+0	-44.606733101E+0	1.288583150E+3	134.064511193E-3	154.993357037E-3	5.421244174E+0	-41.356602311E-6
271.876286983E+0	295.115200000E+0	1.000000000E-6	176.205481667E-6	-45.110903758E-6	1.304673717E-3	132.445943848E-9	155.590004786E-9	4.979979942E-6	176.205481656E+0	-45.110903756E+0	1.304673717E+3	132.445943840E-3	155.590004777E-3	4.979979942E+0	-41.356602311E-6
313.280648708E+0	294.089700000E+0	1.000000000E-6	178.464132200E-6	-45.567720737E-6	1.324426867E-3	133.553559529E-9	164.232896780E-9	5.115966001E-6	178.464132189E+0	-45.567720734E+0	1.324426867E+3	133.553559521E-3	164.232896770E-3	5.115966001E+0	-41.356602311E-6
357.952075005E+0	293.067800000E+0	1.000000000E-6	180.696880950E-6	-46.156075183E-6	1.341775883E-3	152.268002735E-9	183.627611116E-9	5.224600461E-6	180.696880939E+0	-46.156075180E+0	1.341775883E+3	152.268002725E-3	183.627611104E-3	5.224600461E+0	-41.356602311E-6
402.370527267E+0	292.063700000E+0	1.000000000E-6	182.860586317E-6	-46.630773863E-6	1.360698433E-3	135.588427360E-9	159.189845617E-9	5.141654770E-6	182.860586305E+0	-46.630773860E+0	1.360698433E+3	135.588427352E-3	159.189845607E-3	5.141654769E+0	-41.356602311E-6
445.919804096E+0	291.086500000E+0	1.000000000E-6	184.971940417E-6	-47.098583472E-6	1.376831317E-3	123.103112333E-9	156.140542202E-9	4.993752698E-6	184.971940405E+0	-47.098583469E+0	1.376831317E+3	123.103112325E-3	156.140542192E-3	4.993752697E+0	-41.356602311E-6
489.413758278E+0	290.091200000E+0	1.000000000E-6	187.168256867E-6	-47.575482318E-6	1.395352450E-3	117.051543259E-9	179.991548384E-9	5.562811172E-6	187.168256855E+0	-47.575482315E+0	1.395352450E+3	117.051543251E-3	179.991548373E-3	5.562811172E+0	-41.356602311E-6
531.997962475E+0	289.116200000E+0	1.000000000E-6	189.352822450E-6	-48.091452492E-6	1.413048767E-3	156.907847436E-9	158.556053516E-9	5.225599320E-6	189.352822438E+0	-48.091452489E+0	1.413048767E+3	156.907847426E-3	158.556053506E-3	5.225599320E+0	-41.356602311E-6
575.716965675E+0	288.072600000E+0	1.000000000E-6	191.663354250E-6	-48.616567492E-6	1.434175550E-3	170.804778877E-9	174.156717647E-9	4.794005307E-6	191.663354238E+0	-48.616567489E+0	1.434175550E+3	170.804778867E-3	174.156717636E-3	4.794005306E+0	-41.356602311E-6
618.069606304E+0	287.096500000E+0	1.000000000E-6	193.902255883E-6	-49.097211068E-6	1.451085683E-3	148.687614907E-9	190.915820843E-9	5.685064130E-6	193.902255871E+0	-49.097211065E+0	1.451085683E+3	148.687614898E-3	190.915820831E-3	5.685064129E+0	-41.356602311E-6
660.613064766E+0	286.099300000E+0	1.000000000E-6	196.205534700E-6	-49.635247467E-6	1.471342617E-3	160.564581267E-9	178.080365520E-9	5.700026804E-6	196.205534688E+0	-49.635247464E+0	1.471342617E+3	160.564581257E-3	178.080365509E-3	5.700026803E+0	-41.356602311E-6
704.127191067E+0	285.065100000E+0	1.000000000E-6	198.559812550E-6	-50.191522697E-6	1.490790583E-3	197.490854306E-9	176.301159088E-9	5.424086759E-6	198.559812538E+0	-50.191522694E+0	1.490790583E+3	197.490854294E-3	176.301159077E-3	5.424086758E+0	-41.356602311E-6
746.791320801E+0	284.085300000E+0	1.000000000E-6	200.790594683E-6	-50.682112228E-6	1.509914100E-3	166.246680498E-9	182.381329375E-9	5.357266564E-6	200.790594671E+0	-50.682112225E+0	1.509914100E+3	166.246680487E-3	182.381329363E-3	5.357266564E+0	-41.356602311E-6
789.401322365E+0	283.083000000E+0	1.000000000E-6	203.074196317E-6	-51.183084848E-6	1.529756000E-3	164.095383684E-9	177.934694054E-9	5.398563121E-6	203.074196304E+0	-51.183084845E+0	1.529756000E+3	164.095383674E-3	177.934694043E-3	5.398563121E+0	-41.356602311E-6
831.872544765E+0	282.111900000E+0	1.000000000E-6	205.406600417E-6	-51.725409218E-6	1.549178450E-3	179.353945143E-9	192.760721979E-9	5.700740826E-6	205.406600404E+0	-51.725409215E+0	1.549178450E+3	179.353945132E-3	192.760721967E-3	5.700740826E+0	-41.356602311E-6
875.557014465E+0	281.081400000E+0	1.000000000E-6	207.895088783E-6	-52.165428593E-6	1.568474900E-3	155.515627175E-9	197.633948290E-9	5.320337745E-6	207.895088770E+0	-52.165428590E+0	1.568474900E+3	155.515627165E-3	197.633948278E-3	5.320337744E+0	-41.356602311E-6
917.997247219E+0	280.103700000E+0	1.000000000E-6	210.394999583E-6	-52.695281807E-6	1.591122000E-3	151.944394095E-9	210.953546996E-9	4.813993449E-6	210.394999570E+0	-52.695281803E+0	1.591122000E+3	151.944394086E-3	210.953546983E-3	4.813993449E+0	-41.356602311E-6
959.556071281E+0	279.106500000E+0	1.000000000E-6	212.769112783E-6	-53.228407367E-6	1.611247400E-3	173.440548483E-9	182.780033290E-9	5.441690124E-6	212.769112770E+0	-53.228407363E+0	1.611247400E+3	173.440548472E-3	182.780033278E-3	5.441690124E+0	-41.356602311E-6
1.001965972E+3	278.067200000E+0	1.000000000E-6	215.315971400E-6	-53.835808323E-6	1.633610467E-3	145.292706463E-9	204.196349374E-9	6.135128183E-6	215.315971387E+0	-53.835808320E+0	1.633610467E+3	145.292706454E-3	204.196349361E-3	6.135128183E+0	-41.356602311E-6
1.044455694E+3	277.082600000E+0	1.000000000E-6	217.871340417E-6	-54.283165708E-6	1.654692250E-3	164.130384447E-9	222.500671696E-9	5.458803464E-6	217.871340403E+0	-54.283165705E+0	1.654692250E+3	164.130384437E-3	222.500671682E-3	5.458803463E+0	-41.356602311E-6
1.086918508E+3	276.071200000E+0	1.000000000E-6	220.423331517E-6	-54.799432262E-6	1.676138667E-3	209.687571269E-9	248.685822566E-9	5.709824830E-6	220.423331503E+0	-54.799432258E+0	1.676138667E+3	209.687571255E-3	248.685822550E-3	5.709824830E+0	-41.356602311E-6
1.129379305E+3	275.085600000E+0	1.000000000E-6	222.922742917E-6	-55.350894202E-6	1.697234267E-3	198.466061871E-9	196.537282070E-9	5.790075548E-6	222.922742903E+0	-55.350894198E+0	1.697234267E+3	198.466061858E-3	196.537282058E-3	5.790075548E+0	-41.356602311E-6
1.170936399E+3	274.112300000E+0	1.000000000E-6	225.483874700E-6	-55.826774170E-6	1.719318533E-3	169.342463605E-9	219.496559233E-9	5.103931922E-6	225.483874686E+0	-55.826774167E+0	1.719318533E+3	169.342463595E-3	219.496559219E-3	5.103931922E+0	-41.356602311E-6
1.213698865E+3	273.073200000E+0	1.000000000E-6	228.123846150E-6	-56.410061572E-6	1.740890450E-3	202.277038737E-9	211.189825819E-9	5.936249510E-6	228.123846136E+0	-56.410061568E+0	1.740890450E+3	202.277038724E-3	211.189825806E-3	5.936249510E+0	-41.356602311E-6
1.255024139E+3	272.117900000E+0	1.000000000E-6	230.716844033E-6	-56.864498230E-6	1.764139633E-3	181.182298564E-9	215.331475990E-9	6.293095626E-6	230.716844019E+0	-56.864498226E+0	1.764139633E+3	181.182298552E-3	215.331475977E-3	6.293095626E+0	-41.356602311E-6
1.297515079E+3	271.096500000E+0	1.000000000E-6	233.339766517E-6	-57.393027812E-6	1.788378517E-3	199.889549556E-9	215.618806380E-9	5.400572346E-6	233.339766502E+0	-57.393027808E+0	1.788378517E+3	199.889549544E-3	215.618806367E-3	5.400572345E+0	-41.356602311E-6
1.340276160E+3	270.068900000E+0	1.000000000E-6	236.026437583E-6	-57.873028898E-6	1.809203800E-3	179.898439791E-9	210.759212472E-9	5.108412384E-6	236.026437569E+0	-57.873028895E+0	1.809203800E+3	179.898439780E-3	210.759212459E-3	5.108412384E+0	-41.356602311E-6
1.382888731E+3	269.070700000E+0	1.000000000E-6	238.662142733E-6	-58.309606403E-6	1.832659250E-3	237.253210592E-9	254.861149805E-9	5.328364318E-6	238.662142718E+0	-58.309606400E+0	1.832659250E+3	237.253210578E-3	254.861149789E-3	5.328364318E+0	-41.356602311E-6
1.424285419E+3	268.109000000E+0	1.000000000E-6	241.263197567E-6	-58.938508788E-6	1.853066383E-3	198.106626183E-9	208.538613288E-9	6.143466830E-6	241.263197552E+0	-58.938508785E+0	1.853066383E+3	198.106626170E-3	208.538613275E-3	6.143466830E+0	-41.356602311E-6
1.466762254E+3	267.080900000E+0	1.000000000E-6	244.000404417E-6	-59.503008562E-6	1.880338233E-3	183.597593947E-9	219.948993502E-9	5.889179828E-6	244.000404402E+0	-59.503008558E+0	1.880338233E+3	183.597593935E-3	219.948993488E-3	5.889179828E+0	-41.356602311E-6
1.509180986E+3	266.063400000E+0	1.000000000E-6	246.773997100E-6	-59.987698068E-6	1.902561933E-3	197.533345002E-9	235.016484184E-9	5.931801463E-6	246.773997085E+0	-59.987698065E+0	1.902561933E+3	197.533344990E-3	235.016484170E-3	5.931801462E+0	-41.356602311E-6
1.551825286E+3	265.062600000E+0	1.000000000E-6	249.418409183E-6	-60.624799420E-6	1.926479367E-3	217.273037873E-9	259.179345873E-9	5.340682847E-6	249.418409168E+0	-60.624799416E+0	1.926479367E+3	217.273037859E-3	259.179345856E-3	5.340682847E+0	-41.356602311E-6
1.594112240E+3	264.085400000E+0	1.000000000E-6	252.123127650E-6	-61.020115028E-6	1.952321167E-3	188.500081495E-9	202.170060913E-9	5.444523180E-6	252.123127634E+0	-61.020115025E+0	1.952321167E+3	188.500081483E-3	202.170060900E-3	5.444523180E+0	-41.356602311E-6
1.636404761E+3	263.085500000E+0	1.000000000E-6	254.913334050E-6	-61.568668347E-6	1.972568650E-3	218.280141778E-9	233.043901472E-9	5.648457221E-6	254.913334034E+0	-61.568668343E+0	1.972568650E+3	218.280141765E-3	233.043901457E-3	5.648457221E+0	-41.356602311E-6
1.678541421E+3	262.084900000E+0	1.000000000E-6	257.712634533E-6	-61.928596728E-6	1.995467917E-3	248.481570837E-9	241.197738414E-9	5.854364662E-6	257.712634517E+0	-61.928596724E+0	1.995467917E+3	248.481570822E-3	241.197738399E-3	5.854364661E+0	-41.356602311E-6
1.720936845E+3	261.083500000E+0	1.000000000E-6	260.410490783E-6	-62.558421568E-6	2.022413000E-3	202.465505691E-9	264.073750333E-9	6.486138691E-6	260.410490767E+0	-62.558421564E+0	2.022413000E+3	202.465505678E-3	264.073750316E-3	6.486138691E+0	-41.356602311E-6
1.764401632E+3	260.060600000E+0	1.000000000E-6	263.188048567E-6	-63.068436493E-6	2.048195167E-3	236.330007823E-9	221.038401306E-9	5.764478121E-6	263.188048550E+0	-63.068436489E+0	2.048195167E+3	236.330007808E-3	221.038401292E-3	5.764478121E+0	-41.356602311E-6
1.807047891E+3	259.070200000E+0	1.000000000E-6	266.036021783E-6	-63.560670887E-6	2.070732317E-3	207.552516099E-9	252.811576111E-9	5.372996840E-6	266.036021767E+0	-63.560670883E+0	2.070732317E+3	207.552516086E-3	252.811576095E-3	5.372996839E+0	-41.356602311E-6
1.849358128E+3	258.081400000E+0	1.000000000E-6	268.813363700E-6	-64.044925187E-6	2.095584333E-3	252.332468335E-9	241.594669973E-9	6.800582138E-6	268.813363683E+0	-64.044925183E+0	2.095584333E+3	252.332468319E-3	241.594669958E-3	6.800582137E+0	-41.356602311E-6
1.891827560E+3	257.075600000E+0	1.000000000E-6	271.690081933E-6	-64.543928260E-6	2.121737000E-3	202.119528185E-9	201.784991829E-9	6.284678788E-6	271.690081916E+0	-64.543928256E+0	2.121737000E+3	202.119528173E-3	201.784991816E-3	6.284678788E+0	-41.356602311E-6
1.934189129E+3	256.074000000E+0	1.000000000E-6	274.519382517E-6	-64.976110862E-6	2.146295000E-3	192.851331464E-9	216.745340662E-9	6.938056003E-6	274.519382500E+0	-64.976110858E+0	2.146295000E+3	192.851331452E-3	216.745340649E-3	6.938056003E+0	-41.356602311E-6
1.976561446E+3	255.071400000E+0	1.000000000E-6	277.469667783E-6	-65.345471732E-6	2.172048250E-3	291.846716896E-9	322.198706540E-9	5.929594814E-6	277.469667766E+0	-65.345471728E+0	2.172048250E+3	291.846716878E-3	322.198706520E-3	5.929594814E+0	-41.356602311E-6
2.017949274E+3	254.108800000E+0	1.000000000E-6	280.058517467E-6	-66.359358607E-6	2.195879450E-3	202.661569163E-9	227.162285234E-9	5.831814163E-6	280.058517449E+0	-66.359358603E+0	2.195879450E+3	202.661569151E-3	227.162285219E-3	5.831814162E+0	-41.356602311E-6
2.059409490E+3	253.115000000E+0	1.000000000E-6	282.944200933E-6	-66.877018645E-6	2.222541433E-3	196.623480818E-9	226.425043445E-9	6.437669983E-6	282.944200916E+0	-66.877018641E+0	2.222541433E+3	196.623480806E-3	226.425043431E-3	6.437669983E+0	-41.356602311E-6
2.101969677E+3	252.063900000E+0	1.000000000E-6	286.250100383E-6	-67.122389277E-6	2.249994600E-3	229.096381130E-9	243.088109039E-9	6.262569650E-6	286.250100366E+0	-67.122389272E+0	2.249994600E+3	229.096381116E-3	243.088109024E-3	6.262569650E+0	-41.356602311E-6
2.144462345E+3	251.067000000E+0	1.000000000E-6	289.139219050E-6	-67.814627892E-6	2.276959333E-3	203.754895500E-9	208.285836403E-9	5.946293411E-6	289.139219032E+0	-67.814627887E+0	2.276959333E+3	203.754895488E-3	208.285836390E-3	5.946293411E+0	-41.356602311E-6
2.186986972E+3	250.057300000E+0	1.000000000E-6	292.154721833E-6	-68.325983405E-6	2.303104983E-3	239.713138087E-9	201.745097385E-9	5.842020014E-6	292.154721815E+0	-68.325983401E+0	2.303104983E+3	239.713138072E-3	201.745097372E-3	5.842020014E+0	-41.356602311E-6
2.229271948E+3	249.069700000E+0	1.000000000E-6	294.956453617E-6	-68.986970790E-6	2.330011867E-3	188.723657519E-9	220.429016196E-9	6.996166339E-6	294.956453598E+0	-68.986970786E+0	2.330011867E+3	188.723657508E-3	220.429016183E-3	6.996166338E+0	-41.356602311E-6
2.270649368E+3	248.110500000E+0	1.000000000E-6	298.389425267E-6	-69.340061887E-6	2.356694600E-3	281.927484998E-9	258.654903629E-9	5.367737714E-6	298.389425248E+0	-69.340061882E+0	2.356694600E+3	281.927484981E-3	258.654903613E-3	5.367737713E+0	-41.356602311E-6
2.313115441E+3	247.069400000E+0	1.000000000E-6	301.383944533E-6	-69.782932132E-6	2.387046750E-3	270.840654186E-9	217.383570585E-9	5.778742634E-6	301.383944515E+0	-69.782932127E+0	2.387046750E+3	270.840654169E-3	217.383570571E-3	5.778742634E+0	-41.356602311E-6
2.355416265E+3	246.076000000E+0	1.000000000E-6	304.359896183E-6	-70.457336240E-6	2.413662750E-3	301.749455513E-9	245.028595039E-9	6.537634786E-6	304.359896164E+0	-70.457336236E+0	2.413662750E+3	301.749455494E-3	245.028595024E-3	6.537634786E+0	-41.356602311E-6
2.397863567E+3	245.062300000E+0	1.000000000E-6	307.437929500E-6	-70.758295652E-6	2.441717267E-3	313.858453867E-9	289.276981945E-9	6.208846448E-6	307.437929481E+0	-70.758295647E+0	2.441717267E+3	313.858453848E-3	289.276981927E-3	6.208846447E+0	-41.356602311E-6
2.440357460E+3	244.060000000E+0	1.000000000E-6	310.431135033E-6	-71.349231653E-6	2.468285617E-3	237.677332087E-9	228.279418942E-9	5.537591831E-6	310.431135014E+0	-71.349231649E+0	2.468285617E+3	237.677332073E-3	228.279418928E-3	5.537591831E+0	-41.356602311E-6
2.482774609E+3	243.066300000E+0	1.000000000E-6	313.457324950E-6	-71.798714848E-6	2.495859833E-3	257.703125534E-9	257.793304174E-9	5.743274490E-6	313.457324931E+0	-71.798714844E+0	2.495859833E+3	257.703125518E-3	257.793304158E-3	5.743274489E+0	-41.356602311E-6
2.525036117E+3	242.069800000E+0	1.000000000E-6	316.654060883E-6	-72.273431563E-6	2.523371800E-3	290.505655149E-9	333.098206815E-9	6.244074612E-6	316.654060864E+0	-72.273431559E+0	2.523371800E+3	290.505655131E-3	333.098206794E-3	6.244074611E+0	-41.356602311E-6
2.567444686E+3	241.059600000E+0	1.000000000E-6	319.703750483E-6	-72.743197328E-6	2.551836350E-3	200.521747387E-9	248.213213614E-9	6.279942655E-6	319.703750463E+0	-72.743197324E+0	2.551836350E+3	200.521747374E-3	248.213213598E-3	6.279942655E+0	-41.356602311E-6
2.610093369E+3	240.040700000E+0	1.000000000E-6	323.097374217E-6	-73.275552960E-6	2.583200133E-3	190.957952902E-9	209.788701058E-9	5.345765881E-6	323.097374197E+0	-73.275552955E+0	2.583200133E+3	190.957952890E-3	209.788701045E-3	5.345765881E+0	-41.356602311E-6
2.651335765E+3	239.113200000E+0	1.000000000E-6	326.129494050E-6	-73.591679392E-6	2.610035133E-3	329.371955841E-9	300.672600549E-9	6.018809192E-6	326.129494030E+0	-73.591679387E+0	2.610035133E+3	329.371955821E-3	300.672600531E-3	6.018809192E+0	-41.356602311E-6
2.693726919E+3	238.066000000E+0	1.000000000E-6	329.066299367E-6	-74.264756142E-6	2.641227750E-3	251.109982041E-9	292.222995406E-9	6.653402370E-6	329.066299346E+0	-74.264756137E+0	2.641227750E+3	251.109982026E-3	292.222995388E-3	6.653402370E+0	-41.356602311E-6
2.735995111E+3	237.082500000E+0	1.000000000E-6	332.195164817E-6	-74.593233667E-6	2.670276617E-3	219.510460282E-9	219.774020055E-9	6.102059121E-6	332.195164796E+0	-74.593233662E+0	2.670276617E+3	219.510460268E-3	219.774020042E-3	6.102059121E+0	-41.356602311E-6
2.777306462E+3	236.104300000E+0	1.000000000E-6	335.524262767E-6	-74.853643250E-6	2.698314417E-3	256.823470423E-9	274.488425438E-9	5.628754174E-6	335.524262746E+0	-74.853643245E+0	2.698314416E+3	256.823470407E-3	274.488425421E-3	5.628754173E+0	-41.356602311E-6
2.819538739E+3	235.072400000E+0	1.000000000E-6	338.814119183E-6	-75.316993710E-6	2.730358900E-3	208.903828627E-9	301.100967391E-9	4.726523966E-6	338.814119162E+0	-75.316993705E+0	2.730358900E+3	208.903828614E-3	301.100967372E-3	4.726523966E+0	-41.356602311E-6
2.861948429E+3	234.061700000E+0	1.000000000E-6	342.000415817E-6	-75.711426273E-6	2.758027950E-3	303.100309123E-9	349.762239125E-9	4.764192814E-6	342.000415795E+0	-75.711426269E+0	2.758027950E+3	303.100309104E-3	349.762239103E-3	4.764192814E+0	-41.356602311E-6
2.904227963E+3	233.052400000E+0	1.000000000E-6	345.224494517E-6	-76.115578445E-6	2.787768233E-3	330.837127832E-9	374.664040111E-9	5.840844014E-6	345.224494495E+0	-76.115578440E+0	2.787768233E+3	330.837127811E-3	374.664040088E-3	5.840844014E+0	-41.356602311E-6
2.946339533E+3	232.067000000E+0	1.000000000E-6	348.375415167E-6	-76.661073612E-6	2.816536967E-3	173.428850516E-9	226.557742627E-9	5.386155948E-6	348.375415145E+0	-76.661073607E+0	2.816536966E+3	173.428850505E-3	226.557742612E-3	5.386155947E+0	-41.356602311E-6
2.988752029E+3	231.059200000E+0	1.000000000E-6	351.600217467E-6	-77.148787550E-6	2.847771817E-3	265.538985221E-9	273.992086393E-9	6.685590276E-6	351.600217445E+0	-77.148787545E+0	2.847771816E+3	265.538985205E-3	273.992086375E-3	6.685590276E+0	-41.356602311E-6
3.030002163E+3	230.118100000E+0	1.000000000E-6	354.891649183E-6	-77.335357097E-6	2.876593250E-3	313.094406915E-9	296.908997493E-9	5.683238266E-6	354.891649161E+0	-77.335357092E+0	2.876593250E+3	313.094406895E-3	296.908997474E-3	5.683238266E+0	-41.356602311E-6
3.071571940E+3	229.095300000E+0	1.000000000E-6	358.418943983E-6	-77.611751855E-6	2.906826617E-3	296.675259567E-9	274.104856656E-9	7.142952996E-6	358.418943961E+0	-77.611751850E+0	2.906826616E+3	296.675259549E-3	274.104856639E-3	7.142952996E+0	-41.356602311E-6
3.113897329E+3	228.066300000E+0	1.000000000E-6	361.563071300E-6	-78.182281250E-6	2.937881033E-3	183.177198745E-9	238.999133159E-9	4.641465724E-6	361.563071278E+0	-78.182281245E+0	2.937881033E+3	183.177198734E-3	238.999133144E-3	4.641465723E+0	-41.356602311E-6
3.155343894E+3	227.095800000E+0	1.000000000E-6	364.769552100E-6	-78.689662128E-6	2.967816700E-3	304.959906136E-9	304.519034480E-9	5.735498493E-6	364.769552077E+0	-78.689662123E+0	2.967816700E+3	304.959906117E-3	304.519034461E-3	5.735498493E+0	-41.356602311E-6
3.196963433E+3	226.087200000E+0	1.000000000E-6	367.950832650E-6	-79.302147635E-6	2.997884683E-3	243.740139224E-9	304.057915345E-9	6.382896010E-6	367.950832627E+0	-79.302147630E+0	2.997884683E+3	243.740139209E-3	304.057915327E-3	6.382896010E+0	-41.356602311E-6
3.239449233E+3	225.070700000E+0	1.000000000E-6	371.721865017E-6	-79.325536927E-6	3.029390533E-3	366.362864339E-9	358.013533222E-9	5.600165630E-6	371.721864994E+0	-79.325536922E+0	3.029390533E+3	366.362864317E-3	358.013533199E-3	5.600165629E+0	-41.356602311E-6
3.282086242E+3	224.055500000E+0	1.000000000E-6	375.014710267E-6	-79.595393087E-6	3.059719300E-3	229.813015272E-9	247.652015058E-9	5.986182602E-6	375.014710243E+0	-79.595393082E+0	3.059719300E+3	229.813015258E-3	247.652015042E-3	5.986182602E+0	-41.356602311E-6
3.324651610E+3	223.054700000E+0	1.000000000E-6	378.445839867E-6	-80.222580225E-6	3.092967700E-3	273.278637260E-9	344.495269346E-9	5.984173741E-6	378.445839843E+0	-80.222580220E+0	3.092967700E+3	273.278637243E-3	344.495269325E-3	5.984173741E+0	-41.356602311E-6
3.366012558E+3	222.087900000E+0	1.000000000E-6	381.709941167E-6	-80.464316262E-6	3.121748250E-3	227.078653323E-9	321.346806597E-9	7.217532281E-6	381.709941143E+0	-80.464316257E+0	3.121748250E+3	227.078653308E-3	321.346806577E-3	7.217532280E+0	-41.356602311E-6
3.407408977E+3	221.102100000E+0	1.000000000E-6	384.851328767E-6	-80.983344167E-6	3.150577100E-3	207.692145584E-9	285.187198484E-9	5.994528539E-6	384.851328743E+0	-80.983344162E+0	3.150577100E+3	207.692145571E-3	285.187198466E-3	5.994528539E+0	-41.356602311E-6
3.449859367E+3	220.055100000E+0	1.000000000E-6	388.715528650E-6	-81.253669572E-6	3.185400133E-3	178.612167553E-9	280.687033874E-9	4.627488559E-6	388.715528626E+0	-81.253669567E+0	3.185400133E+3	178.612167542E-3	280.687033857E-3	4.627488559E+0	-41.356602311E-6
3.492149836E+3	219.073000000E+0	1.000000000E-6	392.483141617E-6	-81.402625715E-6	3.217788567E-3	258.708446608E-9	231.002523098E-9	5.826062967E-6	392.483141592E+0	-81.402625710E+0	3.217788566E+3	258.708446592E-3	231.002523084E-3	5.826062967E+0	-41.356602311E-6
3.533565594E+3	218.084800000E+0	1.000000000E-6	395.495059900E-6	-82.013747318E-6	3.247758633E-3	425.381877809E-9	312.817499843E-9	6.114293774E-6	395.495059875E+0	-82.013747313E+0	3.247758633E+3	425.381877782E-3	312.817499824E-3	6.114293774E+0	-41.356602311E-6
3.574842558E+3	217.104000000E+0	1.000000000E-6	398.873715233E-6	-82.213956448E-6	3.282090167E-3	219.518167759E-9	320.393394490E-9	6.990799930E-6	398.873715209E+0	-82.213956443E+0	3.282090166E+3	219.518167746E-3	320.393394470E-3	6.990799930E+0	-41.356602311E-6
3.616231247E+3	216.110200000E+0	1.000000000E-6	402.662564917E-6	-82.322477947E-6	3.314868950E-3	359.564482654E-9	372.932307139E-9	6.419079845E-6	402.662564892E+0	-82.322477942E+0	3.314868950E+3	359.564482632E-3	372.932307116E-3	6.419079844E+0	-41.356602311E-6
3.657578290E+3	215.102700000E+0	1.000000000E-6	406.276545967E-6	-82.929332413E-6	3.346133817E-3	381.419451230E-9	316.604469235E-9	5.936543813E-6	406.276545941E+0	-82.929332408E+0	3.346133816E+3	381.419451206E-3	316.604469215E-3	5.936543813E+0	-41.356602311E-6
3.699826790E+3	214.070600000E+0	1.000000000E-6	409.724152067E-6	-83.289986812E-6	3.379194467E-3	363.445824741E-9	412.949880837E-9	6.219223584E-6	409.724152041E+0	-83.289986806E+0	3.379194466E+3	363.445824719E-3	412.949880812E-3	6.219223584E+0	-41.356602311E-6
