[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181213 13:44:14"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 2.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	Magnetic Field (T)
3.273043638E+3	222.061000000E+0	1.000000000E-6	346.276742317E-6	3.640526750E-3	125.321732093E-9	6.228957877E-6	346.276742295E+0	3.640526750E+3	125.321732085E-3	6.228957877E+0	-4.353326932E-6
3.314613611E+3	221.059600000E+0	1.000000000E-6	350.211763283E-6	3.693264600E-3	152.269591994E-9	6.098184442E-6	350.211763262E+0	3.693264600E+3	152.269591985E-3	6.098184442E+0	-4.353326932E-6
3.355030921E+3	220.108400000E+0	1.000000000E-6	354.092203467E-6	3.776525967E-3	146.497577559E-9	5.642818633E-6	354.092203445E+0	3.776525966E+3	146.497577550E-3	5.642818633E+0	-4.353326932E-6
3.395557610E+3	219.111000000E+0	1.000000000E-6	358.161679567E-6	3.841134967E-3	170.010934644E-9	6.689830046E-6	358.161679544E+0	3.841134966E+3	170.010934634E-3	6.689830046E+0	-4.353326932E-6
3.437031917E+3	218.085500000E+0	1.000000000E-6	362.312678150E-6	3.893247083E-3	208.103708817E-9	7.750190295E-6	362.312678127E+0	3.893247083E+3	208.103708804E-3	7.750190294E+0	-4.353326932E-6
3.478391821E+3	217.062200000E+0	1.000000000E-6	366.585304700E-6	4.009108600E-3	221.856476724E-9	6.770544712E-6	366.585304677E+0	4.009108600E+3	221.856476710E-3	6.770544712E+0	-4.353326932E-6
3.520016738E+3	216.073500000E+0	1.000000000E-6	370.631362517E-6	4.063787217E-3	192.071876326E-9	5.884300314E-6	370.631362494E+0	4.063787216E+3	192.071876314E-3	5.884300314E+0	-4.353326932E-6
3.561459022E+3	215.068200000E+0	1.000000000E-6	374.835514867E-6	4.146476383E-3	158.241549717E-9	5.629126329E-6	374.835514843E+0	4.146476383E+3	158.241549708E-3	5.629126329E+0	-4.353326932E-6
3.603040135E+3	214.064100000E+0	1.000000000E-6	379.233945783E-6	4.307334550E-3	165.938773183E-9	5.598549603E-6	379.233945760E+0	4.307334550E+3	165.938773173E-3	5.598549603E+0	-4.353326932E-6
3.643546012E+3	213.105500000E+0	1.000000000E-6	383.210446633E-6	4.350493500E-3	170.226130723E-9	9.372276183E-6	383.210446610E+0	4.350493500E+3	170.226130712E-3	9.372276183E+0	-4.353326932E-6
3.684985850E+3	212.062000000E+0	1.000000000E-6	387.489438017E-6	4.417755633E-3	129.463776553E-9	10.369433313E-6	387.489437993E+0	4.417755633E+3	129.463776545E-3	10.369433313E+0	-4.353326932E-6
3.726426241E+3	211.057700000E+0	1.000000000E-6	392.017849800E-6	4.588590667E-3	137.950147997E-9	15.419702682E-6	392.017849776E+0	4.588590666E+3	137.950147988E-3	15.419702681E+0	-4.353326932E-6
3.766899280E+3	210.107500000E+0	1.000000000E-6	396.321481700E-6	4.699664367E-3	154.709921642E-9	10.798936284E-6	396.321481675E+0	4.699664366E+3	154.709921632E-3	10.798936283E+0	-4.353326932E-6
3.808672415E+3	209.064000000E+0	1.000000000E-6	400.785162883E-6	4.815460083E-3	173.187206354E-9	7.445436510E-6	400.785162858E+0	4.815460083E+3	173.187206343E-3	7.445436509E+0	-4.353326932E-6
3.849183696E+3	208.090800000E+0	1.000000000E-6	405.729965550E-6	5.106645983E-3	231.104609475E-9	31.651833994E-6	405.729965525E+0	5.106645983E+3	231.104609461E-3	31.651833992E+0	-4.353326932E-6
3.889555625E+3	207.106100000E+0	1.000000000E-6	411.052255483E-6	5.568001450E-3	175.710660547E-9	10.493141606E-6	411.052255458E+0	5.568001450E+3	175.710660536E-3	10.493141605E+0	-4.353326932E-6
3.930837667E+3	206.072100000E+0	1.000000000E-6	414.622534550E-6	5.405731600E-3	216.945082307E-9	28.888961261E-6	414.622534524E+0	5.405731600E+3	216.945082293E-3	28.888961259E+0	-4.353326932E-6
3.972382509E+3	205.058100000E+0	1.000000000E-6	419.425483183E-6	5.576860167E-3	202.373342449E-9	10.740986820E-6	419.425483157E+0	5.576860166E+3	202.373342437E-3	10.740986819E+0	-4.353326932E-6
4.013909070E+3	204.061500000E+0	1.000000000E-6	427.996800217E-6	7.113838467E-3	160.368754798E-9	44.275217514E-6	427.996800190E+0	7.113838466E+3	160.368754788E-3	44.275217512E+0	-4.353326932E-6
4.055555070E+3	203.052400000E+0	1.000000000E-6	432.426032850E-6	7.169905300E-3	139.343538233E-9	9.441394088E-6	432.426032823E+0	7.169905300E+3	139.343538224E-3	9.441394087E+0	-4.353326932E-6
4.096997631E+3	202.056700000E+0	1.000000000E-6	438.270040733E-6	7.578944450E-3	250.014463907E-9	394.857149834E-6	438.270040706E+0	7.578944450E+3	250.014463891E-3	394.857149810E+0	-4.353326932E-6
4.137340250E+3	201.109500000E+0	1.000000000E-6	444.848786367E-6	8.558584500E-3	147.509730118E-9	18.086156202E-6	444.848786339E+0	8.558584499E+3	147.509730109E-3	18.086156201E+0	-4.353326932E-6
4.178913178E+3	200.052900000E+0	1.000000000E-6	450.633973417E-6	9.058129600E-3	170.834255620E-9	9.154405929E-6	450.633973389E+0	9.058129599E+3	170.834255609E-3	9.154405928E+0	-4.353326932E-6
4.219514743E+3	199.097500000E+0	1.000000000E-6	455.090882017E-6	9.133749567E-3	185.497047907E-9	9.452142973E-6	455.090881988E+0	9.133749566E+3	185.497047896E-3	9.452142972E+0	-4.353326932E-6
4.260051239E+3	198.100100000E+0	1.000000000E-6	459.570740367E-6	9.215375367E-3	175.135035268E-9	6.521010482E-6	459.570740338E+0	9.215375366E+3	175.135035257E-3	6.521010482E+0	-4.353326932E-6
4.300605618E+3	197.108300000E+0	1.000000000E-6	450.993914717E-6	16.259651167E-3	146.108682150E-9	132.916443365E-6	450.993914689E+0	16.259651166E+3	146.108682141E-3	132.916443357E+0	-4.353326932E-6
4.341058297E+3	196.101400000E+0	1.000000000E-6	442.162904667E-6	23.389423833E-3	167.079820994E-9	107.557551192E-6	442.162904639E+0	23.389423832E+3	167.079820984E-3	107.557551186E+0	-4.353326932E-6
4.382492091E+3	195.072800000E+0	1.000000000E-6	446.538725083E-6	23.903851667E-3	137.081760433E-9	47.651750667E-6	446.538725056E+0	23.903851665E+3	137.081760424E-3	47.651750664E+0	-4.353326932E-6
4.422946276E+3	194.100700000E+0	1.000000000E-6	450.872259450E-6	24.140749667E-3	103.477610786E-9	82.876044038E-6	450.872259422E+0	24.140749665E+3	103.477610780E-3	82.876044033E+0	-4.353326932E-6
4.463432837E+3	193.093800000E+0	1.000000000E-6	455.248715367E-6	24.353120500E-3	137.810784491E-9	69.136966030E-6	455.248715338E+0	24.353120498E+3	137.810784482E-3	69.136966026E+0	-4.353326932E-6
4.504813750E+3	192.063300000E+0	1.000000000E-6	459.984327950E-6	24.440264500E-3	176.988568684E-9	72.294895053E-6	459.984327921E+0	24.440264498E+3	176.988568673E-3	72.294895048E+0	-4.353326932E-6
4.546217989E+3	191.066400000E+0	1.000000000E-6	464.632656383E-6	24.277508333E-3	123.496803738E-9	66.438264921E-6	464.632656354E+0	24.277508332E+3	123.496803730E-3	66.438264917E+0	-4.353326932E-6
4.586524349E+3	190.096200000E+0	1.000000000E-6	468.967127600E-6	24.392298167E-3	148.767449318E-9	75.949581692E-6	468.967127571E+0	24.392298165E+3	148.767449309E-3	75.949581687E+0	-4.353326932E-6
4.628204760E+3	189.045400000E+0	1.000000000E-6	473.763707800E-6	24.105550500E-3	143.415389064E-9	111.511256368E-6	473.763707771E+0	24.105550499E+3	143.415389055E-3	111.511256361E+0	-4.353326932E-6
