[Main]
Experiment = "VvsI"
Header length = 65    
Date = "20181214 14:19:00"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 0.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
1.669833860E+3	2.199978711E+0	1.000000000E-6	162.716907233E-6	-39.414919723E-6	1.213026633E-3	104.236316476E-9	355.594991882E-9	5.241499483E-6	162.716907223E+0	-39.414919721E+0	1.213026633E+3	104.236316469E-3	355.594991860E-3	5.241499482E+0	300.002900000E+0
1.712110003E+3	2.299979883E+0	1.000000000E-6	162.775932600E-6	-39.339936837E-6	1.211702817E-3	124.261327942E-9	195.464210992E-9	5.325194438E-6	162.775932590E+0	-39.339936834E+0	1.211702817E+3	124.261327935E-3	195.464210979E-3	5.325194437E+0	299.998900000E+0
1.754342968E+3	2.399982617E+0	1.000000000E-6	162.766932583E-6	-39.337018788E-6	1.212979617E-3	130.744569930E-9	340.222937662E-9	5.821479384E-6	162.766932573E+0	-39.337018786E+0	1.212979617E+3	130.744569922E-3	340.222937641E-3	5.821479383E+0	300.001200000E+0
1.796597196E+3	2.499980664E+0	1.000000000E-6	162.814939100E-6	-39.223686565E-6	1.214315617E-3	137.235776152E-9	247.321926122E-9	6.537493419E-6	162.814939090E+0	-39.223686563E+0	1.214315617E+3	137.235776143E-3	247.321926107E-3	6.537493419E+0	300.002700000E+0
1.838880001E+3	2.599976367E+0	1.000000000E-6	162.887866267E-6	-39.189159313E-6	1.213945100E-3	116.911829468E-9	400.735703825E-9	5.497765580E-6	162.887866257E+0	-39.189159311E+0	1.213945100E+3	116.911829461E-3	400.735703800E-3	5.497765579E+0	300.003800000E+0
1.881147465E+3	2.699986523E+0	1.000000000E-6	162.953071117E-6	-39.097548212E-6	1.213401150E-3	133.429931228E-9	297.862056713E-9	5.090328947E-6	162.953071107E+0	-39.097548209E+0	1.213401150E+3	133.429931220E-3	297.862056695E-3	5.090328947E+0	300.004000000E+0
1.923459149E+3	2.799988086E+0	1.000000000E-6	162.962644650E-6	-39.020235752E-6	1.215084600E-3	107.544696001E-9	251.038196651E-9	4.804887727E-6	162.962644640E+0	-39.020235749E+0	1.215084600E+3	107.544695994E-3	251.038196636E-3	4.804887727E+0	300.004500000E+0
1.965762633E+3	2.900004688E+0	1.000000000E-6	162.992929200E-6	-38.972381047E-6	1.214881933E-3	131.220985720E-9	271.186371158E-9	7.084447478E-6	162.992929190E+0	-38.972381044E+0	1.214881933E+3	131.220985712E-3	271.186371141E-3	7.084447478E+0	300.004700000E+0
2.008077723E+3	3.000023242E+0	1.000000000E-6	163.075060550E-6	-38.830444405E-6	1.215184783E-3	132.120367183E-9	257.636767002E-9	5.846490502E-6	163.075060540E+0	-38.830444403E+0	1.215184783E+3	132.120367175E-3	257.636766986E-3	5.846490501E+0	299.997500000E+0
2.050317253E+3	3.100010547E+0	1.000000000E-6	163.112725133E-6	-38.708556903E-6	1.215896167E-3	126.033262377E-9	256.295630716E-9	5.688487529E-6	163.112725123E+0	-38.708556901E+0	1.215896167E+3	126.033262369E-3	256.295630700E-3	5.688487529E+0	299.992100000E+0
