[Main]
Experiment = ""
Header length = 58    
Date = "20181213 18:12:55"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Magnetic Field (T)	Temperature (K)
132.166929722E+0	-760.000000000E-9	-10.543192900E-3	-592.564850000E-3	4.920684421E-6	165.941337266E-6	13.872622237E+3	779.690592105E+3	6.474584764E+0	218.343864824E+0	76.850717047E-6	2.453827152E-6	-4.353326932E-6	1.999800000E+0
137.647640705E+0	-750.000000000E-9	-10.411534210E-3	-588.344630000E-3	4.558414134E-6	203.356626017E-6	13.882045613E+3	784.459506667E+3	6.077885512E+0	271.142168022E+0	75.953968553E-6	2.369544716E-6	-4.353326932E-6	2.000600000E+0
143.089695930E+0	-740.000000000E-9	-10.280988767E-3	-584.057493333E-3	4.788886012E-6	134.391779134E-6	13.893228063E+3	789.266882883E+3	6.471467583E+0	181.610512343E+0	76.601677888E-6	2.332559183E-6	-4.353326932E-6	1.999500000E+0
148.522473812E+0	-730.000000000E-9	-10.149999873E-3	-580.096126667E-3	5.000420291E-6	129.335297828E-6	13.904109416E+3	794.652228311E+3	6.849890810E+0	177.171640861E+0	76.342350451E-6	2.524381316E-6	-4.353326932E-6	1.999600000E+0
153.954630375E+0	-720.000000000E-9	-10.023816627E-3	-575.647053333E-3	5.133240329E-6	178.168764888E-6	13.921967537E+3	799.509796296E+3	7.129500457E+0	247.456617900E+0	79.249823286E-6	2.247659063E-6	-4.353326932E-6	1.999700000E+0
159.407590389E+0	-710.000000000E-9	-9.886356487E-3	-571.350516667E-3	5.254324052E-6	167.779619582E-6	13.924445756E+3	804.719037559E+3	7.400456411E+0	236.309323355E+0	72.748361816E-6	2.327455990E-6	-4.353326932E-6	1.999500000E+0
168.305581570E+0	-700.000000000E-9	-9.759331069E-3	-567.014100000E-3	5.163053592E-6	222.518436276E-6	13.941901527E+3	810.020142857E+3	7.375790846E+0	317.883480394E+0	78.724401649E-6	2.306051463E-6	-4.353326932E-6	1.999900000E+0
177.255163193E+0	-690.000000000E-9	-9.623173297E-3	-562.676883333E-3	5.341868446E-6	164.411624061E-6	13.946627967E+3	815.473743961E+3	7.741838328E+0	238.277716031E+0	73.444210181E-6	2.305626112E-6	-4.353326932E-6	1.999800000E+0
186.199706554E+0	-680.000000000E-9	-9.492957551E-3	-558.518326667E-3	4.219735024E-6	181.452942381E-6	13.960231693E+3	821.350480392E+3	6.205492682E+0	266.842562326E+0	76.795627884E-6	2.404680470E-6	-4.353326932E-6	1.999600000E+0
195.188951969E+0	-670.000000000E-9	-9.359206674E-3	-553.622780000E-3	3.243374748E-6	175.668163661E-6	13.968965186E+3	826.302656716E+3	4.840857833E+0	262.191289047E+0	74.765865086E-6	2.042672797E-6	-4.353326932E-6	1.999800000E+0
