[Main]
Experiment = "Rvst"
Header length = 36    
Date = "20200210 09:36:47"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Time Sweep ]
Interval = 5.000000E+0
Duration = 3.600000E+3

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 1.000000E-3
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
1.263092857E+3	100.000001490E-3	981.279981480E-12	4.198264006E-12	101.907715818E+6	435.997374179E+3
1.283093832E+3	100.000001490E-3	985.093322533E-12	6.840864281E-12	101.513226415E+6	704.946616446E+3
1.303092426E+3	100.000001490E-3	974.308178400E-12	18.727158571E-12	102.636931217E+6	1.972782461E+6
1.323092545E+3	100.000001490E-3	1.000067185E-9	11.887813045E-12	99.993283408E+6	1.188621601E+6
1.343092978E+3	100.000001490E-3	975.885783767E-12	10.802374966E-12	102.471009573E+6	1.134282604E+6
1.363091871E+3	100.000001490E-3	968.446099300E-12	7.058806607E-12	103.258200495E+6	752.628017641E+3
1.383092378E+3	100.000001490E-3	977.885265333E-12	15.635294647E-12	102.261487145E+6	1.635047116E+6
1.403092936E+3	100.000001490E-3	972.957986433E-12	2.372060911E-12	102.779362403E+6	250.574959484E+3
1.423092882E+3	100.000001490E-3	980.888957600E-12	7.341621621E-12	101.948340549E+6	763.048799163E+3
1.443092382E+3	100.000001490E-3	1.000211775E-9	18.111470398E-12	99.978828523E+6	1.810380201E+6
1.463092364E+3	100.000001490E-3	978.545402022E-12	7.032946058E-12	102.192500505E+6	734.472148285E+3
1.483092497E+3	100.000001490E-3	990.206282324E-12	7.795771649E-12	100.989059830E+6	795.074383557E+3
1.503093334E+3	100.000001490E-3	978.619040287E-12	10.691573735E-12	102.184810813E+6	1.116385840E+6
1.523092930E+3	100.000001490E-3	1.000502477E-9	21.742579092E-12	99.949779015E+6	2.172074558E+6
1.543092772E+3	100.000001490E-3	999.861617833E-12	21.123733848E-12	100.013841622E+6	2.112958167E+6
