[Main]
Experiment = "IvsV_300.0K"
Header length = 41    
Date = "20200216 17:18:20"
Comments = "SD: 1I+ to 1V+; BG: 3I- to 1V+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 1
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
347.601489067E+0	7.900000095E+0	19.649179667E-9	346.571896800E-12	402.052412843E+6	7.091393620E+6	299.998600000E+0
350.592952728E+0	8.000000000E+0	19.587810000E-9	540.385502090E-12	408.417275847E+6	11.267353250E+6	299.998600000E+0
353.584536076E+0	8.100000381E+0	20.485768000E-9	476.588013729E-12	395.396471417E+6	9.198640683E+6	299.998600000E+0
356.574124813E+0	8.199999809E+0	21.016725667E-9	544.373991282E-12	390.165430111E+6	10.106042008E+6	299.998600000E+0
359.558367252E+0	8.300000191E+0	21.606031000E-9	432.946908295E-12	384.152007869E+6	7.697731440E+6	299.998600000E+0
362.550822735E+0	8.399999619E+0	22.303117000E-9	381.461248822E-12	376.628953636E+6	6.441671404E+6	299.998600000E+0
365.537384987E+0	8.500000000E+0	23.045670000E-9	571.064252759E-12	368.832843653E+6	9.139558635E+6	299.998600000E+0
368.531754494E+0	8.600000381E+0	23.977856000E-9	395.588336197E-12	358.664276801E+6	5.917268187E+6	299.999500000E+0
371.561064243E+0	8.699999809E+0	24.811284333E-9	366.053690557E-12	350.646894872E+6	5.173274717E+6	299.999500000E+0
374.553313732E+0	8.800000191E+0	26.015003333E-9	625.943661805E-12	338.266348767E+6	8.138983274E+6	299.999500000E+0
377.538901806E+0	8.899999619E+0	27.017198667E-9	652.224069488E-12	329.419779169E+6	7.952545769E+6	299.999500000E+0
380.536325932E+0	9.000000000E+0	27.950597667E-9	675.559484707E-12	321.996692426E+6	7.782585625E+6	299.999500000E+0
383.530936718E+0	9.100000381E+0	29.247170000E-9	479.393427350E-12	311.141227731E+6	5.099948458E+6	299.999500000E+0
386.521102428E+0	9.199999809E+0	31.168250667E-9	543.429905349E-12	295.172157965E+6	5.146435056E+6	299.999500000E+0
389.518095493E+0	9.300000191E+0	32.525447333E-9	657.698979625E-12	285.929970322E+6	5.781806713E+6	299.999500000E+0
392.514444828E+0	9.399999619E+0	34.047658333E-9	746.237240792E-12	276.083586322E+6	6.051043266E+6	299.999500000E+0
395.504992962E+0	9.500000000E+0	34.462729333E-9	880.044847674E-12	275.660116995E+6	7.039293473E+6	299.999500000E+0
398.504065514E+0	9.600000381E+0	35.593950333E-9	678.957329285E-12	269.708764876E+6	5.144715351E+6	299.999500000E+0
401.499786377E+0	9.699999809E+0	36.078331000E-9	738.322787994E-12	268.859438350E+6	5.502057457E+6	299.999500000E+0
404.520612240E+0	9.800000191E+0	37.770411667E-9	712.136079659E-12	259.462361100E+6	4.891990860E+6	299.999500000E+0
407.519812107E+0	9.899999619E+0	39.021990333E-9	917.398516235E-12	253.703092384E+6	5.964504592E+6	299.999500000E+0
410.509281635E+0	10.000000000E+0	40.744629667E-9	757.064303316E-12	245.431117716E+6	4.560285359E+6	299.999500000E+0
