[Main]
Experiment = "IvsV_300.0K"
Header length = 41    
Date = "20200213 15:14:58"
Comments = "3I+ to 2V-; BG: 3I- to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 1
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
155.188092232E+0	4.300000191E+0	86.414546667E-9	1.942288310E-9	49.760142900E+6	1.118429102E+6	299.999500000E+0
158.167787552E+0	4.400000095E+0	94.120755333E-9	1.643531841E-9	46.748457126E+6	816.319180061E+3	299.999500000E+0
161.149907589E+0	4.500000000E+0	99.054907000E-9	1.246473768E-9	45.429349603E+6	571.667717238E+3	299.999500000E+0
164.143311501E+0	4.599999905E+0	106.112173333E-9	2.325752762E-9	43.350350484E+6	950.147322300E+3	299.999500000E+0
167.261629581E+0	4.699999809E+0	113.332876667E-9	1.071195538E-9	41.470753655E+6	391.971752502E+3	299.999500000E+0
170.252565861E+0	4.800000191E+0	122.257433333E-9	1.810626657E-9	39.261417976E+6	581.459695621E+3	299.999500000E+0
173.241694450E+0	4.900000095E+0	127.298300000E-9	2.016875920E-9	38.492266553E+6	609.859876496E+3	299.999500000E+0
176.230937958E+0	5.000000000E+0	137.032870000E-9	1.851327687E-9	36.487596005E+6	492.951046701E+3	299.999500000E+0
179.216312885E+0	5.099999905E+0	144.783513333E-9	2.323109148E-9	35.225004472E+6	565.199229137E+3	299.999500000E+0
182.207304001E+0	5.199999809E+0	154.621126667E-9	2.659089483E-9	33.630590601E+6	578.360484831E+3	300.000900000E+0
185.260341167E+0	5.300000191E+0	161.486663333E-9	1.877001911E-9	32.820048921E+6	381.476050447E+3	300.000900000E+0
188.252829552E+0	5.400000095E+0	170.883730000E-9	2.426499769E-9	31.600434374E+6	448.717070501E+3	300.000900000E+0
191.243164062E+0	5.500000000E+0	180.841853333E-9	2.038174012E-9	30.413313614E+6	342.772562300E+3	300.000900000E+0
194.231202602E+0	5.599999905E+0	192.729173333E-9	2.044277925E-9	29.056316736E+6	308.200288887E+3	300.000900000E+0
197.222214699E+0	5.699999809E+0	200.032506667E-9	2.054844371E-9	28.495367599E+6	292.720151792E+3	300.000900000E+0
200.212038517E+0	5.800000191E+0	210.683176667E-9	4.277531021E-9	27.529488982E+6	558.935198256E+3	300.000900000E+0
203.210763454E+0	5.900000095E+0	221.993093333E-9	2.947838135E-9	26.577403859E+6	352.920369946E+3	300.000900000E+0
206.217889786E+0	6.000000000E+0	232.279456667E-9	2.342386153E-9	25.830954171E+6	260.488250846E+3	300.000900000E+0
