[Main]
Experiment = "RvsB_75.00Vg_1.8K"
Header length = 71    
Date = "20200225 04:12:16"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.800000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 5.000000E-2
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear+Reveresed"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 50.000000E-3
Final Voltage (V) = 50.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
2.076706853E+3	-7.499985156E+0	50.000000745E-3	738.479998128E-9	598.340747253E-12	67.706641848E+3	54.858144811E+0	75.000000000E+0	104.063560546E-12	1.800100000E+0
2.115235157E+3	-7.449976562E+0	50.000000745E-3	739.768742414E-9	700.237018872E-12	67.588690733E+3	63.976889797E+0	75.000000000E+0	110.308966128E-12	1.800100000E+0
2.153759857E+3	-7.399995312E+0	50.000000745E-3	739.408779781E-9	625.655915050E-12	67.621594593E+3	57.218485632E+0	75.000000000E+0	101.649844791E-12	1.800100000E+0
2.192150274E+3	-7.349984375E+0	50.000000745E-3	737.945840756E-9	540.712061658E-12	67.755650867E+3	49.646323139E+0	75.000000000E+0	94.217673247E-12	1.800100000E+0
2.230623708E+3	-7.299989062E+0	50.000000745E-3	739.629014828E-9	716.067922377E-12	67.601459303E+3	65.447995606E+0	75.000000000E+0	94.579671178E-12	1.800000000E+0
2.269081970E+3	-7.249978125E+0	50.000000745E-3	739.042484604E-9	1.027846322E-9	67.655110209E+3	94.093448837E+0	75.000000000E+0	87.997312215E-12	1.800000000E+0
2.307616796E+3	-7.199968750E+0	50.000000745E-3	738.647265188E-9	695.186615828E-12	67.691309643E+3	63.708477226E+0	75.000000000E+0	90.954105358E-12	1.800200000E+0
2.346120452E+3	-7.149989844E+0	50.000000745E-3	738.801673376E-9	697.600095755E-12	67.677162284E+3	63.902934429E+0	75.000000000E+0	81.359698839E-12	1.800200000E+0
2.384643180E+3	-7.099971094E+0	50.000000745E-3	739.297941463E-9	640.960464254E-12	67.631732676E+3	58.635719570E+0	75.000000000E+0	85.488167934E-12	1.800200000E+0
2.423150604E+3	-7.049973438E+0	50.000000745E-3	738.578818159E-9	469.861533755E-12	67.697582866E+3	43.067157268E+0	75.000000000E+0	76.954783518E-12	1.800200000E+0
2.461607365E+3	-6.999981250E+0	50.000000745E-3	738.406443412E-9	623.837857710E-12	67.713386294E+3	57.207211856E+0	75.000000000E+0	74.963523930E-12	1.800100000E+0
2.500198680E+3	-6.949982031E+0	50.000000745E-3	739.373106054E-9	614.914550970E-12	67.624857241E+3	56.241575984E+0	75.000000000E+0	73.862295447E-12	1.800100000E+0
2.538749669E+3	-6.899999219E+0	50.000000745E-3	738.919424676E-9	591.849179773E-12	67.666377517E+3	54.198453437E+0	75.000000000E+0	70.533447832E-12	1.800100000E+0
2.577203214E+3	-6.849992969E+0	50.000000745E-3	737.800914677E-9	350.286299120E-12	67.768960095E+3	32.174720517E+0	75.000000000E+0	71.438551602E-12	1.800100000E+0
2.615705655E+3	-6.799980469E+0	50.000000745E-3	738.844599404E-9	1.064785633E-9	67.673230318E+3	97.527251946E+0	75.000000000E+0	74.133814365E-12	1.800000000E+0
2.654240656E+3	-6.749973437E+0	50.000000745E-3	738.386506151E-9	911.758779862E-12	67.715214632E+3	83.614666514E+0	75.000000000E+0	79.725508834E-12	1.800000000E+0
2.692776842E+3	-6.699984375E+0	50.000000745E-3	738.885644853E-9	570.457187556E-12	67.669471038E+3	52.244263237E+0	75.000000000E+0	79.469027886E-12	1.800100000E+0
2.731317341E+3	-6.649991406E+0	50.000000745E-3	739.272780317E-9	460.283613761E-12	67.634034522E+3	42.110082573E+0	NaN	NaN	1.800100000E+0
2.837085169E+3	-6.599982813E+0	50.000000745E-3	738.352071990E-9	498.582734149E-12	67.718372633E+3	45.727793908E+0	75.000000000E+0	82.174303473E-12	1.800300000E+0
2.875677769E+3	-6.549984766E+0	50.000000745E-3	738.755469782E-9	401.224582069E-12	67.681394982E+3	36.758359872E+0	75.000000000E+0	84.542709639E-12	1.800300000E+0
2.914175654E+3	-6.499982422E+0	50.000000745E-3	738.809202272E-9	648.752927080E-12	67.676472615E+3	59.427128910E+0	75.000000000E+0	78.307314105E-12	1.799900000E+0
2.953328319E+3	-6.449976172E+0	50.000000745E-3	735.104590303E-9	474.328981833E-12	68.017533021E+3	43.888567165E+0	NaN	NaN	1.799900000E+0
3.059570295E+3	-6.399981641E+0	50.000000745E-3	738.218264661E-9	578.997897046E-12	67.730647071E+3	53.122367865E+0	75.000000000E+0	90.033873412E-12	1.799900000E+0
3.097918775E+3	-6.349969141E+0	50.000000745E-3	738.531129864E-9	582.140462304E-12	67.701954221E+3	53.365451144E+0	75.000000000E+0	86.056358567E-12	1.799900000E+0
3.136421666E+3	-6.299976563E+0	50.000000745E-3	738.162352260E-9	711.400396224E-12	67.735777356E+3	65.280027763E+0	75.000000000E+0	89.425433031E-12	1.800000000E+0
3.174961798E+3	-6.249973437E+0	50.000000745E-3	739.309776557E-9	585.781686230E-12	67.630650007E+3	53.586192768E+0	75.000000000E+0	89.008098808E-12	1.800000000E+0
3.212885084E+3	-6.199998047E+0	50.000000745E-3	735.074831111E-9	565.214738534E-12	68.020286682E+3	52.302251315E+0	75.000000000E+0	94.785904819E-12	1.800300000E+0
3.251585384E+3	-6.149982813E+0	50.000000745E-3	739.009940489E-9	831.079477936E-12	67.658089568E+3	76.087271193E+0	75.000000000E+0	97.033648477E-12	1.800300000E+0
3.290134054E+3	-6.099970703E+0	50.000000745E-3	739.295743277E-9	762.923606920E-12	67.631933769E+3	69.793447782E+0	75.000000000E+0	99.402142073E-12	1.800000000E+0
