[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201116 23:49:53"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
63.731289864E+0	-9.000000000E+0	-2.472097867E-6	150.225057218E-12	3.640632566E+6	221.234864092E+0	802.280943500E-3	-588.660595400E-3	215.737195983E-6	221.998074390E-6	-324.534458897E+3	238.121881555E+3	87.268873491E+0	89.801491026E+0	400.047600000E+0
70.064394474E+0	-8.899999619E+0	-2.450126500E-6	107.282659202E-12	3.632465352E+6	159.053233533E+0	792.763093767E-3	-585.341258633E-3	218.155492505E-6	236.487690637E-6	-323.560066701E+3	238.902464274E+3	89.038460873E+0	96.520604400E+0	400.047600000E+0
76.404394627E+0	-8.800000191E+0	-2.427197933E-6	107.573530052E-12	3.625579962E+6	160.685879645E+0	783.606165567E-3	-581.476849967E-3	170.962724309E-6	188.644397682E-6	-322.843948903E+3	239.567132940E+3	70.436251597E+0	77.721060607E+0	400.047600000E+0
82.742150784E+0	-8.699999809E+0	-2.404282300E-6	106.048508744E-12	3.618543384E+6	159.607351296E+0	774.260506467E-3	-577.557947000E-3	168.573650998E-6	236.181846156E-6	-322.033941882E+3	240.220521109E+3	70.113917570E+0	98.233824770E+0	400.047600000E+0
89.081031322E+0	-8.600000381E+0	-2.381711767E-6	131.680827116E-12	3.610848509E+6	199.637724810E+0	765.081279767E-3	-573.396762067E-3	194.372580383E-6	249.017738735E-6	-321.231683226E+3	240.749854828E+3	81.610454759E+0	104.554103574E+0	400.047600000E+0
95.420260906E+0	-8.500000000E+0	-2.359473867E-6	182.860929507E-12	3.602498048E+6	279.196201743E+0	756.089305833E-3	-569.212920867E-3	198.839521527E-6	279.480401097E-6	-320.448264554E+3	241.245698420E+3	84.272822147E+0	118.450305827E+0	400.047600000E+0
101.753645897E+0	-8.399999619E+0	-2.337453600E-6	171.826416017E-12	3.593654059E+6	264.169820291E+0	747.105921133E-3	-564.840989200E-3	238.240064878E-6	204.784761485E-6	-319.623850986E+3	241.648000713E+3	101.922906567E+0	87.610193197E+0	400.047600000E+0
108.088834763E+0	-8.300000191E+0	-2.315276500E-6	180.729699103E-12	3.584885084E+6	279.834915006E+0	738.096218367E-3	-560.302859567E-3	168.083545062E-6	195.994056902E-6	-318.793983512E+3	242.002568405E+3	72.597612018E+0	84.652548800E+0	400.047600000E+0
114.420989037E+0	-8.199999809E+0	-2.292899133E-6	99.217536455E-12	3.576258410E+6	154.750614201E+0	728.972146800E-3	-555.367485800E-3	182.051483468E-6	199.663981969E-6	-317.925955051E+3	242.211913174E+3	79.397946827E+0	87.079269675E+0	400.047600000E+0
120.755309582E+0	-8.100000381E+0	-2.269818933E-6	110.523186312E-12	3.568566753E+6	173.762480500E+0	720.146871567E-3	-550.578629800E-3	168.072231023E-6	224.709906437E-6	-317.270624978E+3	242.565000104E+3	74.046536733E+0	98.999044874E+0	400.023500000E+0
127.273059368E+0	-8.000000000E+0	-2.246451767E-6	116.877089384E-12	3.561171497E+6	185.278564846E+0	711.245129867E-3	-545.718790400E-3	190.045764275E-6	296.513993163E-6	-316.608235449E+3	242.924775193E+3	84.598194849E+0	131.992147601E+0	400.023500000E+0
133.606283188E+0	-7.900000095E+0	-2.222449433E-6	61.984249019E-12	3.554636599E+6	99.139029589E+0	702.384748433E-3	-540.666904700E-3	148.767160875E-6	205.577373895E-6	-316.040823201E+3	243.275233439E+3	66.938378279E+0	92.500360554E+0	400.023500000E+0
139.939761162E+0	-7.800000191E+0	-2.198070933E-6	89.634096550E-12	3.548566187E+6	144.705304729E+0	693.553246133E-3	-535.421949733E-3	290.976186172E-6	192.826638678E-6	-315.528145892E+3	243.587202585E+3	132.377978235E+0	87.725394005E+0	400.023500000E+0
146.277250767E+0	-7.699999809E+0	-2.173335400E-6	88.521028088E-12	3.542941328E+6	144.305756420E+0	684.640528533E-3	-530.048841167E-3	153.057298099E-6	257.138811460E-6	-315.018348541E+3	243.887271687E+3	70.425070193E+0	118.315291538E+0	400.023500000E+0
152.615141869E+0	-7.599999905E+0	-2.148473933E-6	73.321179766E-12	3.537394514E+6	120.721008070E+0	675.812739733E-3	-524.930161533E-3	163.407013372E-6	260.467248300E-6	-314.554777346E+3	244.326986420E+3	76.057247350E+0	121.233608777E+0	400.023500000E+0
158.953189850E+0	-7.500000000E+0	-2.123628200E-6	76.735281639E-12	3.531691659E+6	127.614313131E+0	666.963556433E-3	-519.480614733E-3	200.280687761E-6	239.843239000E-6	-314.067950517E+3	244.619380517E+3	94.310617914E+0	112.940315541E+0	400.023500000E+0
165.293600082E+0	-7.400000095E+0	-2.098599600E-6	70.155787236E-12	3.526161015E+6	117.878895012E+0	658.193577567E-3	-513.913948333E-3	186.628528718E-6	226.686151360E-6	-313.634662642E+3	244.884230576E+3	88.930031588E+0	108.017818816E+0	400.023500000E+0
171.617342472E+0	-7.300000191E+0	-2.073552667E-6	89.015044576E-12	3.520527985E+6	151.131900591E+0	649.429898433E-3	-508.280079900E-3	187.689348385E-6	258.107137808E-6	-313.196722163E+3	245.125232684E+3	90.515833720E+0	124.475805200E+0	400.023500000E+0
177.949199200E+0	-7.199999809E+0	-2.048445033E-6	95.093958376E-12	3.514861123E+6	163.168672745E+0	640.669838767E-3	-502.610365500E-3	202.282418718E-6	229.211937727E-6	-312.759106708E+3	245.361900037E+3	98.749253910E+0	111.895576399E+0	400.023500000E+0
184.272409916E+0	-7.099999905E+0	-2.023379967E-6	79.027486852E-12	3.508980034E+6	137.050815015E+0	631.797700667E-3	-496.758152900E-3	169.477833692E-6	228.898379364E-6	-312.248668602E+3	245.509079404E+3	83.759766571E+0	113.126739977E+0	400.016900000E+0
190.799438477E+0	-7.000000000E+0	-1.997967200E-6	87.150444634E-12	3.503561019E+6	152.823780414E+0	623.020000433E-3	-490.878846200E-3	207.817967122E-6	174.819641004E-6	-311.826941120E+3	245.689141543E+3	104.014704106E+0	87.498754236E+0	400.016900000E+0
197.149500370E+0	-6.900000095E+0	-1.972363433E-6	89.037645403E-12	3.498341116E+6	157.924270222E+0	614.253070600E-3	-484.740862933E-3	177.105554772E-6	247.946301250E-6	-311.429962764E+3	245.766502634E+3	89.793570383E+0	125.710250484E+0	400.016900000E+0
203.482419968E+0	-6.800000191E+0	-1.946659767E-6	88.629676408E-12	3.493163165E+6	159.040591588E+0	605.467556733E-3	-478.887402233E-3	202.320236415E-6	226.935712537E-6	-311.028956935E+3	246.004674486E+3	103.931996684E+0	116.576977869E+0	400.016900000E+0
209.820624352E+0	-6.699999809E+0	-1.920826767E-6	99.024094363E-12	3.488081240E+6	179.820529267E+0	596.637370100E-3	-472.912860033E-3	199.162534804E-6	236.324296110E-6	-310.614877122E+3	246.202764476E+3	103.685838963E+0	123.032592117E+0	400.016900000E+0
216.157127380E+0	-6.599999905E+0	-1.894832833E-6	82.965752524E-12	3.483156819E+6	152.510934780E+0	587.888424333E-3	-466.637525467E-3	173.212008308E-6	269.256818678E-6	-310.258727837E+3	246.268439758E+3	91.412817670E+0	142.100566309E+0	400.016900000E+0
222.499440193E+0	-6.500000000E+0	-1.868442100E-6	76.024202136E-12	3.478834051E+6	141.548717564E+0	578.971644733E-3	-460.537471833E-3	177.923349693E-6	262.162073891E-6	-309.868657280E+3	246.482067511E+3	95.225508831E+0	140.310515317E+0	400.016900000E+0
228.832255363E+0	-6.400000095E+0	-1.842177833E-6	83.848830861E-12	3.474148901E+6	158.129860389E+0	570.069822733E-3	-454.462595967E-3	186.444188442E-6	189.687457075E-6	-309.454284173E+3	246.698547634E+3	101.208572304E+0	102.969134490E+0	400.016900000E+0
235.172857761E+0	-6.300000191E+0	-1.815701500E-6	80.943040850E-12	3.469733429E+6	154.678935190E+0	561.289688800E-3	-448.017835767E-3	185.386744469E-6	223.419734590E-6	-309.131037673E+3	246.746414962E+3	102.101994446E+0	123.048714004E+0	400.016900000E+0
241.501785755E+0	-6.199999809E+0	-1.788893833E-6	103.641984348E-12	3.465828823E+6	200.797481637E+0	552.519494433E-3	-441.659916733E-3	169.320001134E-6	201.439876827E-6	-308.860975502E+3	246.889954286E+3	94.650670699E+0	112.605831086E+0	400.016900000E+0
247.831732750E+0	-6.099999905E+0	-1.762000133E-6	98.417034317E-12	3.461974712E+6	193.369613098E+0	543.695463067E-3	-435.286323100E-3	178.684115380E-6	227.018547748E-6	-308.567208811E+3	247.041027333E+3	101.409819443E+0	128.841390788E+0	400.009800000E+0
254.340577602E+0	-6.000000000E+0	-1.735134933E-6	81.228894695E-12	3.457944327E+6	161.880779549E+0	534.815090967E-3	-428.915287933E-3	184.258782550E-6	248.147838635E-6	-308.226801670E+3	247.194197808E+3	106.192768649E+0	143.013568494E+0	400.009800000E+0
260.683287144E+0	-5.900000095E+0	-1.708041300E-6	62.628158259E-12	3.454249084E+6	126.655753744E+0	525.989419033E-3	-422.358107800E-3	200.872056051E-6	242.050958783E-6	-307.948888024E+3	247.276285298E+3	117.603746497E+0	141.712591366E+0	400.009800000E+0
267.013222694E+0	-5.800000191E+0	-1.681001633E-6	77.479022003E-12	3.450323947E+6	159.028831216E+0	517.092349000E-3	-415.838744833E-3	183.222538648E-6	229.129300512E-6	-307.609664825E+3	247.375574531E+3	108.996050340E+0	136.305221820E+0	400.009800000E+0
273.342609882E+0	-5.699999809E+0	-1.653580267E-6	88.364032835E-12	3.447065694E+6	184.204318530E+0	508.227640000E-3	-409.247903100E-3	170.279949901E-6	206.823206179E-6	-307.349845813E+3	247.492009520E+3	102.976525140E+0	125.076000451E+0	400.009800000E+0
279.673925877E+0	-5.599999905E+0	-1.626258300E-6	85.389230525E-12	3.443487363E+6	180.805679042E+0	499.434985767E-3	-402.791464267E-3	158.099222403E-6	253.510434888E-6	-307.106802017E+3	247.679882259E+3	97.216550657E+0	155.885713166E+0	400.009800000E+0
286.014196873E+0	-5.500000000E+0	-1.598709033E-6	78.981657990E-12	3.440275801E+6	169.961313178E+0	490.411891167E-3	-396.088598300E-3	145.396062781E-6	249.888411911E-6	-306.754938479E+3	247.755276315E+3	90.945919332E+0	156.306373893E+0	400.009800000E+0
292.352763176E+0	-5.400000095E+0	-1.570969867E-6	92.761739041E-12	3.437367075E+6	202.967704446E+0	481.435507900E-3	-389.286175800E-3	160.226378864E-6	294.766282478E-6	-306.457506357E+3	247.799899960E+3	101.992012873E+0	187.633314128E+0	400.009800000E+0
298.695101738E+0	-5.300000191E+0	-1.543487867E-6	92.520914069E-12	3.433781570E+6	205.830325247E+0	472.661713267E-3	-382.561914200E-3	182.759793169E-6	245.176075073E-6	-306.229626727E+3	247.855472312E+3	118.407016418E+0	158.845482604E+0	400.009800000E+0
305.035589695E+0	-5.199999809E+0	-1.515883500E-6	88.665878054E-12	3.430342641E+6	200.644932354E+0	463.731074733E-3	-375.942244200E-3	199.936109388E-6	247.561832747E-6	-305.914718864E+3	248.002068892E+3	131.894112831E+0	163.311911995E+0	400.009800000E+0
311.584059238E+0	-5.099999905E+0	-1.488040933E-6	79.040772252E-12	3.427325009E+6	182.050378702E+0	454.836796067E-3	-369.171632733E-3	184.089838207E-6	266.165026915E-6	-305.661481400E+3	248.092390783E+3	123.712885905E+0	178.869425533E+0	400.024900000E+0
318.136727333E+0	-5.000000000E+0	-1.460128300E-6	64.128722921E-12	3.424356613E+6	150.397479742E+0	445.949725300E-3	-362.345944233E-3	159.550006677E-6	237.737415926E-6	-305.418178183E+3	248.160346069E+3	109.271224095E+0	162.819538479E+0	400.024900000E+0
324.479075432E+0	-4.900000095E+0	-1.432037733E-6	77.607737498E-12	3.421697614E+6	185.435204706E+0	437.023628800E-3	-355.568907900E-3	211.291752722E-6	290.244146660E-6	-305.176056907E+3	248.295767369E+3	147.546218793E+0	202.679119344E+0	400.024900000E+0
330.811722755E+0	-4.800000191E+0	-1.403826433E-6	82.861614312E-12	3.419226250E+6	201.821678245E+0	428.170126667E-3	-348.701310100E-3	194.846212311E-6	208.091154072E-6	-305.002182962E+3	248.393463622E+3	138.796511937E+0	148.231397508E+0	400.024900000E+0
337.145340919E+0	-4.699999809E+0	-1.375298567E-6	76.475230758E-12	3.417439619E+6	190.031088359E+0	419.228010033E-3	-341.863781533E-3	157.221600908E-6	246.039073011E-6	-304.826908276E+3	248.574229494E+3	114.318159503E+0	178.898661698E+0	400.024900000E+0
343.477380276E+0	-4.599999905E+0	-1.346615300E-6	101.406709293E-12	3.415971811E+6	257.239361798E+0	410.250206233E-3	-335.105289867E-3	209.484357208E-6	249.430151953E-6	-304.652862799E+3	248.850053810E+3	155.563624747E+0	185.227475102E+0	400.024900000E+0
349.805588722E+0	-4.500000000E+0	-1.317962300E-6	91.997807320E-12	3.414361701E+6	238.332909717E+0	401.348318767E-3	-328.124680933E-3	195.293657497E-6	222.737489748E-6	-304.521850714E+3	248.963631914E+3	148.178485452E+0	169.001412065E+0	400.024900000E+0
356.131652355E+0	-4.400000095E+0	-1.289319533E-6	94.461352555E-12	3.412652939E+6	250.026315532E+0	392.468480200E-3	-321.304992100E-3	224.632685599E-6	218.811869796E-6	-304.399700814E+3	249.205091363E+3	174.225767773E+0	169.711126016E+0	400.024900000E+0
362.464083195E+0	-4.300000191E+0	-1.261026667E-6	102.516385009E-12	3.409920111E+6	277.212760170E+0	383.509213067E-3	-314.266302500E-3	166.535498416E-6	245.237566832E-6	-304.124586104E+3	249.214636619E+3	132.063423255E+0	194.474528822E+0	400.024900000E+0
368.805162430E+0	-4.199999809E+0	-1.232602467E-6	84.424924140E-12	3.407424472E+6	233.385507776E+0	374.562982867E-3	-307.425838700E-3	142.385049730E-6	247.684837289E-6	-303.879793361E+3	249.411993740E+3	115.515791652E+0	200.944622445E+0	400.024900000E+0
375.151379585E+0	-4.099999905E+0	-1.204051267E-6	94.475296291E-12	3.405170542E+6	267.185048350E+0	365.588077333E-3	-300.345413767E-3	184.827642693E-6	210.808454591E-6	-303.631653780E+3	249.445702257E+3	153.504794862E+0	175.082623495E+0	400.001300000E+0
381.708877563E+0	-4.000000000E+0	-1.175712400E-6	89.348832075E-12	3.402192577E+6	258.551269214E+0	356.667755600E-3	-293.410046500E-3	197.303660392E-6	204.475213041E-6	-303.363097642E+3	249.559370557E+3	167.816262202E+0	173.916012998E+0	400.001300000E+0
388.056373596E+0	-3.900000095E+0	-1.147292100E-6	89.950695307E-12	3.399308768E+6	266.514680328E+0	347.726303833E-3	-286.317061267E-3	215.582737779E-6	230.193073328E-6	-303.084370435E+3	249.558993099E+3	187.905711004E+0	200.640336779E+0	400.001300000E+0
394.396338463E+0	-3.799999952E+0	-1.119022167E-6	80.145162839E-12	3.395821875E+6	243.211176025E+0	338.859050700E-3	-279.371522667E-3	176.322003910E-6	239.016276558E-6	-302.817102998E+3	249.656826280E+3	157.567927752E+0	213.593871219E+0	400.001300000E+0
400.727429867E+0	-3.700000048E+0	-1.090541267E-6	81.273456384E-12	3.392810672E+6	252.851917291E+0	329.877279233E-3	-272.243196467E-3	218.009558058E-6	215.220259305E-6	-302.489497020E+3	249.640435248E+3	199.909498817E+0	197.351779234E+0	400.001300000E+0
407.064962387E+0	-3.599999905E+0	-1.061837667E-6	106.601848122E-12	3.390348655E+6	340.369760565E+0	320.850536500E-3	-265.164849000E-3	182.737932447E-6	252.492830887E-6	-302.165337106E+3	249.722586911E+3	172.095922177E+0	237.788542273E+0	400.001300000E+0
413.400245190E+0	-3.500000000E+0	-1.032954767E-6	75.329933297E-12	3.388338108E+6	247.100155709E+0	311.950583467E-3	-257.992023767E-3	177.472093298E-6	259.644082045E-6	-301.998299958E+3	249.761201644E+3	171.810130535E+0	251.360553651E+0	400.001300000E+0
419.733433723E+0	-3.400000095E+0	-1.004160467E-6	81.956141902E-12	3.385913117E+6	276.346644855E+0	302.927325967E-3	-250.919947600E-3	137.521757915E-6	196.591275558E-6	-301.672228715E+3	249.880328821E+3	136.951973793E+0	195.776752904E+0	400.001300000E+0
426.072893620E+0	-3.299999952E+0	-975.210400000E-9	67.985003417E-12	3.383885111E+6	235.901340687E+0	294.032562200E-3	-243.806108933E-3	163.114299022E-6	250.441848027E-6	-301.506795046E+3	250.003598130E+3	167.260622961E+0	256.808016021E+0	400.001300000E+0
432.414999485E+0	-3.200000048E+0	-946.102753333E-9	81.160087581E-12	3.382296517E+6	290.145526590E+0	284.997844800E-3	-236.543616067E-3	185.503219253E-6	216.464260830E-6	-301.233501114E+3	250.018949034E+3	196.070900967E+0	228.795720198E+0	400.001300000E+0
438.759680271E+0	-3.099999905E+0	-916.925820000E-9	70.052573361E-12	3.380862265E+6	258.295814858E+0	275.947546333E-3	-229.322724100E-3	206.203681515E-6	217.975477382E-6	-300.948604908E+3	250.099538150E+3	224.885892640E+0	237.724222208E+0	400.004300000E+0
445.294207573E+0	-3.000000000E+0	-887.724376667E-9	70.535790296E-12	3.379427307E+6	268.518677806E+0	266.962360800E-3	-222.213290567E-3	190.679107042E-6	222.848538370E-6	-300.726630717E+3	250.317887407E+3	214.795393766E+0	251.033478664E+0	400.004300000E+0
451.641263485E+0	-2.900000095E+0	-858.540593333E-9	71.333891608E-12	3.377825251E+6	280.654662358E+0	257.981009633E-3	-214.989138433E-3	159.976839483E-6	226.671571421E-6	-300.487841386E+3	250.412316089E+3	186.335789740E+0	264.019631897E+0	400.004300000E+0
457.979219437E+0	-2.799999952E+0	-829.345760000E-9	66.900742741E-12	3.376155142E+6	272.343933638E+0	248.976110400E-3	-207.757589333E-3	147.064546996E-6	268.687841963E-6	-300.207853477E+3	250.507809111E+3	177.325976799E+0	323.975662410E+0	400.004300000E+0
464.316960812E+0	-2.700000048E+0	-800.110283333E-9	73.579762413E-12	3.374534866E+6	310.329061957E+0	240.015532233E-3	-200.532684500E-3	154.841072406E-6	223.022062812E-6	-299.978062066E+3	250.631305055E+3	193.524662327E+0	278.739153161E+0	400.004300000E+0
470.643784046E+0	-2.599999905E+0	-770.866660000E-9	62.736155775E-12	3.372827026E+6	274.493907587E+0	231.073823300E-3	-193.444132333E-3	162.140424594E-6	249.330378105E-6	-299.758486507E+3	250.943700605E+3	210.335240849E+0	323.441641781E+0	400.004300000E+0
476.978330612E+0	-2.500000000E+0	-741.539216667E-9	49.973855809E-12	3.371365861E+6	227.203292356E+0	222.007915300E-3	-186.053451500E-3	192.504902547E-6	260.303931609E-6	-299.387962646E+3	250.901701917E+3	259.601782644E+0	351.031915451E+0	400.004300000E+0
483.324876308E+0	-2.400000095E+0	-712.270330000E-9	62.026713655E-12	3.369507326E+6	293.427168445E+0	212.982185700E-3	-178.837648767E-3	151.957503401E-6	207.734790197E-6	-299.018752754E+3	251.081143260E+3	213.342458615E+0	291.651612383E+0	400.004300000E+0
489.669330597E+0	-2.299999952E+0	-682.981063333E-9	86.223316645E-12	3.367589639E+6	425.143189671E+0	204.030602267E-3	-171.597766500E-3	213.137797705E-6	235.662705686E-6	-298.735372356E+3	251.248205422E+3	312.069849586E+0	345.050131457E+0	400.004300000E+0
496.009901047E+0	-2.200000048E+0	-653.602133333E-9	66.528735473E-12	3.365962159E+6	342.613946089E+0	194.923715867E-3	-164.335592867E-3	201.219552602E-6	231.454879269E-6	-298.229926014E+3	251.430624971E+3	307.862447719E+0	354.121976451E+0	400.004300000E+0
502.347195148E+0	-2.099999905E+0	-624.186163333E-9	77.646833021E-12	3.364380738E+6	418.518584200E+0	185.939035067E-3	-157.070011033E-3	117.521160449E-6	227.375374088E-6	-297.890350651E+3	251.639687420E+3	188.279022113E+0	364.274935019E+0	399.997100000E+0
508.910282612E+0	-2.000000000E+0	-594.819673333E-9	77.024966545E-12	3.362363569E+6	435.402447261E+0	176.951591967E-3	-149.694254733E-3	192.943329229E-6	203.834844061E-6	-297.487793191E+3	251.663254335E+3	324.372810583E+0	342.683426927E+0	399.997100000E+0
515.256324768E+0	-1.899999976E+0	-565.357393333E-9	61.796735397E-12	3.360705986E+6	367.344021729E+0	167.909147467E-3	-142.430610800E-3	210.450164836E-6	204.941449974E-6	-296.996465327E+3	251.930217026E+3	372.242704028E+0	362.498929688E+0	399.997100000E+0
521.587583542E+0	-1.799999952E+0	-535.940180000E-9	56.863565694E-12	3.358583699E+6	356.347689440E+0	158.877102733E-3	-135.042045500E-3	204.264366778E-6	221.551948967E-6	-296.445589755E+3	251.972235969E+3	381.132772650E+0	413.389324471E+0	399.997100000E+0
527.919748306E+0	-1.700000048E+0	-506.444996667E-9	66.155555887E-12	3.356731844E+6	438.480906284E+0	149.889417167E-3	-127.832842633E-3	227.265728119E-6	219.264523488E-6	-295.963862124E+3	252.412095044E+3	448.747108995E+0	432.948345687E+0	399.997100000E+0
534.254957676E+0	-1.600000024E+0	-476.917590000E-9	76.113256582E-12	3.354877357E+6	535.418794420E+0	140.827317167E-3	-120.443162467E-3	211.536338364E-6	248.990374867E-6	-295.286481605E+3	252.545020339E+3	443.549038239E+0	522.082598940E+0	399.997100000E+0
540.586131573E+0	-1.500000000E+0	-447.295470000E-9	79.886204195E-12	3.353488020E+6	598.927211857E+0	131.867892267E-3	-113.216860367E-3	189.903705146E-6	226.354030476E-6	-294.811597950E+3	253.114256593E+3	424.559866760E+0	506.050352972E+0	399.997100000E+0
546.925132275E+0	-1.399999976E+0	-417.615170000E-9	72.022032788E-12	3.352368584E+6	578.150453879E+0	122.741048467E-3	-105.722965733E-3	211.840156652E-6	200.730264544E-6	-293.909458477E+3	253.158824986E+3	507.261641506E+0	480.658460141E+0	399.997100000E+0
