[Main]
Experiment = "RvsT_75.00Vg"
Header length = 66    
Date = "20191122 23:21:34"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	STD_Voltage 2 (V)	Resistance 2 (Ohms)	STD_Resistance 2 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
1.710099792E+3	28.939900000E+0	100.000001490E-3	159.215321847E-12	2.415773413E-9	628.080264700E+6	9.529859230E+9	43.549521933E-3	255.988598538E-3	273.525948558E+6	1.607813843E+9	75.000000000E+0	343.102130040E-12
1.780361113E+3	29.932100000E+0	100.000001490E-3	-30.086759933E-12	2.510753035E-9	-3.323721189E+9	277.365960295E+9	33.208026567E-3	251.892709336E-3	-1.103742199E+9	8.372211228E+9	75.000000000E+0	291.359492088E-12
1.850151036E+3	30.934700000E+0	100.000001490E-3	373.076398533E-12	2.482605886E-9	268.041617972E+6	1.783660669E+9	22.998826000E-3	255.032919498E-3	61.646424406E+6	683.594353598E+6	75.000000000E+0	331.687760591E-12
1.919518832E+3	31.936000000E+0	100.000001490E-3	345.510722467E-12	2.098041021E-9	289.426622642E+6	1.757482148E+9	33.591742300E-3	248.674183883E-3	97.223443777E+6	719.729281069E+6	75.000000000E+0	291.007745679E-12
1.989573294E+3	32.929500000E+0	100.000001490E-3	597.892169433E-12	1.992486819E-9	167.254241822E+6	557.377883914E+6	18.570412600E-3	252.844365630E-3	31.059802335E+6	422.892920423E+6	75.000000000E+0	285.677731471E-12
2.059806977E+3	33.937300000E+0	100.000001490E-3	1.286943310E-9	1.973525594E-9	77.703501582E+6	119.158200653E+6	31.343462300E-3	253.568957689E-3	24.354967361E+6	197.031956113E+6	75.000000000E+0	311.373454798E-12
2.122116845E+3	34.917800000E+0	100.000001490E-3	1.134968122E-9	1.807768214E-9	88.108202847E+6	140.338045999E+6	20.562929600E-3	257.793695794E-3	18.117627453E+6	227.137389033E+6	75.000000000E+0	264.709365538E-12
2.189810378E+3	35.918700000E+0	100.000001490E-3	1.068116411E-9	1.940956742E-9	93.622755410E+6	170.129132439E+6	24.843569833E-3	251.644770940E-3	23.259234274E+6	235.596764888E+6	75.000000000E+0	326.407595397E-12
2.255595376E+3	36.916000000E+0	100.000001490E-3	911.916255100E-12	1.816369642E-9	109.659193957E+6	218.420967634E+6	24.375526400E-3	254.958383575E-3	26.730005375E+6	279.585304186E+6	75.000000000E+0	219.805562640E-12
2.322475300E+3	37.923400000E+0	100.000001490E-3	977.337989200E-12	1.978289534E-9	102.318750110E+6	207.109633181E+6	16.998279767E-3	254.149331530E-3	17.392427138E+6	260.042415560E+6	75.000000000E+0	247.964343503E-12
2.388889636E+3	38.928400000E+0	100.000001490E-3	1.027567090E-9	1.604742437E-9	97.317248190E+6	151.979485912E+6	28.233977233E-3	249.595668705E-3	27.476529289E+6	242.899632765E+6	75.000000000E+0	399.923094641E-12
2.451552946E+3	39.931600000E+0	100.000001490E-3	786.293054733E-12	1.922413259E-9	127.179047161E+6	310.940920917E+6	12.133780967E-3	246.872430926E-3	15.431626788E+6	313.970000676E+6	75.000000000E+0	318.110454645E-12
2.515293248E+3	40.918700000E+0	100.000001490E-3	953.483265290E-12	1.752051822E-9	104.878612064E+6	192.717344917E+6	46.875303933E-3	249.159070268E-3	49.162167434E+6	261.314570836E+6	75.000000000E+0	452.269111051E-12
2.574678608E+3	41.938900000E+0	100.000001490E-3	835.821152000E-12	1.530367601E-9	119.642822212E+6	219.063011667E+6	19.118450833E-3	249.239159154E-3	22.873853799E+6	298.196759627E+6	75.000000000E+0	283.615936292E-12
2.636305760E+3	42.939400000E+0	100.000001490E-3	912.030878200E-12	1.566549282E-9	109.645412102E+6	188.332375277E+6	19.564916567E-3	246.289526958E-3	21.452033077E+6	270.045162774E+6	75.000000000E+0	410.633471670E-12
2.697087399E+3	43.940600000E+0	100.000001490E-3	810.769677167E-12	1.545608192E-9	123.339592373E+6	235.128039075E+6	25.767638800E-3	247.290388180E-3	31.781700186E+6	305.006952214E+6	75.000000000E+0	134.975669530E-12
2.757429761E+3	44.941800000E+0	100.000001490E-3	800.869176967E-12	1.561241569E-9	124.864340352E+6	243.414785160E+6	30.195562867E-3	248.966206262E-3	37.703489827E+6	310.870006516E+6	75.000000000E+0	264.708810427E-12
2.817456912E+3	45.930900000E+0	100.000001490E-3	936.988606933E-12	1.607702505E-9	106.724885180E+6	183.120545947E+6	12.637947900E-3	250.600809702E-3	13.487835184E+6	267.453422430E+6	75.000000000E+0	378.401587842E-12
2.880412853E+3	46.937400000E+0	100.000001490E-3	759.332363267E-12	1.362767818E-9	131.694639038E+6	236.351332552E+6	12.165166500E-3	243.831058525E-3	16.020871872E+6	321.112427601E+6	75.000000000E+0	291.862367607E-12
2.943504334E+3	47.940000000E+0	100.000001490E-3	711.970224567E-12	1.327974078E-9	140.455314056E+6	261.978675231E+6	28.945566900E-3	240.939485309E-3	40.655586289E+6	338.412305733E+6	75.000000000E+0	347.325890271E-12
3.004295804E+3	48.938300000E+0	100.000001490E-3	814.573047933E-12	1.426977373E-9	122.763700252E+6	215.058702120E+6	17.811534333E-3	249.759126772E-3	21.866098293E+6	306.613541174E+6	75.000000000E+0	352.806478476E-12
3.067012873E+3	49.924800000E+0	100.000001490E-3	1.025738433E-9	1.312400725E-9	97.490742507E+6	124.736401560E+6	16.855335600E-3	245.794200129E-3	16.432391584E+6	239.626587174E+6	75.000000000E+0	318.311405012E-12
3.126830259E+3	50.919100000E+0	100.000001490E-3	970.332794647E-12	1.306091236E-9	103.057427351E+6	138.717771270E+6	25.346879967E-3	242.052854190E-3	26.121842018E+6	249.453440640E+6	75.000000000E+0	392.330029575E-12
3.187036951E+3	51.903500000E+0	100.000001490E-3	904.839420133E-12	1.199557976E-9	110.516848918E+6	146.513695825E+6	15.894611400E-3	244.198839052E-3	17.566223405E+6	269.880857994E+6	75.000000000E+0	310.769188161E-12
3.246767534E+3	52.933100000E+0	100.000001490E-3	922.066736083E-12	1.200908180E-9	108.452021504E+6	141.248908157E+6	10.821034800E-3	243.292122392E-3	11.735630813E+6	263.855220963E+6	75.000000000E+0	297.795482718E-12
3.307422941E+3	53.923200000E+0	100.000001490E-3	1.023940941E-9	1.146307001E-9	97.661884098E+6	109.332967392E+6	15.370192767E-3	238.649782773E-3	15.010819622E+6	233.069870779E+6	75.000000000E+0	386.999987612E-12
3.366609557E+3	54.920900000E+0	100.000001490E-3	911.510716200E-12	1.179960437E-9	109.707982268E+6	142.018164389E+6	15.309124400E-3	244.559992053E-3	16.795331232E+6	268.301828719E+6	75.000000000E+0	330.782123914E-12
3.430378693E+3	55.929900000E+0	100.000001490E-3	808.610785333E-12	1.040195678E-9	123.668893989E+6	159.087476102E+6	18.439708200E-3	244.599989975E-3	22.804182846E+6	302.494097793E+6	75.000000000E+0	340.889150241E-12
3.492701235E+3	56.934100000E+0	100.000001490E-3	964.958958800E-12	1.101584476E-9	103.631351964E+6	118.304190596E+6	15.774180433E-3	238.611088931E-3	16.346996201E+6	247.275893710E+6	75.000000000E+0	328.619881307E-12
3.556197353E+3	57.924700000E+0	100.000001490E-3	853.724252067E-12	1.087172100E-9	117.133841809E+6	149.163672589E+6	11.866260133E-3	238.718154062E-3	13.899406166E+6	279.619740782E+6	75.000000000E+0	273.508521387E-12
3.618578680E+3	58.939300000E+0	100.000001490E-3	1.033142564E-9	1.142096601E-9	96.792064282E+6	106.999645055E+6	6.726764283E-3	239.046841447E-3	6.510973912E+6	231.378368990E+6	75.000000000E+0	317.205289813E-12
3.682957964E+3	59.927100000E+0	100.000001490E-3	1.093324176E-9	917.458153468E-12	91.464182066E+6	76.751764417E+6	22.009627900E-3	241.263985367E-3	20.130925835E+6	220.670127549E+6	75.000000000E+0	467.706540164E-12
3.744628946E+3	60.924400000E+0	100.000001490E-3	1.083235894E-9	983.369900465E-12	92.315996953E+6	83.805174144E+6	11.137744623E-3	236.581640462E-3	10.281919834E+6	218.402696746E+6	75.000000000E+0	291.661250706E-12
3.809638141E+3	61.926000000E+0	100.000001490E-3	860.343839217E-12	967.048143653E-12	116.232600191E+6	130.648370015E+6	12.254093030E-3	237.277678147E-3	14.243250746E+6	275.794010872E+6	75.000000000E+0	319.317489117E-12
3.872351102E+3	62.917900000E+0	100.000001490E-3	1.106567367E-9	726.240253715E-12	90.369555827E+6	59.309546875E+6	33.845312293E-3	236.901534421E-3	30.585857932E+6	214.086861213E+6	75.000000000E+0	304.031244625E-12
3.940288636E+3	63.939400000E+0	100.000001490E-3	934.900487667E-12	841.006391871E-12	106.963257383E+6	96.220704066E+6	20.194762903E-3	239.145504659E-3	21.600975900E+6	255.797817857E+6	75.000000000E+0	293.823437802E-12
4.008794372E+3	64.938900000E+0	100.000001490E-3	977.447036875E-12	755.245739908E-12	102.307335045E+6	79.049990474E+6	-11.033017517E-3	238.598779049E-3	-11.287586028E+6	244.104048657E+6	75.000000000E+0	286.230705804E-12
4.073518646E+3	65.940800000E+0	100.000001490E-3	1.050086320E-9	748.969592033E-12	95.230267835E+6	67.922582649E+6	21.560998030E-3	237.917927871E-3	20.532595866E+6	226.569876563E+6	75.000000000E+0	288.644524948E-12
4.137042336E+3	66.929900000E+0	100.000001490E-3	1.005135204E-9	745.384755144E-12	99.489104632E+6	73.778792737E+6	13.163081133E-3	234.864259928E-3	13.095831366E+6	233.664345821E+6	75.000000000E+0	172.890105010E-12
4.201449625E+3	67.938600000E+0	100.000001490E-3	1.128529485E-9	595.800420539E-12	88.610889487E+6	46.781591368E+6	4.220609843E-3	235.034031623E-3	3.739919868E+6	208.265742915E+6	75.000000000E+0	390.117743665E-12
4.266531086E+3	68.925500000E+0	100.000001490E-3	1.058383219E-9	666.234667457E-12	94.483736775E+6	59.475943882E+6	9.047934077E-3	233.250092662E-3	8.548826089E+6	220.383400294E+6	75.000000000E+0	257.568327777E-12
4.330184339E+3	69.921300000E+0	100.000001490E-3	1.137075401E-9	722.457590401E-12	87.944916757E+6	55.877097148E+6	4.798728083E-3	229.520719488E-3	4.220237355E+6	201.851802686E+6	75.000000000E+0	392.028576268E-12
4.394167229E+3	70.938700000E+0	100.000001490E-3	1.174816390E-9	587.025417860E-12	85.119685351E+6	42.532109079E+6	11.019091647E-3	231.408057346E-3	9.379415998E+6	196.973807354E+6	75.000000000E+0	362.713165059E-12
4.458700694E+3	71.929200000E+0	100.000001490E-3	1.130161375E-9	587.448440397E-12	88.482940341E+6	45.992693141E+6	10.801635327E-3	234.161340667E-3	9.557604400E+6	207.192836276E+6	75.000000000E+0	306.947606221E-12
4.522623398E+3	72.916100000E+0	100.000001490E-3	1.192272225E-9	504.326792485E-12	83.873463964E+6	35.478168636E+6	17.850032177E-3	230.423006547E-3	14.971440082E+6	193.263754481E+6	75.000000000E+0	289.247487073E-12
4.590047570E+3	73.934000000E+0	100.000001490E-3	1.127090315E-9	565.675149489E-12	88.724035863E+6	44.529689947E+6	9.682208943E-3	224.550275314E-3	8.590446407E+6	199.230063831E+6	75.000000000E+0	299.304470097E-12
4.652623067E+3	74.918900000E+0	100.000001490E-3	1.197989327E-9	529.572145970E-12	83.473199021E+6	36.899394805E+6	-9.996936580E-3	222.511940969E-3	-8.344762643E+6	185.737832563E+6	75.000000000E+0	253.545934248E-12
4.717027360E+3	75.936600000E+0	100.000001490E-3	1.138207901E-9	480.725554446E-12	87.857412844E+6	37.106844411E+6	-1.689706057E-3	220.379430407E-3	-1.484532004E+6	193.619663112E+6	75.000000000E+0	308.959358097E-12
4.778465166E+3	76.925200000E+0	100.000001490E-3	1.201522817E-9	468.250547102E-12	83.227717423E+6	32.435026340E+6	-2.761598870E-3	226.229573684E-3	-2.298415670E+6	188.285707507E+6	75.000000000E+0	253.696536001E-12
4.839115952E+3	77.935000000E+0	100.000001490E-3	1.181916405E-9	427.360392270E-12	84.608353913E+6	30.592907557E+6	2.683241867E-3	221.981470711E-3	2.270246741E+6	187.814865563E+6	75.000000000E+0	272.502798104E-12
4.899132303E+3	78.922400000E+0	100.000001490E-3	1.143941282E-9	343.841416813E-12	87.417075532E+6	26.275484211E+6	-1.443124260E-3	225.732897401E-3	-1.261537006E+6	197.329094480E+6	75.000000000E+0	303.779612576E-12
4.962209641E+3	79.938300000E+0	100.000001490E-3	1.143164669E-9	279.190623599E-12	87.476462682E+6	21.364033401E+6	-6.595026490E-3	218.576046198E-3	-5.769095800E+6	191.202590635E+6	75.000000000E+0	309.462261372E-12
5.025639435E+3	80.938500000E+0	100.000001490E-3	1.326717037E-9	387.850096456E-12	75.374023794E+6	22.034707923E+6	77.317556667E-6	215.251586785E-3	58.277352691E+3	162.243779823E+6	75.000000000E+0	334.352712184E-12
5.085251833E+3	81.941500000E+0	100.000001490E-3	1.345292446E-9	362.679067398E-12	74.333281074E+6	20.039601905E+6	301.375563333E-6	215.180864241E-3	224.022341242E+3	159.950994250E+6	75.000000000E+0	333.246430451E-12
5.145668695E+3	82.945800000E+0	100.000001490E-3	1.383807702E-9	307.571350944E-12	72.264377012E+6	16.061806876E+6	-2.186091403E-3	210.921633327E-3	-1.579765310E+6	152.421202037E+6	75.000000000E+0	288.694484984E-12
5.211083061E+3	83.951900000E+0	100.000001490E-3	1.392418187E-9	289.395995038E-12	71.817505976E+6	14.926333764E+6	9.978057967E-3	213.695489931E-3	7.165992270E+6	153.470768965E+6	75.000000000E+0	300.863056690E-12
5.275049352E+3	84.915000000E+0	100.000001490E-3	1.355122108E-9	285.780837655E-12	73.794089016E+6	15.562388395E+6	10.583640960E-3	210.459337409E-3	7.810101315E+6	155.306548476E+6	75.000000000E+0	329.122923359E-12
5.336566700E+3	85.923100000E+0	100.000001490E-3	1.439407901E-9	282.079171952E-12	69.473011371E+6	13.614549082E+6	6.005128353E-3	206.513375229E-3	4.171943442E+6	143.471058518E+6	75.000000000E+0	370.858704857E-12
5.397608189E+3	86.905700000E+0	100.000001490E-3	1.448826581E-9	228.883172865E-12	69.021374119E+6	10.903879946E+6	-5.992178107E-3	206.133720857E-3	-4.135883607E+6	142.276324538E+6	75.000000000E+0	310.719200369E-12
5.459781125E+3	87.951800000E+0	100.000001490E-3	1.493293604E-9	276.416818849E-12	66.966068322E+6	12.395785752E+6	-13.202042090E-3	201.523058683E-3	-8.840888394E+6	134.952067151E+6	75.000000000E+0	290.705542971E-12
5.519883523E+3	88.915700000E+0	100.000001490E-3	1.503908059E-9	304.280208231E-12	66.493427491E+6	13.453371593E+6	-1.588239877E-3	205.527497845E-3	-1.056075115E+6	136.662275718E+6	75.000000000E+0	306.947606221E-12
5.582885307E+3	89.920200000E+0	100.000001490E-3	1.474085849E-9	262.453323799E-12	67.838655110E+6	12.078319951E+6	4.918108480E-3	205.153182667E-3	3.336378600E+6	139.173157962E+6	75.000000000E+0	314.640924426E-12
5.645084176E+3	90.912800000E+0	100.000001490E-3	1.516086055E-9	261.233825196E-12	65.959317538E+6	11.365321101E+6	-6.663073127E-3	202.002960323E-3	-4.394917496E+6	133.239772049E+6	75.000000000E+0	259.831073324E-12
5.705778529E+3	91.923600000E+0	100.000001490E-3	1.632709546E-9	214.174382657E-12	61.247881908E+6	8.034330004E+6	3.269492030E-3	196.904049013E-3	2.002494588E+6	120.599557615E+6	75.000000000E+0	313.081865988E-12
5.765800709E+3	92.953700000E+0	100.000001490E-3	1.613561504E-9	318.994515931E-12	61.974707046E+6	12.252146342E+6	-8.972159923E-3	197.268993630E-3	-5.560469745E+6	122.256879073E+6	75.000000000E+0	266.921207359E-12
5.824877380E+3	93.912400000E+0	100.000001490E-3	1.741478252E-9	230.896855249E-12	57.422480792E+6	7.613457256E+6	-829.991776667E-6	188.706487743E-3	-476.601861428E+3	108.359945062E+6	75.000000000E+0	264.105098902E-12
5.885733621E+3	94.910900000E+0	100.000001490E-3	1.754514007E-9	205.766898650E-12	56.995841056E+6	6.684390892E+6	-7.655423700E-3	188.827889126E-3	-4.363273059E+6	107.624041951E+6	75.000000000E+0	347.174788917E-12
5.947612766E+3	95.951300000E+0	100.000001490E-3	1.784611567E-9	231.384697628E-12	56.034603472E+6	7.265194300E+6	5.205420700E-3	189.462586148E-3	2.916836805E+6	106.164607294E+6	75.000000000E+0	298.650881803E-12
6.009713517E+3	96.966200000E+0	100.000001490E-3	1.789244114E-9	191.413192334E-12	55.889523797E+6	5.979056789E+6	850.491383333E-6	187.891547880E-3	475.335576993E+3	105.011689799E+6	75.000000000E+0	279.090112132E-12
6.073005585E+3	97.918700000E+0	100.000001490E-3	1.884219343E-9	182.669735908E-12	53.072378164E+6	5.145216952E+6	1.015983420E-3	185.726402125E-3	539.206554707E+3	98.569417016E+6	75.000000000E+0	279.290951477E-12
6.134697550E+3	98.914400000E+0	100.000001490E-3	1.935843687E-9	185.798143084E-12	51.657064133E+6	4.957934702E+6	-2.614764843E-3	181.956572787E-3	-1.350710732E+6	93.993422098E+6	75.000000000E+0	284.721995980E-12
6.196577262E+3	99.961300000E+0	100.000001490E-3	1.933290557E-9	188.593918332E-12	51.725283154E+6	5.045839484E+6	-3.457742027E-3	176.264318240E-3	-1.788526827E+6	91.173216351E+6	75.000000000E+0	297.041641284E-12
6.259431673E+3	100.931900000E+0	100.000001490E-3	1.951126170E-9	162.434668734E-12	51.252452560E+6	4.266856382E+6	2.842667417E-3	175.781659710E-3	1.456936747E+6	90.092410409E+6	75.000000000E+0	279.341522136E-12
6.324691281E+3	101.943200000E+0	100.000001490E-3	1.980604143E-9	163.153913629E-12	50.489645707E+6	4.159126558E+6	-3.678356173E-3	172.462389095E-3	-1.857188972E+6	87.075647935E+6	75.000000000E+0	378.954229108E-12
6.389706305E+3	102.929100000E+0	100.000001490E-3	2.054960198E-9	245.291244859E-12	48.662743738E+6	5.808650213E+6	3.924929200E-3	169.133177076E-3	1.909978210E+6	82.304843311E+6	75.000000000E+0	328.368388036E-12
