[Main]
Experiment = "RvsT_75.00Vg"
Header length = 66    
Date = "20191121 22:36:05"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	STD_Voltage 2 (V)	Resistance 2 (Ohms)	STD_Resistance 2 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
1.095490263E+3	27.936200000E+0	100.000001490E-3	7.379500467E-12	624.122976741E-15	13.551052939E+9	1.146083470E+9	-673.529776667E-6	8.754242189E-3	-91.270375239E+6	1.186291976E+9	75.000000000E+0	348.428341734E-12
1.140525353E+3	28.919600000E+0	100.000001490E-3	7.508158333E-12	498.361536994E-15	13.318845588E+9	884.051729256E+6	-234.212100000E-6	9.011169645E-3	-31.194347482E+6	1.200183753E+9	75.000000000E+0	338.321731741E-12
1.185522989E+3	29.930600000E+0	100.000001490E-3	8.165505900E-12	458.989647068E-15	12.246638814E+9	688.393407071E+6	1.474735100E-3	9.562577766E-3	180.605478468E+6	1.171094343E+9	75.000000000E+0	320.370452389E-12
1.230499590E+3	30.921000000E+0	100.000001490E-3	8.036336433E-12	691.183255877E-15	12.443481221E+9	1.070229692E+9	159.690830000E-6	10.302319914E-3	19.871098146E+6	1.281967225E+9	75.000000000E+0	300.508146145E-12
1.275709806E+3	31.928600000E+0	100.000001490E-3	8.216279267E-12	282.002730133E-15	12.170959414E+9	417.736991616E+6	-579.293460000E-6	9.933966052E-3	-70.505570855E+6	1.209058958E+9	75.000000000E+0	313.230080762E-12
1.321003678E+3	32.951400000E+0	100.000001490E-3	8.220060333E-12	590.301038010E-15	12.165361011E+9	873.621961586E+6	-344.617973333E-6	10.024200166E-3	-41.924019941E+6	1.219480121E+9	75.000000000E+0	322.281257237E-12
1.365997944E+3	33.920100000E+0	100.000001490E-3	8.781224367E-12	509.336155790E-15	11.387933768E+9	660.532764637E+6	292.276783333E-6	10.184801885E-3	33.284286009E+6	1.159838476E+9	75.000000000E+0	322.381454865E-12
1.411170426E+3	34.938600000E+0	100.000001490E-3	8.681789500E-12	441.155638226E-15	11.518362832E+9	585.293009739E+6	686.724896667E-6	9.990812002E-3	79.099464076E+6	1.150777959E+9	75.000000000E+0	318.258225329E-12
1.456245305E+3	35.930100000E+0	100.000001490E-3	8.764425033E-12	766.263712942E-15	11.409761748E+9	997.542493397E+6	-482.446763333E-6	9.965916629E-3	-55.046025438E+6	1.137087326E+9	75.000000000E+0	314.588077810E-12
1.501385000E+3	36.942200000E+0	100.000001490E-3	8.815826067E-12	521.953071279E-15	11.343236667E+9	671.591881676E+6	-175.763276667E-6	9.607715335E-3	-19.937244149E+6	1.089825873E+9	75.000000000E+0	334.198502205E-12
