[Main]
Experiment = "IvsV_2.0K"
Header length = 41    
Date = "20200204 16:25:34"
Comments = "SD: 3I+ to 2V-; BG: 3I- to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
193.830703259E+0	2.299999952E+0	5.725495167E-12	324.234142113E-15	401.711971692E+9	22.748903410E+9	2.131600000E+0
202.211550713E+0	2.400000095E+0	5.908119500E-12	297.986188355E-15	406.220641842E+9	20.488438105E+9	2.131300000E+0
210.588768959E+0	2.500000000E+0	6.063405633E-12	294.866420466E-15	412.309542059E+9	20.050817336E+9	2.129500000E+0
219.036578655E+0	2.599999905E+0	6.229779033E-12	289.916481048E-15	417.350260855E+9	19.422313110E+9	2.127600000E+0
227.436562538E+0	2.700000048E+0	6.378577333E-12	292.601973447E-15	423.291888863E+9	19.417502611E+9	2.124600000E+0
235.857635975E+0	2.799999952E+0	6.544408633E-12	293.297799856E-15	427.846136938E+9	19.174586685E+9	2.120700000E+0
244.250319958E+0	2.900000095E+0	6.698677700E-12	293.202380925E-15	432.921275697E+9	18.949045539E+9	2.116900000E+0
252.619278431E+0	3.000000000E+0	6.846520900E-12	308.611594112E-15	438.178754409E+9	19.751205887E+9	2.111900000E+0
261.111726761E+0	3.099999905E+0	6.984071900E-12	290.987863319E-15	443.867123509E+9	18.493501745E+9	2.106800000E+0
269.528576851E+0	3.200000048E+0	7.147728300E-12	298.810205118E-15	447.694695906E+9	18.715840656E+9	2.102400000E+0
277.953216076E+0	3.299999952E+0	7.286377000E-12	293.419294018E-15	452.899973789E+9	18.238088774E+9	2.098600000E+0
286.403400898E+0	3.400000095E+0	7.429616767E-12	295.333813869E-15	457.627923774E+9	18.191113257E+9	2.094600000E+0
294.794692039E+0	3.500000000E+0	7.581765700E-12	281.141787163E-15	461.633890902E+9	17.117988374E+9	2.090200000E+0
303.204475403E+0	3.599999905E+0	7.698224333E-12	294.906294890E-15	467.640295833E+9	17.914529509E+9	2.085700000E+0
311.679534435E+0	3.700000048E+0	7.842609333E-12	304.574652055E-15	471.781761710E+9	18.322060913E+9	2.081800000E+0
320.117444038E+0	3.799999952E+0	7.963875233E-12	294.854302795E-15	477.154631505E+9	17.666160264E+9	2.078700000E+0
328.504381657E+0	3.900000095E+0	8.096861133E-12	301.424375716E-15	481.668146600E+9	17.931210379E+9	2.075600000E+0
336.896902561E+0	4.000000000E+0	8.218142100E-12	304.936623129E-15	486.728016056E+9	18.060188762E+9	2.072900000E+0
345.320557117E+0	4.099999905E+0	8.358556533E-12	298.201439641E-15	490.515304680E+9	17.499716541E+9	2.070300000E+0
353.806946754E+0	4.199999809E+0	8.509522867E-12	351.113033212E-15	493.564665737E+9	20.365065068E+9	2.068500000E+0
362.246495247E+0	4.300000191E+0	8.606180733E-12	297.946503846E-15	499.640935273E+9	17.297599766E+9	2.066900000E+0
370.650495529E+0	4.400000095E+0	8.736858100E-12	312.783019631E-15	503.613546770E+9	18.029566703E+9	2.065100000E+0
379.079616070E+0	4.500000000E+0	8.868094133E-12	337.390458728E-15	507.437103434E+9	19.305663035E+9	2.063000000E+0
387.470746517E+0	4.599999905E+0	8.936472133E-12	294.344691395E-15	514.744502752E+9	16.954376352E+9	2.061200000E+0
395.876553059E+0	4.699999809E+0	9.079212500E-12	304.093467119E-15	517.666021064E+9	17.338382063E+9	2.059000000E+0
404.277480125E+0	4.800000191E+0	9.196503400E-12	293.039745539E-15	521.937521464E+9	16.631151191E+9	2.057300000E+0
412.680151939E+0	4.900000095E+0	9.320768600E-12	313.081768353E-15	525.707729228E+9	17.658361941E+9	2.054900000E+0
421.079540730E+0	5.000000000E+0	9.450262500E-12	329.956801542E-15	529.085832272E+9	18.473081458E+9	2.053300000E+0
429.493037701E+0	5.099999905E+0	9.543154433E-12	296.827888217E-15	534.414479013E+9	16.622294268E+9	2.051600000E+0
437.943544865E+0	5.199999809E+0	9.665154700E-12	302.437076392E-15	538.015165889E+9	16.835295334E+9	2.049100000E+0
446.371673584E+0	5.300000191E+0	9.777542700E-12	309.345460598E-15	542.058506248E+9	17.149844642E+9	2.047800000E+0
454.816333771E+0	5.400000095E+0	9.896532600E-12	305.923809988E-15	545.645663348E+9	16.867119726E+9	2.046200000E+0
463.231980324E+0	5.500000000E+0	10.000086833E-12	299.165947144E-15	549.995224208E+9	16.453841343E+9	2.044900000E+0
471.641221523E+0	5.599999905E+0	10.112619667E-12	292.041067295E-15	553.763524113E+9	15.992066936E+9	2.043600000E+0
480.029410362E+0	5.699999809E+0	10.266558400E-12	347.734492316E-15	555.200641460E+9	18.804978813E+9	2.041900000E+0
488.486224174E+0	5.800000191E+0	10.346250333E-12	304.730281447E-15	560.589585973E+9	16.511162673E+9	2.039800000E+0
496.884465694E+0	5.900000095E+0	10.459666333E-12	287.848544305E-15	564.071539889E+9	15.523169331E+9	2.038000000E+0
505.291116714E+0	6.000000000E+0	10.550208667E-12	272.652822275E-15	568.709130745E+9	14.697353811E+9	2.036700000E+0
513.674720287E+0	6.099999905E+0	10.685186667E-12	304.018729225E-15	570.883794072E+9	16.242988637E+9	2.034500000E+0
522.215238571E+0	6.199999809E+0	10.784651333E-12	308.744781195E-15	574.891075996E+9	16.458076760E+9	2.033100000E+0
530.587126732E+0	6.300000191E+0	10.902824667E-12	299.266985756E-15	577.831927353E+9	15.860662210E+9	2.031600000E+0
538.988409042E+0	6.400000095E+0	11.019591000E-12	308.335137644E-15	580.783814514E+9	16.250699086E+9	2.029700000E+0
547.434152126E+0	6.500000000E+0	11.135650000E-12	312.372895972E-15	583.710874534E+9	16.374029023E+9	2.027600000E+0
555.863011360E+0	6.599999905E+0	11.308407667E-12	274.552955745E-15	583.636538333E+9	14.169911574E+9	2.025700000E+0
564.335074425E+0	6.699999809E+0	11.336609667E-12	314.231910268E-15	591.005600992E+9	16.381689450E+9	2.025000000E+0
572.775843143E+0	6.800000191E+0	11.454216000E-12	312.563098486E-15	593.667885321E+9	16.200032696E+9	2.023600000E+0
581.178455353E+0	6.900000095E+0	11.549427333E-12	317.161119371E-15	597.432227263E+9	16.406205128E+9	2.022600000E+0
589.636594772E+0	7.000000000E+0	11.638647333E-12	317.950616323E-15	601.444463392E+9	16.430572415E+9	2.021100000E+0
598.040981770E+0	7.099999905E+0	11.743249333E-12	307.504011636E-15	604.602670274E+9	15.831882750E+9	2.019100000E+0
606.454744339E+0	7.199999809E+0	11.854492667E-12	316.933988623E-15	607.364651674E+9	16.238105418E+9	2.017900000E+0
614.939229012E+0	7.300000191E+0	11.953883333E-12	309.490038125E-15	610.680227268E+9	15.810715359E+9	2.016300000E+0
623.326713562E+0	7.400000095E+0	12.042414667E-12	316.837327311E-15	614.494708927E+9	16.167427099E+9	2.014500000E+0
631.780576229E+0	7.500000000E+0	12.131086000E-12	311.022069786E-15	618.246379590E+9	15.850870121E+9	2.012900000E+0
640.308276176E+0	7.599999905E+0	12.236305000E-12	315.816246287E-15	621.102522750E+9	16.030514710E+9	2.011500000E+0
648.746117115E+0	7.699999809E+0	12.337400667E-12	314.637183818E-15	624.118484704E+9	15.916714363E+9	2.010900000E+0
657.129519939E+0	7.800000191E+0	12.429112000E-12	309.101273354E-15	627.558927036E+9	15.606848136E+9	2.009500000E+0
665.529624939E+0	7.900000095E+0	12.532284000E-12	311.023719071E-15	630.371933429E+9	15.644444631E+9	2.007600000E+0
673.903403282E+0	8.000000000E+0	12.642555333E-12	315.386325253E-15	632.783467351E+9	15.785673639E+9	2.006400000E+0
682.315893173E+0	8.100000381E+0	13.055731000E-12	875.505359011E-15	620.417223782E+9	41.604610592E+9	2.005500000E+0
690.727123260E+0	8.199999809E+0	12.845493000E-12	316.439012092E-15	638.356177475E+9	15.725421995E+9	2.004700000E+0
699.117160797E+0	8.300000191E+0	12.956109667E-12	339.017132549E-15	640.624416146E+9	16.762952629E+9	2.004200000E+0
707.491368294E+0	8.399999619E+0	13.025049000E-12	309.258487335E-15	644.911172198E+9	15.312361096E+9	2.002500000E+0
715.924365520E+0	8.500000000E+0	13.126792333E-12	316.589222285E-15	647.530621660E+9	15.617007622E+9	2.002000000E+0
724.360862732E+0	8.600000381E+0	13.235671667E-12	305.144546958E-15	649.759271615E+9	14.980010351E+9	2.001400000E+0
732.801688194E+0	8.699999809E+0	13.343729667E-12	313.909211282E-15	651.991611536E+9	15.338003516E+9	2.000800000E+0
741.273038387E+0	8.800000191E+0	13.443543000E-12	315.552143034E-15	654.589358678E+9	15.364779578E+9	2.001100000E+0
749.667591572E+0	8.899999619E+0	13.560879667E-12	321.989236343E-15	656.299579179E+9	15.583163151E+9	2.000400000E+0
758.094836712E+0	9.000000000E+0	13.645741333E-12	303.245283691E-15	659.546431385E+9	14.656905756E+9	2.000600000E+0
766.506331444E+0	9.100000381E+0	13.749234000E-12	301.169573778E-15	661.855080906E+9	14.497579474E+9	2.000000000E+0
774.938910484E+0	9.199999809E+0	13.826654667E-12	319.591401526E-15	665.381470143E+9	15.379728627E+9	1.999900000E+0
783.350694656E+0	9.300000191E+0	13.893894333E-12	323.321625637E-15	669.358782183E+9	15.576494566E+9	1.999700000E+0
791.765187263E+0	9.399999619E+0	13.965232000E-12	330.486105091E-15	673.100140301E+9	15.928861311E+9	2.000100000E+0
800.227751255E+0	9.500000000E+0	14.010308000E-12	311.349478355E-15	678.072173717E+9	15.068720657E+9	1.999800000E+0
808.705439568E+0	9.600000381E+0	14.073583667E-12	324.233773821E-15	682.129058870E+9	15.715206889E+9	1.999500000E+0
817.154924870E+0	9.699999809E+0	14.157562667E-12	371.467159870E-15	685.146167998E+9	17.976915032E+9	1.999100000E+0
825.566466331E+0	9.800000191E+0	14.169357667E-12	318.844515731E-15	691.633341559E+9	15.563408239E+9	1.999500000E+0
834.098196030E+0	9.899999619E+0	14.207555333E-12	335.342243775E-15	696.812321772E+9	16.446925737E+9	2.000000000E+0
842.509984016E+0	10.000000000E+0	14.265257000E-12	306.421240487E-15	701.003844515E+9	15.057735561E+9	1.999900000E+0
