[Main]
Experiment = "RvsB_100.00Vg_2.0K"
Header length = 71    
Date = "20200216 21:51:50"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 1.000000E+2
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
2.624701531E+3	-2.199988477E+0	100.000001490E-3	1.728666416E-6	84.101103871E-9	57.848061688E+3	2.814357819E+3	100.000000000E+0	95.138937700E-12	1.999800000E+0
2.674733961E+3	-2.000005273E+0	100.000001490E-3	1.541365803E-6	57.968585455E-9	64.877526993E+3	2.439951931E+3	100.000000000E+0	87.173680080E-12	1.999800000E+0
2.724683227E+3	-1.799986328E+0	100.000001490E-3	1.700479741E-6	77.460283993E-9	58.806934925E+3	2.678774565E+3	100.000000000E+0	92.197221385E-12	1.999900000E+0
2.774648780E+3	-1.600019629E+0	100.000001490E-3	1.617711356E-6	15.320867564E-9	61.815725728E+3	585.438523217E+0	100.000000000E+0	86.766384355E-12	1.999900000E+0
2.824622612E+3	-1.400015820E+0	100.000001490E-3	1.606307859E-6	20.091795913E-9	62.254567784E+3	778.683901462E+0	100.000000000E+0	83.754199409E-12	1.999700000E+0
2.874601610E+3	-1.200008691E+0	100.000001490E-3	1.600062904E-6	9.002310296E-9	62.497543838E+3	351.625102329E+0	100.000000000E+0	91.236738997E-12	1.999700000E+0
2.924733990E+3	-1.000009277E+0	100.000001490E-3	1.636647859E-6	46.615661714E-9	61.100499370E+3	1.740288965E+3	100.000000000E+0	92.468709773E-12	1.999500000E+0
2.974886402E+3	-800.007617188E-3	100.000001490E-3	1.639272696E-6	51.165450769E-9	61.002664020E+3	1.904032691E+3	100.000000000E+0	90.215922927E-12	1.999500000E+0
3.024864454E+3	-600.017968750E-3	100.000001490E-3	1.599246003E-6	39.397407283E-9	62.529467826E+3	1.540412736E+3	100.000000000E+0	86.892036621E-12	2.000000000E+0
3.074856899E+3	-400.025024414E-3	100.000001490E-3	1.641201263E-6	69.464519946E-9	60.930980096E+3	2.578928848E+3	100.000000000E+0	92.835782117E-12	2.000000000E+0
3.124776992E+3	-200.012512207E-3	100.000001490E-3	1.594584557E-6	28.818065191E-9	62.712260113E+3	1.133364796E+3	100.000000000E+0	94.419745633E-12	2.000200000E+0
3.174750046E+3	-25.031629205E-6	100.000001490E-3	1.574231932E-6	16.974315944E-9	63.523042226E+3	684.943664633E+0	100.000000000E+0	97.597716020E-12	2.000200000E+0
3.224715878E+3	199.987475586E-3	100.000001490E-3	1.620641030E-6	76.151687709E-9	61.703979869E+3	2.899384946E+3	100.000000000E+0	90.492375399E-12	2.000200000E+0
3.274684974E+3	399.977124023E-3	100.000001490E-3	1.406450970E-6	18.447419792E-9	71.100950975E+3	932.580742513E+0	100.000000000E+0	90.029660810E-12	2.000200000E+0
3.324665477E+3	599.971191406E-3	100.000001490E-3	1.586723383E-6	26.420989328E-9	63.022958244E+3	1.049413480E+3	100.000000000E+0	83.764115782E-12	1.999600000E+0
3.374678434E+3	799.976025391E-3	100.000001490E-3	1.718331744E-6	78.287608150E-9	58.195980968E+3	2.651422910E+3	100.000000000E+0	86.937113758E-12	1.999600000E+0
3.424607838E+3	999.989648438E-3	100.000001490E-3	1.599459573E-6	18.505506808E-9	62.521118481E+3	723.359941673E+0	100.000000000E+0	89.632541667E-12	1.999200000E+0
3.474564140E+3	1.199980371E+0	100.000001490E-3	1.571691760E-6	32.094420195E-9	63.625708306E+3	1.299256170E+3	100.000000000E+0	81.757789427E-12	1.999200000E+0
3.524520992E+3	1.399970117E+0	100.000001490E-3	1.565396283E-6	21.485796868E-9	63.881588692E+3	876.804712718E+0	100.000000000E+0	80.148717524E-12	1.999800000E+0
3.574535930E+3	1.599986914E+0	100.000001490E-3	1.600099536E-6	17.788029697E-9	62.496113048E+3	694.758475870E+0	100.000000000E+0	76.759461287E-12	1.999800000E+0
3.624470651E+3	1.799983008E+0	100.000001490E-3	1.629995198E-6	21.570957307E-9	61.349874903E+3	811.889221487E+0	100.000000000E+0	78.921771202E-12	1.999400000E+0
3.674519718E+3	1.999972852E+0	100.000001490E-3	1.537288004E-6	40.870261540E-9	65.049620650E+3	1.729405942E+3	100.000000000E+0	75.225758261E-12	1.999400000E+0
3.724480447E+3	2.199980859E+0	100.000001490E-3	1.598900777E-6	58.780840439E-9	62.542968850E+3	2.299284812E+3	100.000000000E+0	70.659873092E-12	1.999700000E+0
3.774488485E+3	2.399986914E+0	100.000001490E-3	1.614624215E-6	17.978857105E-9	61.933916624E+3	689.634793555E+0	100.000000000E+0	65.259218168E-12	1.999700000E+0
3.824416975E+3	2.599983008E+0	100.000001490E-3	1.602831402E-6	7.470256507E-9	62.389594667E+3	290.776855855E+0	100.000000000E+0	69.015484994E-12	1.999200000E+0
