[Main]
Experiment = "RvsB_100.00Vg_"
Header length = 66    
Date = "20200216 10:23:22"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 1.000000E+2
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
2.238827157E+3	-2.199997266E+0	100.000001490E-3	1.227452667E-12	329.566628420E-15	81.469537853E+9	21.874278038E+9	100.000000000E+0	69.071097453E-12	3.000900000E+0
2.305367470E+3	-2.000018555E+0	100.000001490E-3	1.320557000E-12	325.280084541E-15	75.725622968E+9	18.652763221E+9	100.000000000E+0	72.671584722E-12	2.998500000E+0
2.365842912E+3	-1.800000391E+0	100.000001490E-3	1.264107667E-12	331.190008035E-15	79.107186933E+9	20.725694944E+9	100.000000000E+0	65.606380745E-12	3.001800000E+0
2.432330441E+3	-1.600025977E+0	100.000001490E-3	1.347641667E-12	349.658176111E-15	74.203702634E+9	19.252841438E+9	100.000000000E+0	71.127694706E-12	2.999000000E+0
2.492863547E+3	-1.400010352E+0	100.000001490E-3	1.303644000E-12	331.777112916E-15	76.708059478E+9	19.522184362E+9	100.000000000E+0	66.184636244E-12	3.000100000E+0
2.553333662E+3	-1.200015234E+0	100.000001490E-3	1.277361667E-12	325.921730379E-15	78.286364856E+9	19.974943796E+9	100.000000000E+0	72.691522246E-12	2.998800000E+0
2.613838602E+3	-1.000015723E+0	100.000001490E-3	1.320930667E-12	329.930516691E-15	75.704201601E+9	18.908733804E+9	100.000000000E+0	68.407152859E-12	2.999300000E+0
2.680296583E+3	-800.012988281E-3	100.000001490E-3	1.250060333E-12	334.758790403E-15	79.996140045E+9	21.422494870E+9	100.000000000E+0	67.326012126E-12	3.001700000E+0
2.740866394E+3	-600.000488281E-3	100.000001490E-3	1.190260667E-12	363.793752376E-15	84.015211366E+9	25.678584410E+9	100.000000000E+0	73.591611277E-12	2.999700000E+0
2.807338243E+3	-400.021752930E-3	100.000001490E-3	1.090783333E-12	356.763073383E-15	91.677236381E+9	29.984921488E+9	100.000000000E+0	68.623377814E-12	2.999500000E+0
2.867813538E+3	-200.025573730E-3	100.000001490E-3	1.137997667E-12	369.674056697E-15	87.873643698E+9	28.545406809E+9	100.000000000E+0	63.529394939E-12	2.999200000E+0
2.934368355E+3	-14.148312807E-6	100.000001490E-3	1.127793000E-12	379.481115843E-15	88.668755250E+9	29.835367113E+9	100.000000000E+0	63.252859200E-12	2.998700000E+0
2.994896666E+3	199.976599121E-3	100.000001490E-3	1.006022000E-12	326.160596501E-15	99.401406222E+9	32.226752443E+9	100.000000000E+0	55.679831232E-12	2.999800000E+0
3.061447309E+3	399.980395508E-3	100.000001490E-3	1.209048000E-12	384.403357453E-15	82.709703411E+9	26.296629816E+9	100.000000000E+0	49.967406254E-12	3.000400000E+0
3.133986609E+3	599.978759766E-3	100.000001490E-3	1.062217333E-12	339.654977675E-15	94.142694110E+9	30.103100056E+9	100.000000000E+0	50.339499930E-12	3.000200000E+0
3.200495432E+3	799.980371094E-3	100.000001490E-3	1.134052667E-12	345.047339024E-15	88.179327495E+9	26.829479091E+9	100.000000000E+0	52.144753099E-12	3.001200000E+0
3.260985680E+3	999.991796875E-3	100.000001490E-3	1.329197667E-12	337.998063594E-15	75.233356180E+9	19.130885755E+9	100.000000000E+0	44.682372038E-12	3.001000000E+0
3.327510905E+3	1.199989160E+0	100.000001490E-3	1.277304667E-12	337.240774535E-15	78.289858402E+9	20.670504990E+9	100.000000000E+0	49.866832885E-12	2.999400000E+0
3.400054832E+3	1.399976563E+0	100.000001490E-3	1.277684000E-12	345.714437153E-15	78.266614820E+9	21.177301031E+9	100.000000000E+0	52.381077600E-12	3.001600000E+0
3.472581720E+3	1.599982520E+0	100.000001490E-3	1.289103667E-12	323.692267112E-15	77.573281402E+9	19.478550852E+9	100.000000000E+0	57.198488307E-12	3.000100000E+0
3.539100547E+3	1.799983008E+0	100.000001490E-3	1.288620000E-12	368.520556231E-15	77.602397518E+9	22.192794383E+9	100.000000000E+0	53.588029153E-12	2.999400000E+0
3.599597362E+3	1.999990234E+0	100.000001490E-3	1.279802000E-12	390.387541904E-15	78.137087995E+9	23.834738275E+9	100.000000000E+0	59.184779994E-12	3.001400000E+0
3.666135432E+3	2.199997266E+0	100.000001490E-3	1.259670333E-12	336.628875300E-15	79.385851079E+9	21.214732979E+9	100.000000000E+0	58.495885913E-12	2.999400000E+0
3.732658036E+3	2.399989258E+0	100.000001490E-3	1.262734000E-12	358.911405500E-15	79.193243779E+9	22.509379197E+9	100.000000000E+0	60.683363889E-12	3.000400000E+0
3.793180573E+3	2.599977539E+0	100.000001490E-3	1.204204667E-12	349.150897053E-15	83.042363361E+9	24.077564606E+9	100.000000000E+0	62.242237059E-12	2.998400000E+0
3.859762171E+3	2.799984766E+0	100.000001490E-3	1.295695000E-12	305.622111975E-15	77.178658164E+9	18.204519202E+9	100.000000000E+0	64.092800511E-12	3.001000000E+0
