[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191106 10:09:44"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 10.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.042597322E+3	49.940400000E+0	100.000001490E-3	5.361425232E-6	769.741101458E-12	18.651757165E+3	2.677837232E+0	25.631720664E-3	27.834410123E-3	6.438413591E-6	9.951422610E-6	4.780766224E+3	5.191606507E+3	1.200877250E+0	1.856115152E+0	75.000000000E+0	58.694112071E-12
2.086672398E+3	50.936500000E+0	100.000001490E-3	5.315059749E-6	866.579399890E-12	18.814464223E+3	3.067552932E+0	25.691099754E-3	27.687944737E-3	6.338210887E-6	8.075639446E-6	4.833642700E+3	5.209338379E+3	1.192500402E+0	1.519388272E+0	75.000000000E+0	117.526224863E-12
2.131186018E+3	51.934000000E+0	100.000001490E-3	5.259262918E-6	889.380104140E-12	19.014071562E+3	3.215419577E+0	25.713727174E-3	27.553753663E-3	17.296585497E-6	7.077034095E-6	4.889226413E+3	5.239090361E+3	3.288785095E+0	1.345632307E+0	75.000000000E+0	87.808371685E-12
2.175474150E+3	52.919900000E+0	100.000001490E-3	5.209298368E-6	920.749416521E-12	19.196443442E+3	3.392993231E+0	25.785477274E-3	27.392936561E-3	7.333998471E-6	8.891295518E-6	4.949894488E+3	5.258469496E+3	1.407866848E+0	1.706812490E+0	75.000000000E+0	86.199276883E-12
2.219841451E+3	53.944100000E+0	100.000001490E-3	5.148621030E-6	1.001344612E-9	19.422676654E+3	3.777476048E+0	25.776003820E-3	27.256611955E-3	6.735019944E-6	8.190357847E-6	5.006389802E+3	5.293963528E+3	1.308121127E+0	1.590786698E+0	75.000000000E+0	53.766095742E-12
2.264107522E+3	54.932600000E+0	100.000001490E-3	5.088183557E-6	834.707696396E-12	19.653379319E+3	3.224102825E+0	25.767087545E-3	27.143841744E-3	5.586921624E-6	8.932833437E-6	5.064103379E+3	5.334682100E+3	1.098018883E+0	1.755603613E+0	75.000000000E+0	108.374545449E-12
2.308162049E+3	55.919800000E+0	100.000001490E-3	5.028307157E-6	717.808484751E-12	19.887409095E+3	2.838997408E+0	25.794519992E-3	26.957499189E-3	4.861874422E-6	9.481582573E-6	5.129861638E+3	5.361148065E+3	966.900841499E-3	1.885641087E+0	75.000000000E+0	90.272199438E-12
2.352315155E+3	56.935200000E+0	100.000001490E-3	4.961555267E-6	798.699828347E-12	20.154970794E+3	3.244501139E+0	25.736704850E-3	26.836271306E-3	6.283977975E-6	7.971379194E-6	5.187225269E+3	5.408842563E+3	1.266533907E+0	1.606629124E+0	75.000000000E+0	80.617658382E-12
2.396430750E+3	57.942400000E+0	100.000001490E-3	4.885929440E-6	1.104974713E-9	20.466935252E+3	4.628688600E+0	25.726817744E-3	26.739784881E-3	7.035053904E-6	6.136852303E-6	5.265491052E+3	5.472814377E+3	1.439859906E+0	1.256025569E+0	75.000000000E+0	51.101123333E-12
2.440806885E+3	58.938200000E+0	100.000001490E-3	4.810496820E-6	851.248043160E-12	20.787873943E+3	3.678546661E+0	25.690389162E-3	26.620906206E-3	10.558183219E-6	6.737462784E-6	5.340485635E+3	5.533920342E+3	2.194821785E+0	1.400575250E+0	75.000000000E+0	119.637882934E-12
2.484974742E+3	59.930900000E+0	100.000001490E-3	4.736870707E-6	1.177759612E-9	21.110983954E+3	5.248964097E+0	25.717319837E-3	26.525389026E-3	7.902167231E-6	5.339140397E-6	5.429179183E+3	5.599770538E+3	1.668225231E+0	1.127145056E+0	75.000000000E+0	76.595112197E-12
2.529184464E+3	60.943000000E+0	100.000001490E-3	4.659742461E-6	1.043077831E-9	21.460413814E+3	4.803888215E+0	25.678071282E-3	26.392848484E-3	7.845047993E-6	7.035208693E-6	5.510620274E+3	5.664014418E+3	1.683579738E+0	1.509784876E+0	75.000000000E+0	114.559459141E-12
