[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201124 23:43:36"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 10.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
146.178362846E+0	-9.770000458E+0	-3.881498600E-6	187.860843583E-12	2.517069170E+6	121.823755791E+0	-595.623861367E-3	610.998048933E-3	385.911395733E-6	204.918421926E-6	153.452035605E+3	-157.412925238E+3	99.423298963E+0	52.793635408E+0	399.989100000E+0
152.518666744E+0	-9.760000229E+0	-3.878941100E-6	131.189084386E-12	2.516150665E+6	85.098353760E+0	-595.277453600E-3	610.373229267E-3	286.764025327E-6	185.648144149E-6	153.463906322E+3	-157.355632254E+3	73.928429933E+0	47.860521561E+0	399.989100000E+0
158.859368801E+0	-9.750000000E+0	-3.876246067E-6	172.805039305E-12	2.515320192E+6	112.134265250E+0	-594.722258667E-3	609.672838633E-3	292.011713073E-6	199.223449310E-6	153.427374949E+3	-157.284348864E+3	75.333636733E+0	51.395975870E+0	399.989100000E+0
165.198040009E+0	-9.739999771E+0	-3.873128967E-6	139.744960635E-12	2.514762574E+6	90.734235805E+0	-594.327905700E-3	609.099525700E-3	335.542007646E-6	195.035312451E-6	153.449035861E+3	-157.262908347E+3	86.633316508E+0	50.356007799E+0	399.989100000E+0
171.539855957E+0	-9.729999542E+0	-3.869938433E-6	109.382493504E-12	2.514251766E+6	71.064470986E+0	-593.881861067E-3	608.508793933E-3	236.894888166E-6	207.646431288E-6	153.460286590E+3	-157.239915936E+3	61.214123234E+0	53.656262203E+0	399.989100000E+0
177.882241249E+0	-9.720000267E+0	-3.866477067E-6	125.043698109E-12	2.513916441E+6	81.301247392E+0	-593.254369767E-3	607.841811867E-3	353.086843932E-6	177.353038212E-6	153.435377874E+3	-157.208177208E+3	91.320040917E+0	45.869414238E+0	399.989100000E+0
184.219724655E+0	-9.710000038E+0	-3.862846000E-6	125.785531759E-12	2.513690693E+6	81.853100144E+0	-592.887528867E-3	607.213832567E-3	273.488459605E-6	245.040139675E-6	153.484640306E+3	-157.193383471E+3	70.799731495E+0	63.435130387E+0	400.014700000E+0
190.745797157E+0	-9.699999809E+0	-3.859388167E-6	136.807209765E-12	2.513351700E+6	89.093042309E+0	-592.451935467E-3	606.596270633E-3	279.727698178E-6	287.065852512E-6	153.509289525E+3	-157.174205972E+3	72.479804077E+0	74.381181710E+0	400.014700000E+0
197.084483624E+0	-9.689999580E+0	-3.855586467E-6	136.498511633E-12	2.513236226E+6	88.975570174E+0	-592.018135900E-3	606.093442000E-3	252.024339958E-6	211.900834311E-6	153.548141383E+3	-157.198767876E+3	65.366019447E+0	54.959429945E+0	400.014700000E+0
203.414405346E+0	-9.680000305E+0	-3.851213767E-6	153.697796483E-12	2.513493379E+6	100.310815575E+0	-591.508901600E-3	605.407810300E-3	254.812861865E-6	217.505502400E-6	153.590254252E+3	-157.199222629E+3	66.164299700E+0	56.477130478E+0	400.014700000E+0
209.747815132E+0	-9.670000076E+0	-3.847101667E-6	144.493248460E-12	2.513580590E+6	94.407545252E+0	-591.041820267E-3	604.743012933E-3	330.296774137E-6	222.771458773E-6	153.633012974E+3	-157.194445412E+3	85.856003495E+0	57.906309236E+0	400.014700000E+0
216.078386307E+0	-9.659999847E+0	-3.843143367E-6	147.338335329E-12	2.513567392E+6	96.365084482E+0	-590.711431167E-3	604.130356233E-3	288.758058820E-6	228.583558208E-6	153.705281018E+3	-157.196934539E+3	75.135906020E+0	59.478280251E+0	400.014700000E+0
222.415090084E+0	-9.649999619E+0	-3.839689533E-6	175.375996732E-12	2.513223930E+6	114.790309969E+0	-590.220524067E-3	603.541099700E-3	298.641933177E-6	187.794509231E-6	153.715689496E+3	-157.184869886E+3	77.777625140E+0	48.908774421E+0	400.014700000E+0
